MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
202001310000,강남구,0.033,0.013,0.4,0.002,10.0,7.0
202001310100,강남구,0.026,0.019,0.4,0.002,10.0,6.0
202001310200,강남구,0.024,0.019,0.4,0.002,10.0,6.0
202001310300,강남구,0.023,0.019,0.4,0.002,13.0,7.0
202001310400,강남구,0.017,0.025,0.4,0.002,8.0,5.0
202001310500,강남구,0.022,0.02,0.4,0.002,6.0,5.0
202001310600,강남구,0.027,0.016,0.4,0.002,8.0,7.0
202001310700,강남구,0.04,0.006,0.4,0.002,10.0,6.0
202001310800,강남구,0.048,0.002,0.5,0.002,11.0,7.0
202001310900,강남구,0.05,0.003,0.6,0.003,16.0,7.0
202001311000,강남구,0.04,0.009,0.5,0.002,19.0,9.0
202001311100,강남구,0.027,0.018,0.5,0.002,14.0,7.0
202001311200,강남구,0.033,0.014,0.5,0.002,18.0,12.0
202001311300,강남구,0.039,0.011,0.6,0.003,27.0,18.0
202001311400,강남구,0.036,0.016,0.5,0.002,38.0,26.0
202001311500,강남구,0.03,0.025,0.6,0.003,52.0,39.0
202001311600,강남구,0.025,0.033,0.6,0.003,41.0,30.0
202001311700,강남구,0.024,0.035,0.6,0.004,41.0,27.0
202001311800,강남구,0.025,0.036,0.6,0.003,41.0,29.0
202001311900,강남구,0.025,0.033,0.6,0.003,43.0,31.0
202001312000,강남구,0.033,0.024,0.6,0.003,41.0,34.0
202001312100,강남구,0.028,0.027,0.6,0.003,42.0,32.0
202001312200,강남구,0.025,0.03,0.6,0.003,40.0,30.0
202001312300,강남구,0.026,0.031,0.6,0.003,41.0,30.0
202001310000,강동구,0.022,0.022,0.4,0.002,10.0,8.0
202001310100,강동구,0.02,0.023,0.4,0.002,9.0,7.0
202001310200,강동구,0.028,0.016,0.4,0.002,9.0,8.0
202001310300,강동구,0.021,0.021,0.4,0.003,9.0,9.0
202001310400,강동구,0.021,0.021,0.4,0.003,9.0,7.0
202001310500,강동구,0.022,0.02,0.4,0.002,11.0,8.0
202001310600,강동구,0.033,0.011,0.4,0.002,9.0,8.0
202001310700,강동구,0.04,0.005,0.4,0.003,9.0,9.0
202001310800,강동구,0.046,0.002,0.5,0.003,15.0,10.0
202001310900,강동구,0.049,0.003,0.5,0.003,19.0,11.0
202001311000,강동구,0.043,0.005,0.5,0.002,22.0,11.0
202001311100,강동구,0.039,0.008,0.5,0.003,18.0,8.0
202001311200,강동구,0.037,0.011,0.5,0.003,23.0,14.0
202001311300,강동구,0.025,0.019,0.4,0.003,28.0,17.0
202001311400,강동구,0.032,0.015,0.5,0.003,32.0,24.0
202001311500,강동구,0.039,0.013,0.5,0.003,51.0,44.0
202001311600,강동구,0.026,0.028,0.5,0.003,52.0,40.0
202001311700,강동구,0.025,0.032,0.5,0.004,49.0,32.0
202001311800,강동구,0.027,0.031,0.5,0.004,49.0,37.0
202001311900,강동구,0.034,0.025,0.6,0.003,51.0,41.0
202001312000,강동구,0.04,0.018,0.6,0.003,53.0,42.0
202001312100,강동구,0.038,0.018,0.6,0.003,52.0,45.0
202001312200,강동구,0.036,0.019,0.6,0.003,52.0,43.0
202001312300,강동구,0.04,0.016,0.6,0.003,52.0,42.0
202001310000,강북구,0.038,0.008,0.5,0.002,19.0,13.0
202001310100,강북구,0.034,0.012,0.5,0.002,19.0,11.0
