MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201909230700,강남구,0.014,0.027,0.2,0.002,10.0,7.0
201909230600,강남구,0.008,0.034,0.2,0.002,11.0,5.0
201909230500,강남구,0.006,0.038,0.2,0.002,13.0,2.0
201909230400,강남구,0.005,0.041,0.2,0.001,8.0,4.0
201909230300,강남구,0.004,0.043,0.2,0.002,5.0,2.0
201909230200,강남구,0.005,0.043,0.2,0.002,4.0,2.0
201909230100,강남구,0.005,0.042,0.2,0.002,4.0,1.0
201909230000,강남구,0.006,0.042,0.2,0.002,4.0,2.0
201909231500,강남구,0.015,0.039,0.2,0.002,14.0,3.0
201909231400,강남구,0.012,0.04,0.2,0.002,14.0,5.0
201909231300,강남구,0.01,0.04,0.2,0.002,14.0,5.0
201909231200,강남구,0.012,0.036,0.2,0.002,13.0,4.0
201909231100,강남구,0.011,0.034,0.2,0.002,10.0,3.0
201909231000,강남구,0.011,0.032,0.2,0.002,12.0,3.0
201909230900,강남구,0.015,0.027,0.2,0.002,14.0,5.0
201909230800,강남구,0.017,0.024,0.3,0.001,13.0,5.0
201909232200,강남구,0.024,0.02,0.3,0.004,20.0,9.0
201909232100,강남구,0.028,0.018,0.3,0.004,21.0,10.0
201909232000,강남구,0.036,0.014,0.3,0.002,19.0,9.0
201909231900,강남구,0.026,0.027,0.3,0.002,19.0,8.0
201909231800,강남구,0.021,0.033,0.3,0.002,15.0,5.0
201909231700,강남구,0.018,0.037,0.2,0.002,17.0,6.0
201909231600,강남구,0.013,0.044,0.2,0.002,19.0,8.0
201909232300,강남구,0.037,0.007,0.4,0.004,22.0,8.0
201909230700,강동구,0.016,0.025,0.3,0.003,12.0,5.0
201909230600,강동구,0.01,0.031,0.3,0.003,10.0,6.0
201909230500,강동구,0.005,0.036,0.3,0.003,7.0,4.0
201909230400,강동구,0.004,0.039,0.3,0.003,6.0,4.0
201909230300,강동구,0.004,0.041,0.3,0.003,4.0,3.0
201909230200,강동구,0.004,0.044,0.2,0.003,3.0,2.0
201909230100,강동구,0.004,0.045,0.3,0.002,3.0,1.0
201909230000,강동구,0.005,0.042,0.3,0.003,3.0,2.0
201909231400,강동구,0.006,0.04,0.3,0.002,11.0,6.0
201909231300,강동구,0.007,0.038,0.3,0.003,8.0,5.0
201909231200,강동구,0.007,0.036,0.3,0.003,6.0,2.0
201909231100,강동구,0.008,0.033,0.3,0.003,11.0,2.0
201909231000,강동구,0.01,0.03,0.3,0.002,10.0,5.0
201909230900,강동구,0.011,0.03,0.3,0.003,8.0,2.0
201909230800,강동구,0.017,0.024,0.3,0.003,11.0,4.0
201909232200,강동구,0.042,0.004,0.4,0.003,16.0,10.0
201909232100,강동구,0.034,0.011,0.4,0.003,14.0,9.0
201909232000,강동구,0.035,0.013,0.4,0.003,18.0,10.0
201909231900,강동구,0.026,0.023,0.3,0.003,17.0,8.0
201909231800,강동구,0.021,0.036,0.3,0.003,15.0,11.0
201909231700,강동구,0.014,0.041,0.3,0.003,10.0,4.0
201909231600,강동구,0.01,0.042,0.3,0.003,10.0,4.0
201909231500,강동구,0.007,0.039,0.3,0.002,10.0,1.0
201909232300,강동구,0.045,0.002,0.4,0.003,16.0,9.0
201909230700,강북구,0.004,0.042,0.3,0.002,15.0,5.0
201909230600,강북구,0.004,0.043,0.3,0.002,14.0,6.0
201909230500,강북구,0.003,0.045,0.3,0.002,16.0,8.0
201909230400,강북구,0.003,0.047,0.3,0.002,11.0,6.0
201909230300,강북구,0.003,0.048,0.3,0.002,9.0,3.0
201909230200,강북구,0.003,0.049,0.3,0.002,4.0,1.0
201909230100,강북구,0.004,0.045,0.3,0.002,13.0,2.0
201909230000,강북구,0.005,0.045,0.3,0.002,9.0,2.0
201909231400,강북구,0.008,0.051,0.3,0.002,17.0,7.0
201909231300,강북구,0.009,0.047,0.3,0.002,17.0,6.0
201909231200,강북구,0.01,0.043,0.3,0.002,15.0,5.0
201909231100,강북구,0.008,0.041,0.3,0.002,16.0,3.0
201909231000,강북구,0.008,0.038,0.3,0.002,16.0,4.0
201909230900,강북구,0.007,0.039,0.3,0.002,10.0,4.0
201909230800,강북구,0.005,0.04,0.3,0.003,13.0,4.0
201909232200,강북구,0.012,0.027,0.5,0.002,25.0,12.0
201909232100,강북구,0.007,0.035,0.3,0.002,24.0,12.0
201909232000,강북구,0.012,0.031,0.3,0.003,20.0,8.0
201909231900,강북구,0.006,0.043,0.3,0.002,23.0,10.0
201909231800,강북구,0.007,0.049,0.3,0.002,26.0,14.0
201909231700,강북구,0.014,0.052,0.3,0.002,18.0,8.0
201909231600,강북구,0.007,0.058,0.3,0.002,21.0,12.0
201909231500,강북구,0.008,0.056,0.3,0.002,19.0,8.0
201909232300,강북구,0.009,0.029,0.3,0.002,22.0,11.0
201909230700,강서구,0.012,0.029,0.2,0.003,14.0,4.0
201909230600,강서구,0.009,0.033,0.2,0.003,8.0,4.0
201909230500,강서구,0.006,0.036,0.3,0.003,7.0,6.0
201909230400,강서구,0.006,0.038,0.3,0.004,8.0,5.0
201909230300,강서구,0.005,0.041,0.3,0.004,3.0,1.0
201909230200,강서구,0.005,0.04,0.3,0.004,3.0,1.0
201909230100,강서구,0.007,0.037,0.3,0.004,3.0,2.0
201909230000,강서구,0.009,0.036,0.3,0.005,4.0,3.0
201909231500,강서구,0.011,0.056,0.2,0.003,14.0,8.0
201909231400,강서구,0.009,0.05,0.2,0.003,14.0,6.0
201909231300,강서구,0.01,0.043,0.2,0.002,14.0,4.0
201909231200,강서구,0.011,0.038,0.2,0.003,14.0,6.0
201909231100,강서구,0.011,0.033,0.3,0.002,16.0,6.0
201909231000,강서구,0.015,0.027,0.3,0.003,15.0,3.0
201909230900,강서구,0.02,0.02,0.3,0.003,14.0,5.0
201909230800,강서구,0.019,0.023,0.3,0.002,12.0,5.0
201909232300,강서구,0.026,0.019,0.4,0.0,15.0,7.0
201909232200,강서구,0.018,0.027,0.4,0.0,19.0,11.0
201909232100,강서구,0.027,0.02,0.5,0.0,23.0,13.0
201909232000,강서구,0.024,0.022,0.4,0.0,21.0,11.0
201909231900,강서구,0.021,0.027,0.4,0.0,23.0,11.0
201909231800,강서구,0.015,0.045,0.3,0.005,21.0,11.0
201909231700,강서구,0.013,0.054,0.3,0.004,19.0,12.0
201909231600,강서구,0.012,0.058,0.2,0.004,19.0,9.0
201909230700,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230600,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230500,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230400,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230300,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230200,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230100,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230000,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231500,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231400,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231300,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231200,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231100,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231000,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230900,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230800,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909232200,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909232100,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909232000,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231900,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231800,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231700,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909231600,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909232300,관악구,0.0,0.0,0.0,0.0,0.0,0.0
201909230700,광진구,0.009,0.032,0.6,0.003,12.0,8.0
201909230600,광진구,0.007,0.035,0.6,0.003,18.0,8.0
201909230500,광진구,0.006,0.036,0.6,0.003,8.0,9.0
201909230400,광진구,0.004,0.04,0.6,0.003,8.0,10.0
201909230300,광진구,0.004,0.041,0.5,0.003,8.0,9.0
201909230200,광진구,0.004,0.044,0.5,0.003,5.0,6.0
201909230100,광진구,0.004,0.043,0.5,0.003,7.0,6.0
201909230000,광진구,0.005,0.043,0.5,0.003,9.0,4.0
201909231500,광진구,0.008,0.042,0.5,0.004,16.0,8.0
201909231400,광진구,0.009,0.04,0.5,0.003,12.0,9.0
201909231300,광진구,0.008,0.039,0.5,0.004,12.0,6.0
201909231200,광진구,0.008,0.037,0.5,0.004,15.0,9.0
201909231100,광진구,0.008,0.034,0.5,0.003,13.0,6.0
201909231000,광진구,0.008,0.032,0.6,0.003,13.0,6.0
201909230900,광진구,0.011,0.028,0.6,0.003,12.0,9.0
201909230800,광진구,0.011,0.029,0.6,0.004,14.0,8.0
201909232300,광진구,0.038,0.001,0.8,0.004,24.0,14.0
201909232200,광진구,0.035,0.006,0.7,0.004,26.0,14.0
201909232100,광진구,0.037,0.005,0.7,0.004,18.0,11.0
201909232000,광진구,0.028,0.017,0.6,0.004,19.0,10.0
201909231900,광진구,0.026,0.022,0.6,0.004,24.0,14.0
201909231800,광진구,0.019,0.034,0.6,0.004,22.0,11.0
201909231700,광진구,0.017,0.037,0.6,0.004,18.0,10.0
201909231600,광진구,0.013,0.038,0.5,0.004,16.0,9.0
201909230700,구로구,0.015,0.032,0.2,0.003,10.0,1.0
201909230600,구로구,0.01,0.038,0.2,0.003,8.0,1.0
201909230500,구로구,0.007,0.042,0.2,0.003,8.0,1.0
201909230400,구로구,0.007,0.045,0.2,0.003,7.0,1.0
201909230300,구로구,0.006,0.047,0.2,0.003,3.0,1.0
201909230200,구로구,0.006,0.044,0.2,0.003,3.0,1.0
201909230100,구로구,0.008,0.042,0.2,0.003,6.0,1.0
201909230000,구로구,0.01,0.041,0.2,0.003,4.0,1.0
201909231500,구로구,0.013,0.055,0.2,0.003,13.0,1.0
201909231400,구로구,0.014,0.053,0.3,0.003,13.0,2.0
201909231300,구로구,0.015,0.052,0.3,0.003,15.0,2.0
201909231200,구로구,0.013,0.041,0.2,0.003,12.0,1.0
201909231100,구로구,0.013,0.037,0.2,0.003,13.0,1.0
201909231000,구로구,0.014,0.032,0.2,0.003,13.0,1.0
201909230900,구로구,0.017,0.029,0.2,0.003,16.0,1.0
201909230800,구로구,0.02,0.027,0.2,0.003,13.0,1.0
201909232200,구로구,0.029,0.022,0.3,0.004,18.0,4.0
201909232100,구로구,0.019,0.032,0.2,0.003,13.0,2.0
201909232000,구로구,0.025,0.027,0.2,0.004,17.0,4.0
201909231900,구로구,0.03,0.032,0.2,0.004,25.0,3.0
201909231800,구로구,0.015,0.057,0.2,0.003,22.0,3.0
201909231700,구로구,0.013,0.064,0.2,0.003,21.0,4.0
201909231600,구로구,0.013,0.058,0.2,0.003,17.0,1.0
201909232300,구로구,0.038,0.012,0.3,0.004,21.0,6.0
201909230700,금천구,0.018,0.021,0.3,0.002,11.0,6.0
