MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201902050700,강남구,0.031,0.002,0.7,0.005,36.0,27.0
201902050600,강남구,0.032,0.002,0.6,0.005,35.0,24.0
201902050500,강남구,0.032,0.002,0.6,0.006,37.0,26.0
201902050400,강남구,0.035,0.002,0.6,0.005,39.0,28.0
201902050300,강남구,0.038,0.002,0.6,0.005,39.0,26.0
201902050200,강남구,0.041,0.002,0.6,0.006,37.0,23.0
201902050100,강남구,0.042,0.002,0.5,0.006,35.0,20.0
201902050000,강남구,0.039,0.005,0.5,0.004,33.0,19.0
201902051500,강남구,0.016,0.03,0.4,0.005,105.0,31.0
201902051400,강남구,0.019,0.024,0.4,0.007,89.0,31.0
201902051300,강남구,0.018,0.023,0.4,0.007,84.0,26.0
201902051200,강남구,0.028,0.013,0.5,0.006,59.0,26.0
201902051100,강남구,0.031,0.009,0.6,0.006,52.0,29.0
201902051000,강남구,0.035,0.005,0.6,0.006,50.0,24.0
201902050900,강남구,0.035,0.004,0.6,0.005,46.0,29.0
201902050800,강남구,0.033,0.002,0.6,0.005,37.0,23.0
201902052300,강남구,0.057,0.002,0.8,0.006,103.0,37.0
201902052200,강남구,0.057,0.002,0.7,0.006,100.0,35.0
201902052100,강남구,0.058,0.002,0.7,0.006,106.0,42.0
201902052000,강남구,0.049,0.009,0.7,0.007,104.0,36.0
201902051900,강남구,0.033,0.019,0.6,0.006,108.0,39.0
201902051800,강남구,0.02,0.03,0.5,0.006,114.0,34.0
201902051700,강남구,0.018,0.031,0.4,0.006,111.0,34.0
201902051600,강남구,0.014,0.032,0.4,0.006,110.0,34.0
201902050700,강동구,0.036,0.002,0.6,0.004,43.0,22.0
201902050600,강동구,0.036,0.003,0.6,0.003,41.0,25.0
201902050500,강동구,0.035,0.003,0.5,0.004,41.0,22.0
201902050400,강동구,0.035,0.002,0.6,0.003,41.0,24.0
201902050300,강동구,0.039,0.002,0.6,0.005,43.0,26.0
201902050200,강동구,0.043,0.002,0.6,0.004,45.0,25.0
201902050100,강동구,0.048,0.002,0.6,0.004,51.0,26.0
201902050000,강동구,0.055,0.002,0.6,0.004,48.0,25.0
201902051500,강동구,0.022,0.03,0.4,0.005,103.0,27.0
201902051400,강동구,0.018,0.031,0.4,0.004,103.0,29.0
201902051300,강동구,0.023,0.027,0.4,0.005,85.0,23.0
201902051200,강동구,0.034,0.013,0.5,0.005,61.0,25.0
201902051100,강동구,0.035,0.011,0.5,0.005,54.0,23.0
201902051000,강동구,0.037,0.008,0.5,0.004,52.0,22.0
201902050900,강동구,0.04,0.004,0.6,0.004,63.0,22.0
201902050800,강동구,0.039,0.002,0.6,0.004,42.0,26.0
201902052300,강동구,0.063,0.002,0.7,0.005,108.0,39.0
201902052200,강동구,0.07,0.002,0.8,0.005,106.0,38.0
201902052100,강동구,0.069,0.002,0.8,0.005,109.0,35.0
201902052000,강동구,0.066,0.002,0.7,0.004,107.0,37.0
201902051900,강동구,0.062,0.006,0.6,0.005,119.0,38.0
201902051800,강동구,0.038,0.022,0.5,0.005,119.0,33.0
201902051700,강동구,0.023,0.034,0.4,0.006,122.0,31.0
201902051600,강동구,0.018,0.036,0.4,0.006,113.0,30.0
201902050700,강북구,0.041,0.002,0.7,0.002,50.0,25.0
201902050600,강북구,0.041,0.002,0.7,0.002,48.0,22.0
201902050500,강북구,0.041,0.002,0.7,0.002,48.0,21.0
201902050400,강북구,0.041,0.002,0.7,0.002,46.0,23.0
201902050300,강북구,0.04,0.002,0.7,0.002,44.0,22.0
201902050200,강북구,0.04,0.002,0.7,0.003,46.0,20.0
201902050100,강북구,0.034,0.005,0.6,0.002,50.0,20.0
201902050000,강북구,0.028,0.009,0.5,0.002,48.0,20.0
201902051500,강북구,0.027,0.03,0.5,0.004,123.0,26.0
201902051400,강북구,0.027,0.027,0.5,0.004,111.0,25.0
201902051300,강북구,0.03,0.023,0.5,0.005,96.0,26.0
201902051200,강북구,0.031,0.019,0.6,0.005,83.0,29.0
201902051100,강북구,0.032,0.015,0.6,0.005,65.0,29.0
201902051000,강북구,0.034,0.009,0.7,0.004,53.0,21.0
201902050900,강북구,0.034,0.009,0.7,0.003,47.0,20.0
201902050800,강북구,0.039,0.003,0.7,0.003,50.0,23.0
201902052300,강북구,0.05,0.003,0.9,0.003,117.0,39.0
201902052200,강북구,0.041,0.008,0.8,0.003,115.0,39.0
201902052100,강북구,0.029,0.017,0.7,0.003,122.0,41.0
201902052000,강북구,0.037,0.014,0.7,0.004,118.0,37.0
201902051900,강북구,0.028,0.023,0.7,0.004,137.0,39.0
201902051800,강북구,0.031,0.027,0.7,0.004,143.0,33.0
201902051700,강북구,0.02,0.041,0.5,0.004,145.0,29.0
201902051600,강북구,0.021,0.038,0.5,0.004,132.0,27.0
