기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	신촌/홍대주변	강남역
2015	전체	전체	78.7	77.1	60.3	29	44.3	40.7	25.8	26.7	23.4	29.1	23.1
2015	성별	남성	74.8	66.1	55.1	28.5	46.4	38.4	21.8	28.8	21	21.5	23.6
2015	성별	여성	81.9	85.2	64.2	29.4	42.7	42.4	28.7	25.2	25.2	34.8	22.8
2015	연령별	15~20세	88.9	85.9	60.8	23.8	42.9	49.2	30.6	29	29.9	42.6	26.5
2015	연령별	21~30세	82.2	84	66.3	28.4	46.5	48.3	28.7	27.8	27.4	40.5	25.5
2015	연령별	31~40세	77.5	76.1	61.4	29.4	42.2	36.2	23.4	25	21.3	24.1	21.8
2015	연령별	41~50세	74.4	66.8	51.6	29.7	41	31.4	21.4	27.3	19.1	17	21.8
2015	연령별	51~60세	70.8	64.1	48.1	31.1	44.5	31.9	23.2	24.5	17.4	10.3	20.2
2015	연령별	61세이상	73.3	60.6	46.5	34.8	50.4	32.7	26.3	27.4	13.8	5.9	10.6
2015	방한목적	여가/위락/휴가	75.8	87.2	66.7	30.2	50.4	48.7	27.6	29.9	28.4	32.3	18.4
2015	방한목적	뷰티 건강 및 치료	91.2	73.1	40.6	20.8	18.2	16.8	10.8	11.4	17.6	17.5	37.5
2015	방한목적	종교 및 순례	65.2	58.8	62.5	23.6	54.7	29.6	35.4	35.9	20.5	25.4	11.1
2015	방한목적	쇼핑	94.3	94	76.4	31.3	36.9	37.7	19.3	20.4	23.4	32.3	17.6
2015	방한목적	친구/친지 방문	85.9	62.3	51.7	28.5	43.2	33.6	30.2	29.3	16.2	28.6	31.6
2015	방한목적	사업/전문 활동	73	41.4	33.9	21.8	29.8	20.1	16.7	17.1	10.3	10.9	29.5
2015	방한목적	교육	91.3	83.2	66.7	41.4	54.9	56.3	50.4	41.1	32.2	60.1	49.9
2015	방한목적	기타	100	75.9	40.1	-	13.6	13.6	13.6	13.6	13.6	-	26.5
2015	방한횟수	1회	77.6	79.3	63.7	30.5	58.8	52.4	28.8	36	27.7	28.5	20.5
2015	방한횟수	2회	80.5	79.3	60.9	26.7	40.2	37	26.9	22.7	21.6	34.5	24.7
2015	방한횟수	3회	80.9	78.8	59.2	28.8	29.1	30.8	21.7	18.5	19.7	32.4	24.2
2015	방한횟수	4회 이상	79.4	69.4	51.9	27.3	17.9	19.1	19	10.4	15.7	25.4	27.7
