기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	신촌/홍대주변	강남역
2014	전체	전체	80.4	77.6	61.9	27.8	43.5	42.5	30.3	21.9	23.6	29.9	22.9
2014	성별	남성	75.6	65.8	55.3	25.9	44.1	39.8	26.8	22.6	21.6	24.5	25.1
2014	성별	여성	84.3	86.2	66.8	29.2	43.1	44.4	32.9	21.4	25	33.8	21.3
2014	연령별	15~20세	95	86.4	66.4	27.8	39.8	53.5	34.2	28.2	37.5	44.2	24.7
2014	연령별	21~30세	83.7	86.3	69.6	27.4	45	52.2	35.7	23.4	28.3	42.9	25.4
2014	연령별	31~40세	80	76.3	62	26.8	44.1	38.9	26.9	20.5	20.6	24.3	21.7
2014	연령별	41~50세	75.3	65.5	51.5	28.6	41.2	32.1	23.5	19.8	17.3	14.4	21.6
2014	연령별	51~60세	71.5	62.7	49.5	30.6	43.9	28.4	27.3	20.1	15.2	11.9	17.7
2014	연령별	61세이상	71.3	56.6	37	31.8	37.8	16.7	24.2	16.2	10.6	6.8	17.8
2014	방한목적	여가/위락/휴가	79.2	87.8	70.4	28.9	49.6	50.9	32.5	24.2	29.8	34.1	18.5
2014	방한목적	뷰티 건강 및 치료	87.1	72.6	55.9	32.4	32.4	23.4	25.3	21.8	19.9	14.5	34.6
2014	방한목적	종교 및 순례	73	73.1	59.4	18.6	31.9	39.4	25.7	16	15.8	18.9	16.9
2014	방한목적	쇼핑	94	95.8	76.1	31.2	31.4	33.2	27.5	11.3	19.9	31.4	15.2
2014	방한목적	친구/친지 방문	88.3	67.2	50.5	31.2	43.5	33.6	37.5	26.8	14.7	32.5	32.7
2014	방한목적	사업/전문 활동	72.6	37.1	30.1	17.8	29.5	22.9	16.6	15.2	7.5	9.9	32.5
2014	방한목적	교육	90.2	82.9	66	42.4	60.8	58.8	58.2	43.1	36.8	56.2	45.1
2014	방한목적	기타	93.2	16.7	55.4	38.6	34.6	21	38.5	16.9	7.4	-	-
2014	방한횟수	1회	80.3	81	66.7	28.1	52.5	50.9	32	27.1	28.8	31.2	21.5
2014	방한횟수	2회	84.7	80.7	62	27.9	36.2	41.2	32.6	17.5	20.1	36.1	25.2
2014	방한횟수	3회	79.4	74.8	54.2	30.6	29	24.5	30.9	13.3	12.6	28.8	25.7
2014	방한횟수	4회 이상	77.6	61.2	44.6	25	17.2	14.7	20.8	7.3	8.6	18.6	25.5
