MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201801270000,강남구,0.036,0.007,0.5,0.006,32.0,27.0
201801270100,강남구,0.035,0.009,0.5,0.006,32.0,26.0
201801270200,강남구,0.038,0.007,0.5,0.006,29.0,21.0
201801270300,강남구,0.034,0.008,0.5,0.006,28.0,22.0
201801270400,강남구,0.042,0.004,0.6,0.006,29.0,23.0
201801270500,강남구,0.044,0.002,0.6,0.005,33.0,29.0
201801270600,강남구,0.045,0.002,0.6,0.004,37.0,32.0
201801270700,강남구,0.043,0.002,0.6,0.005,35.0,32.0
201801270800,강남구,0.043,0.002,0.7,0.005,34.0,31.0
201801270900,강남구,0.045,0.003,0.7,0.005,0.0,35.0
201801271000,강남구,0.045,0.005,0.7,0.005,0.0,35.0
201801271100,강남구,0.036,0.009,0.6,0.005,0.0,35.0
201801271200,강남구,0.026,0.015,0.5,0.006,23.0,23.0
201801271300,강남구,0.036,0.011,0.6,0.004,35.0,30.0
201801271400,강남구,0.045,0.008,0.7,0.006,0.0,40.0
201801271500,강남구,0.045,0.009,0.7,0.006,44.0,43.0
201801271600,강남구,0.047,0.007,0.7,0.005,45.0,45.0
201801271700,강남구,0.045,0.007,0.6,0.006,0.0,45.0
201801271800,강남구,0.05,0.004,0.6,0.006,41.0,38.0
201801271900,강남구,0.052,0.003,0.6,0.006,36.0,32.0
201801272000,강남구,0.056,0.002,0.6,0.006,36.0,29.0
201801272100,강남구,0.056,0.002,0.6,0.005,34.0,30.0
201801272200,강남구,0.053,0.003,0.6,0.005,32.0,28.0
201801272300,강남구,0.055,0.003,0.6,0.005,34.0,27.0
201801270000,강동구,0.039,0.009,0.6,0.005,44.0,32.0
201801270100,강동구,0.043,0.006,0.6,0.005,52.0,32.0
201801270200,강동구,0.04,0.007,0.7,0.004,47.0,32.0
201801270300,강동구,0.038,0.008,0.7,0.004,51.0,36.0
201801270400,강동구,0.033,0.011,0.6,0.004,49.0,36.0
201801270500,강동구,0.032,0.011,0.6,0.005,47.0,35.0
201801270600,강동구,0.043,0.003,0.7,0.003,46.0,29.0
201801270700,강동구,0.041,0.003,0.7,0.004,44.0,40.0
201801270800,강동구,0.044,0.002,0.8,0.004,39.0,32.0
201801270900,강동구,0.046,0.004,0.8,0.004,50.0,35.0
201801271000,강동구,0.031,0.014,0.6,0.004,46.0,27.0
201801271100,강동구,0.033,0.015,0.7,0.005,50.0,28.0
201801271200,강동구,0.026,0.022,0.6,0.005,55.0,24.0
201801271300,강동구,0.027,0.022,0.6,0.005,46.0,29.0
201801271400,강동구,0.032,0.02,0.6,0.006,53.0,19.0
201801271500,강동구,0.037,0.017,0.7,0.005,45.0,27.0
201801271600,강동구,0.05,0.01,0.8,0.005,61.0,36.0
201801271700,강동구,0.059,0.005,0.9,0.006,65.0,37.0
201801271800,강동구,0.057,0.004,0.7,0.006,58.0,0.0
201801271900,강동구,0.059,0.002,0.8,0.005,44.0,36.0
201801272000,강동구,0.061,0.002,0.8,0.005,39.0,37.0
201801272100,강동구,0.063,0.002,0.9,0.005,0.0,40.0
201801272200,강동구,0.063,0.002,0.9,0.005,59.0,46.0
201801272300,강동구,0.059,0.002,0.8,0.005,49.0,34.0
201801270000,강북구,0.016,0.027,0.5,0.004,38.0,21.0
201801270100,강북구,0.02,0.022,0.5,0.003,38.0,22.0
201801270200,강북구,0.03,0.013,0.6,0.003,38.0,21.0
201801270300,강북구,0.026,0.017,0.5,0.004,36.0,24.0
201801270400,강북구,0.026,0.016,0.5,0.003,33.0,17.0
201801270500,강북구,0.026,0.016,0.5,0.003,30.0,14.0
201801270600,강북구,0.03,0.012,0.7,0.003,33.0,18.0
201801270700,강북구,0.036,0.007,0.6,0.003,35.0,19.0
201801270800,강북구,0.038,0.006,0.7,0.003,40.0,21.0
201801270900,강북구,0.047,0.005,0.9,0.004,47.0,26.0
201801271000,강북구,0.039,0.012,0.7,0.005,50.0,29.0
201801271100,강북구,0.033,0.018,0.7,0.005,55.0,29.0
201801271200,강북구,0.03,0.021,0.6,0.005,42.0,23.0
201801271300,강북구,0.041,0.016,0.7,0.005,51.0,26.0
201801271400,강북구,0.043,0.017,0.7,0.006,54.0,32.0
201801271500,강북구,0.042,0.017,0.7,0.005,54.0,32.0
201801271600,강북구,0.046,0.015,0.7,0.006,56.0,34.0
201801271700,강북구,0.056,0.009,0.7,0.006,64.0,36.0
201801271800,강북구,0.04,0.015,0.6,0.005,51.0,30.0
201801271900,강북구,0.032,0.021,0.5,0.004,39.0,19.0
201801272000,강북구,0.034,0.016,0.6,0.004,38.0,22.0
201801272100,강북구,0.038,0.013,0.7,0.004,40.0,26.0
201801272200,강북구,0.043,0.008,0.7,0.004,35.0,22.0
201801272300,강북구,0.046,0.01,0.7,0.004,34.0,21.0
201801270000,강서구,0.032,0.013,0.5,0.004,41.0,21.0
201801270100,강서구,0.04,0.004,0.6,0.005,50.0,26.0
201801270200,강서구,0.035,0.008,0.6,0.004,50.0,26.0
201801270300,강서구,0.031,0.012,0.6,0.004,44.0,24.0
201801270400,강서구,0.046,0.002,0.7,0.007,50.0,28.0
201801270500,강서구,0.043,0.002,0.6,0.005,54.0,30.0
201801270600,강서구,0.046,0.002,0.8,0.005,50.0,28.0
201801270700,강서구,0.043,0.003,0.7,0.004,49.0,27.0
