MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201601180000,강남구,0.064,0.002,1.1,0.005,85.0,56.0
201601180100,강남구,0.058,0.002,0.9,0.005,75.0,45.0
201601180200,강남구,0.06,0.002,1.1,0.005,69.0,48.0
201601180300,강남구,0.049,0.003,0.9,0.005,79.0,52.0
201601180400,강남구,0.026,0.012,0.7,0.004,93.0,58.0
201601180500,강남구,0.018,0.019,0.7,0.005,88.0,61.0
201601180600,강남구,0.019,0.021,0.8,0.005,80.0,56.0
201601180700,강남구,0.024,0.014,0.7,0.005,82.0,55.0
201601180800,강남구,0.024,0.016,0.7,0.004,94.0,57.0
201601180900,강남구,0.029,0.015,0.6,0.005,95.0,52.0
201601181000,강남구,0.027,0.023,0.6,0.006,88.0,47.0
201601181100,강남구,0.023,0.029,0.5,0.006,68.0,34.0
201601181200,강남구,0.017,0.038,0.4,0.006,63.0,29.0
201601181300,강남구,0.016,0.042,0.4,0.006,71.0,18.0
201601181400,강남구,0.0,0.0,0.0,0.0,48.0,15.0
201601181500,강남구,0.015,0.042,0.3,0.005,53.0,8.0
201601181600,강남구,0.018,0.037,0.3,0.005,60.0,11.0
201601181700,강남구,0.019,0.037,0.3,0.005,37.0,11.0
201601181800,강남구,0.02,0.036,0.3,0.005,36.0,7.0
201601181900,강남구,0.018,0.037,0.3,0.005,26.0,4.0
201601182000,강남구,0.018,0.036,0.3,0.004,29.0,8.0
201601182100,강남구,0.018,0.035,0.3,0.005,32.0,5.0
201601182200,강남구,0.018,0.032,0.3,0.006,30.0,15.0
201601182300,강남구,0.016,0.035,0.3,0.005,31.0,12.0
201601180000,강동구,0.063,0.002,1.0,0.005,72.0,54.0
201601180100,강동구,0.063,0.002,1.1,0.005,75.0,70.0
201601180200,강동구,0.056,0.002,1.1,0.005,87.0,59.0
201601180300,강동구,0.056,0.002,1.3,0.006,86.0,60.0
201601180400,강동구,0.052,0.002,1.1,0.006,87.0,63.0
201601180500,강동구,0.033,0.005,0.9,0.005,93.0,57.0
201601180600,강동구,0.022,0.013,0.8,0.005,79.0,53.0
201601180700,강동구,0.03,0.007,0.8,0.006,82.0,57.0
201601180800,강동구,0.028,0.009,0.8,0.006,97.0,63.0
201601180900,강동구,0.027,0.011,0.7,0.005,90.0,53.0
201601181000,강동구,0.026,0.014,0.6,0.007,78.0,45.0
201601181100,강동구,0.019,0.018,0.5,0.006,56.0,31.0
201601181200,강동구,0.017,0.019,0.5,0.006,57.0,26.0
201601181300,강동구,0.014,0.021,0.4,0.006,48.0,22.0
201601181400,강동구,0.011,0.023,0.4,0.005,86.0,18.0
201601181500,강동구,0.011,0.022,0.4,0.005,82.0,19.0
201601181600,강동구,0.012,0.022,0.3,0.005,0.0,7.0
201601181700,강동구,0.013,0.021,0.3,0.005,91.0,8.0
201601181800,강동구,0.016,0.019,0.3,0.004,49.0,11.0
201601181900,강동구,0.017,0.018,0.4,0.004,38.0,6.0
201601182000,강동구,0.017,0.017,0.4,0.004,25.0,4.0
201601182100,강동구,0.016,0.017,0.4,0.005,28.0,6.0
201601182200,강동구,0.016,0.017,0.4,0.005,29.0,5.0
201601182300,강동구,0.014,0.019,0.4,0.005,56.0,12.0
201601180000,강북구,0.06,0.002,1.5,0.006,76.0,47.0
201601180100,강북구,0.055,0.002,1.3,0.005,72.0,50.0
201601180200,강북구,0.056,0.002,1.4,0.005,74.0,51.0
201601180300,강북구,0.052,0.003,1.2,0.005,72.0,49.0
201601180400,강북구,0.034,0.009,0.8,0.004,80.0,51.0
201601180500,강북구,0.017,0.017,0.8,0.005,80.0,51.0
201601180600,강북구,0.013,0.025,0.8,0.006,70.0,50.0
201601180700,강북구,0.017,0.021,0.8,0.006,81.0,54.0
201601180800,강북구,0.019,0.021,0.8,0.006,75.0,43.0
201601180900,강북구,0.02,0.021,0.8,0.006,69.0,41.0
201601181000,강북구,0.018,0.024,0.6,0.006,52.0,31.0
201601181100,강북구,0.014,0.03,0.5,0.005,45.0,29.0
201601181200,강북구,0.011,0.032,0.4,0.005,40.0,27.0
201601181300,강북구,0.011,0.031,0.4,0.004,37.0,19.0
201601181400,강북구,0.01,0.033,0.4,0.004,33.0,13.0
201601181500,강북구,0.01,0.033,0.4,0.004,36.0,12.0
201601181600,강북구,0.012,0.032,0.3,0.003,25.0,14.0
201601181700,강북구,0.015,0.027,0.4,0.003,30.0,11.0
201601181800,강북구,0.018,0.025,0.4,0.003,24.0,12.0
201601181900,강북구,0.016,0.026,0.4,0.003,19.0,12.0
201601182000,강북구,0.016,0.025,0.4,0.003,21.0,8.0
201601182100,강북구,0.016,0.024,0.4,0.004,17.0,12.0
201601182200,강북구,0.014,0.026,0.4,0.004,21.0,9.0
201601182300,강북구,0.014,0.026,0.4,0.004,18.0,12.0
201601180000,강서구,0.053,0.001,1.0,0.006,103.0,69.0
201601180100,강서구,0.055,0.001,1.0,0.006,96.0,68.0
201601180200,강서구,0.045,0.001,0.7,0.005,93.0,71.0
201601180300,강서구,0.031,0.006,0.6,0.006,83.0,64.0
201601180400,강서구,0.019,0.013,0.6,0.005,87.0,58.0
201601180500,강서구,0.013,0.019,0.6,0.005,75.0,54.0
201601180600,강서구,0.014,0.019,0.6,0.006,68.0,50.0
201601180700,강서구,0.017,0.017,0.6,0.007,82.0,53.0
201601180800,강서구,0.023,0.013,0.6,0.006,103.0,49.0
201601180900,강서구,0.025,0.013,0.6,0.007,93.0,48.0
201601181000,강서구,0.024,0.015,0.5,0.007,73.0,44.0
201601181100,강서구,0.016,0.024,0.4,0.007,61.0,28.0
201601181200,강서구,0.013,0.027,0.3,0.005,55.0,19.0
201601181300,강서구,0.013,0.026,0.3,0.006,53.0,26.0
201601181400,강서구,0.01,0.03,0.3,0.005,47.0,6.0
201601181500,강서구,0.01,0.03,0.2,0.005,52.0,9.0
201601181600,강서구,0.01,0.03,0.2,0.005,45.0,5.0
201601181700,강서구,0.012,0.027,0.2,0.005,30.0,7.0
201601181800,강서구,0.014,0.024,0.3,0.006,33.0,7.0
201601181900,강서구,0.015,0.024,0.3,0.006,22.0,10.0
201601182000,강서구,0.015,0.024,0.3,0.005,20.0,5.0
201601182100,강서구,0.015,0.023,0.3,0.006,17.0,4.0
201601182200,강서구,0.014,0.023,0.3,0.006,26.0,7.0
201601182300,강서구,0.013,0.024,0.3,0.005,29.0,9.0
201601180000,관악구,0.088,0.001,1.9,0.005,83.0,59.0
201601180100,관악구,0.089,0.001,2.0,0.005,86.0,61.0
201601180200,관악구,0.083,0.001,1.8,0.005,99.0,70.0
201601180300,관악구,0.052,0.005,0.9,0.004,82.0,60.0
201601180400,관악구,0.035,0.013,0.9,0.005,84.0,61.0
201601180500,관악구,0.031,0.017,0.9,0.005,77.0,55.0
201601180600,관악구,0.033,0.015,0.8,0.006,76.0,55.0
201601180700,관악구,0.033,0.015,0.8,0.007,82.0,57.0
201601180800,관악구,0.033,0.016,0.8,0.006,80.0,58.0
201601180900,관악구,0.038,0.012,0.8,0.006,77.0,55.0
201601181000,관악구,0.037,0.013,0.8,0.006,75.0,52.0
201601181100,관악구,0.032,0.018,0.6,0.005,64.0,48.0
201601181200,관악구,0.025,0.024,0.5,0.004,47.0,33.0
201601181300,관악구,0.023,0.025,0.4,0.004,49.0,28.0
201601181400,관악구,0.019,0.029,0.4,0.004,38.0,18.0
201601181500,관악구,0.02,0.027,0.4,0.004,40.0,20.0
201601181600,관악구,0.02,0.028,0.4,0.003,40.0,14.0
201601181700,관악구,0.019,0.027,0.3,0.003,27.0,14.0
201601181800,관악구,0.018,0.025,0.3,0.003,19.0,0.0
201601181900,관악구,0.021,0.022,0.4,0.003,15.0,9.0
201601182000,관악구,0.02,0.023,0.4,0.003,18.0,12.0
201601182100,관악구,0.021,0.022,0.4,0.004,19.0,14.0
201601182200,관악구,0.02,0.022,0.4,0.004,17.0,13.0
201601182300,관악구,0.02,0.022,0.4,0.004,21.0,13.0
201601180000,광진구,0.058,0.003,1.0,0.005,72.0,56.0
201601180100,광진구,0.054,0.003,0.8,0.005,72.0,58.0
201601180200,광진구,0.055,0.003,0.9,0.006,75.0,61.0
201601180300,광진구,0.059,0.003,1.0,0.006,74.0,61.0
201601180400,광진구,0.039,0.006,0.8,0.005,88.0,71.0
201601180500,광진구,0.029,0.011,0.8,0.005,97.0,75.0
201601180600,광진구,0.021,0.021,0.7,0.005,82.0,69.0
201601180700,광진구,0.029,0.012,0.8,0.004,89.0,75.0
201601180800,광진구,0.024,0.014,0.8,0.005,99.0,80.0
201601180900,광진구,0.023,0.017,0.7,0.005,91.0,70.0
201601181000,광진구,0.023,0.02,0.6,0.005,79.0,60.0
201601181100,광진구,0.019,0.026,0.5,0.005,60.0,40.0
201601181200,광진구,0.016,0.028,0.4,0.005,60.0,40.0
201601181300,광진구,0.012,0.029,0.3,0.005,54.0,31.0
201601181400,광진구,0.012,0.031,0.2,0.005,47.0,24.0
201601181500,광진구,0.012,0.031,0.2,0.004,45.0,17.0
