MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201603220000,강남구,0.055,0.018,0.6,0.007,83.0,39.0
201603220100,강남구,0.049,0.021,0.5,0.006,79.0,33.0
201603220200,강남구,0.038,0.029,0.5,0.007,73.0,35.0
201603220300,강남구,0.029,0.032,0.5,0.007,65.0,36.0
201603220400,강남구,0.027,0.031,0.4,0.007,60.0,31.0
201603220500,강남구,0.021,0.041,0.4,0.006,59.0,32.0
201603220600,강남구,0.033,0.018,0.5,0.006,61.0,37.0
201603220700,강남구,0.04,0.012,0.5,0.006,64.0,38.0
201603220800,강남구,0.048,0.007,0.6,0.006,68.0,35.0
201603220900,강남구,0.051,0.01,0.6,0.006,70.0,43.0
201603221000,강남구,0.054,0.013,0.6,0.007,72.0,37.0
201603221100,강남구,0.056,0.015,0.6,0.006,86.0,37.0
201603221200,강남구,0.046,0.03,0.5,0.006,81.0,40.0
201603221300,강남구,0.036,0.042,0.4,0.006,66.0,34.0
201603221400,강남구,0.035,0.049,0.4,0.006,67.0,39.0
201603221500,강남구,0.031,0.051,0.4,0.007,60.0,35.0
201603221600,강남구,0.034,0.05,0.4,0.008,52.0,28.0
201603221700,강남구,0.032,0.051,0.4,0.006,57.0,26.0
201603221800,강남구,0.042,0.045,0.4,0.006,55.0,33.0
201603221900,강남구,0.048,0.04,0.5,0.006,62.0,35.0
201603222000,강남구,0.046,0.039,0.5,0.006,65.0,39.0
201603222100,강남구,0.047,0.034,0.5,0.006,74.0,47.0
201603222200,강남구,0.035,0.043,0.5,0.006,88.0,62.0
201603222300,강남구,0.036,0.039,0.5,0.005,79.0,55.0
201603220000,강동구,0.061,0.011,0.6,0.005,98.0,42.0
201603220100,강동구,0.07,0.005,0.7,0.004,91.0,36.0
201603220200,강동구,0.069,0.003,0.7,0.005,98.0,45.0
201603220300,강동구,0.046,0.015,0.6,0.005,86.0,46.0
201603220400,강동구,0.039,0.016,0.6,0.004,72.0,39.0
201603220500,강동구,0.044,0.011,0.6,0.004,73.0,34.0
201603220600,강동구,0.041,0.011,0.6,0.004,70.0,43.0
201603220700,강동구,0.059,0.002,0.8,0.005,81.0,39.0
201603220800,강동구,0.062,0.003,0.9,0.004,84.0,40.0
201603220900,강동구,0.054,0.006,0.7,0.005,92.0,47.0
201603221000,강동구,0.057,0.009,0.6,0.006,78.0,42.0
201603221100,강동구,0.056,0.011,0.6,0.007,81.0,38.0
201603221200,강동구,0.047,0.021,0.6,0.006,69.0,43.0
201603221300,강동구,0.032,0.031,0.5,0.005,50.0,31.0
201603221400,강동구,0.04,0.032,0.5,0.006,74.0,38.0
201603221500,강동구,0.032,0.036,0.5,0.005,71.0,29.0
201603221600,강동구,0.032,0.037,0.4,0.006,63.0,33.0
201603221700,강동구,0.037,0.035,0.5,0.006,61.0,27.0
201603221800,강동구,0.04,0.034,0.5,0.005,58.0,31.0
201603221900,강동구,0.046,0.029,0.5,0.004,60.0,31.0
201603222000,강동구,0.044,0.03,0.5,0.005,57.0,34.0
201603222100,강동구,0.052,0.023,0.6,0.004,68.0,37.0
201603222200,강동구,0.046,0.024,0.6,0.004,77.0,46.0
201603222300,강동구,0.036,0.031,0.5,0.004,70.0,40.0
201603220000,강북구,0.075,0.004,0.8,0.006,81.0,41.0
201603220100,강북구,0.075,0.002,0.9,0.005,73.0,42.0
201603220200,강북구,0.07,0.003,0.8,0.005,74.0,42.0
201603220300,강북구,0.065,0.003,0.8,0.006,73.0,41.0
201603220400,강북구,0.06,0.002,0.8,0.005,74.0,45.0
