MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201408052300,강남구,0.033,0.018,0.5,0.008,74.0,49.0
201408052200,강남구,0.03,0.026,0.5,0.008,79.0,44.0
201408052100,강남구,0.035,0.028,0.5,0.009,77.0,47.0
201408052000,강남구,0.038,0.039,0.5,0.009,59.0,46.0
201408051900,강남구,0.027,0.056,0.5,0.007,64.0,43.0
201408051800,강남구,0.027,0.062,0.5,0.006,64.0,48.0
201408051700,강남구,0.019,0.072,0.4,0.007,56.0,38.0
201408051600,강남구,0.031,0.053,0.5,0.008,63.0,43.0
201408051500,강남구,0.026,0.062,0.5,0.008,72.0,45.0
201408051400,강남구,0.025,0.077,0.6,0.007,84.0,52.0
201408051300,강남구,0.026,0.053,0.6,0.006,86.0,51.0
201408051200,강남구,0.024,0.049,0.5,0.006,74.0,45.0
201408051100,강남구,0.025,0.033,0.4,0.005,41.0,30.0
201408051000,강남구,0.017,0.026,0.3,0.007,20.0,16.0
201408050900,강남구,0.022,0.014,0.3,0.005,19.0,11.0
201408050800,강남구,0.021,0.01,0.3,0.007,22.0,13.0
201408050700,강남구,0.015,0.016,0.2,0.006,13.0,6.0
201408050600,강남구,0.009,0.021,0.2,0.007,12.0,9.0
201408050500,강남구,0.008,0.022,0.2,0.006,17.0,11.0
201408050400,강남구,0.008,0.022,0.2,0.006,18.0,12.0
201408050300,강남구,0.008,0.023,0.2,0.006,19.0,8.0
201408050200,강남구,0.011,0.023,0.2,0.006,13.0,11.0
201408050100,강남구,0.021,0.013,0.3,0.006,12.0,4.0
201408050000,강남구,0.017,0.02,0.3,0.006,3.0,2.0
201408052300,강동구,0.029,0.018,0.6,0.005,61.0,49.0
201408052200,강동구,0.032,0.02,0.6,0.005,73.0,56.0
201408052100,강동구,0.047,0.018,0.7,0.006,61.0,56.0
201408052000,강동구,0.038,0.039,0.6,0.005,59.0,39.0
201408051900,강동구,0.03,0.047,0.6,0.005,61.0,45.0
201408051800,강동구,0.026,0.057,0.6,0.004,62.0,46.0
201408051700,강동구,0.024,0.058,0.6,0.005,56.0,39.0
201408051600,강동구,0.022,0.056,0.6,0.005,64.0,41.0
201408051500,강동구,0.025,0.062,0.7,0.004,81.0,50.0
201408051400,강동구,0.023,0.055,0.7,0.004,82.0,46.0
201408051300,강동구,0.021,0.045,0.6,0.003,72.0,45.0
201408051200,강동구,0.024,0.033,0.5,0.003,43.0,29.0
201408051100,강동구,0.019,0.019,0.4,0.003,24.0,17.0
201408051000,강동구,0.017,0.016,0.3,0.004,24.0,14.0
201408050900,강동구,0.018,0.012,0.3,0.004,17.0,8.0
201408050800,강동구,0.017,0.01,0.3,0.003,16.0,9.0
201408050700,강동구,0.015,0.011,0.3,0.004,19.0,9.0
201408050600,강동구,0.012,0.012,0.3,0.004,17.0,12.0
201408050500,강동구,0.009,0.015,0.3,0.003,17.0,10.0
201408050400,강동구,0.009,0.015,0.3,0.003,15.0,12.0
201408050300,강동구,0.01,0.016,0.3,0.003,11.0,6.0
201408050200,강동구,0.016,0.012,0.4,0.003,14.0,7.0
201408050100,강동구,0.021,0.01,0.4,0.003,9.0,6.0
201408050000,강동구,0.021,0.012,0.4,0.003,11.0,6.0
201408052300,강북구,0.024,0.039,0.5,0.005,82.0,58.0
201408052200,강북구,0.029,0.031,0.4,0.005,69.0,56.0
201408052100,강북구,0.03,0.036,0.4,0.005,61.0,48.0
201408052000,강북구,0.032,0.036,0.4,0.005,70.0,44.0
201408051900,강북구,0.028,0.047,0.4,0.004,71.0,43.0
201408051800,강북구,0.023,0.056,0.4,0.005,63.0,34.0
201408051700,강북구,0.023,0.057,0.3,0.004,56.0,32.0
201408051600,강북구,0.018,0.063,0.3,0.005,70.0,36.0
201408051500,강북구,0.019,0.068,0.3,0.004,78.0,42.0
201408051400,강북구,0.021,0.065,0.4,0.004,94.0,58.0
201408051300,강북구,0.022,0.053,0.4,0.005,87.0,64.0
201408051200,강북구,0.02,0.054,0.3,0.004,69.0,49.0
201408051100,강북구,0.018,0.034,0.3,0.004,27.0,19.0
201408051000,강북구,0.018,0.024,0.2,0.005,22.0,19.0
201408050900,강북구,0.02,0.021,0.2,0.005,18.0,17.0
201408050800,강북구,0.018,0.016,0.2,0.004,20.0,11.0
201408050700,강북구,0.016,0.014,0.2,0.004,18.0,12.0
201408050600,강북구,0.011,0.018,0.2,0.004,18.0,13.0
201408050500,강북구,0.009,0.02,0.2,0.003,22.0,11.0
201408050400,강북구,0.008,0.021,0.2,0.004,22.0,16.0
201408050300,강북구,0.01,0.02,0.2,0.004,23.0,14.0
201408050200,강북구,0.016,0.016,0.2,0.004,15.0,10.0
201408050100,강북구,0.024,0.012,0.2,0.004,5.0,8.0
201408050000,강북구,0.026,0.012,0.3,0.004,9.0,9.0
201408052300,강서구,0.021,0.027,0.5,0.005,69.0,56.0
201408052200,강서구,0.019,0.033,0.5,0.005,73.0,49.0
201408052100,강서구,0.029,0.025,0.6,0.005,77.0,47.0
201408052000,강서구,0.026,0.033,0.6,0.005,64.0,39.0
201408051900,강서구,0.025,0.034,0.6,0.005,42.0,33.0
201408051800,강서구,0.023,0.037,0.5,0.004,55.0,34.0
201408051700,강서구,0.02,0.041,0.5,0.004,55.0,33.0
201408051600,강서구,0.017,0.039,0.4,0.005,38.0,31.0
201408051500,강서구,0.019,0.033,0.5,0.005,49.0,26.0
201408051400,강서구,0.017,0.052,0.5,0.005,57.0,29.0
201408051300,강서구,0.019,0.056,0.6,0.005,76.0,48.0
201408051200,강서구,0.024,0.043,0.6,0.005,85.0,74.0
201408051100,강서구,0.023,0.044,0.6,0.005,86.0,0.0
201408051000,강서구,0.017,0.046,0.5,0.005,49.0,0.0
201408050900,강서구,0.017,0.028,0.4,0.005,28.0,0.0
201408050800,강서구,0.018,0.017,0.3,0.005,14.0,0.0
201408050700,강서구,0.018,0.008,0.3,0.006,15.0,10.0
201408050600,강서구,0.012,0.012,0.3,0.004,12.0,8.0
201408050500,강서구,0.01,0.013,0.3,0.005,12.0,7.0
201408050400,강서구,0.01,0.013,0.3,0.005,19.0,9.0
201408050300,강서구,0.009,0.015,0.3,0.005,14.0,8.0
201408050200,강서구,0.01,0.014,0.3,0.005,10.0,10.0
201408050100,강서구,0.013,0.012,0.3,0.005,11.0,6.0
201408050000,강서구,0.018,0.01,0.3,0.005,17.0,4.0
201408052300,관악구,0.029,0.026,0.7,0.008,105.0,50.0
201408052200,관악구,0.031,0.027,0.7,0.008,112.0,59.0
201408052100,관악구,0.03,0.036,0.7,0.009,108.0,48.0
201408052000,관악구,0.026,0.043,0.6,0.009,89.0,47.0
201408051900,관악구,0.025,0.051,0.6,0.01,88.0,38.0
201408051800,관악구,0.018,0.067,0.6,0.009,80.0,43.0
201408051700,관악구,0.017,0.068,0.6,0.008,57.0,35.0
201408051600,관악구,0.017,0.071,0.6,0.008,57.0,38.0
201408051500,관악구,0.018,0.07,0.6,0.008,61.0,33.0
201408051400,관악구,0.014,0.079,0.6,0.008,43.0,33.0
201408051300,관악구,0.022,0.08,0.8,0.01,82.0,38.0
201408051200,관악구,0.021,0.059,0.7,0.007,137.0,40.0
201408051100,관악구,0.018,0.056,0.6,0.005,105.0,41.0
201408051000,관악구,0.013,0.045,0.4,0.005,24.0,15.0
201408050900,관악구,0.016,0.028,0.4,0.006,21.0,12.0
201408050800,관악구,0.021,0.02,0.4,0.006,18.0,8.0
201408050700,관악구,0.015,0.017,0.4,0.007,18.0,9.0
201408050600,관악구,0.013,0.019,0.4,0.007,20.0,8.0
201408050500,관악구,0.01,0.022,0.4,0.007,17.0,9.0
201408050400,관악구,0.007,0.025,0.4,0.005,16.0,9.0
201408050300,관악구,0.009,0.023,0.4,0.006,20.0,14.0
201408050200,관악구,0.01,0.024,0.4,0.006,27.0,8.0
201408050100,관악구,0.015,0.02,0.4,0.005,18.0,12.0
201408050000,관악구,0.025,0.015,0.5,0.006,22.0,13.0
