기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	이태원	신촌/홍대주변
2013	전체	전체	80.9	72.8	56.6	32.8	39.1	31.6	29.4	25.2	30	21.6	24.2
2013	성별	남성	75	60.1	47.7	31.3	40.4	28.5	26.8	26.6	26.2	23.7	18
2013	성별	여성	86.1	82.6	63.5	33.9	38	33.9	31.4	24.1	33	20	28.9
2013	연령별	15~20세	90.3	84	71.1	28.4	34.9	37	29.7	30.8	46.3	29.7	40.9
2013	연령별	21~30세	86.4	81.7	65.8	32.5	39.8	39.7	31.8	25.8	37.9	26.6	37.1
2013	연령별	31~40세	79.3	70.7	55.6	33.8	40	31	28.6	25	26.6	20.4	19.3
2013	연령별	41~50세	77.2	65.1	47.4	30.7	38.2	22.8	25.1	23.2	24.5	15.3	12
2013	연령별	51~60세	74.6	60.8	43.5	34	38.5	19.4	29	23.1	15.9	17	10.7
2013	연령별	61세이상	69.2	53.5	33.8	41.1	37.8	22.6	31.4	26.6	17.2	13.6	3.4
2013	방한목적	여가/위락/휴가	81.6	81.4	63.6	31.9	46.6	36.2	30	29.4	36.4	18.8	26.3
2013	방한목적	뷰티 건강 및 치료	93.1	83.4	65.9	32.5	25.6	25.3	20	17.7	31.2	9	15.1
2013	방한목적	종교 및 순례	69.6	69.1	45.9	28.9	48.7	27.5	28.3	32	37.9	11.7	22.1
2013	방한목적	쇼핑	92.6	92.3	70.5	47.1	25.5	23.2	27.1	12.6	24.9	13.8	23.5
2013	방한목적	친구/친지 방문	85.1	67.9	51.4	32.3	38.4	30	36	24.5	22.3	29.5	27.2
2013	방한목적	사업/전문 활동	69.7	38	28.7	22.6	29.3	19.2	20.1	17.8	16.1	21.1	8.4
2013	방한목적	교육	91.4	86	72.3	45	41	54.4	48.9	40.9	45.6	49.3	54.4
2013	방한목적	기타	36.4	66.9	53.4	63.3	66.9	31.7	31.7	31.6	31.7	40.2	47.4
2013	방한횟수	1회	82.5	74.7	60.8	32.2	49.6	38.8	30.7	31.7	36.3	23.6	25.4
2013	방한횟수	2회	77.3	74.4	55.3	35.7	29.4	27	31.3	20.7	27.1	20.3	26.3
2013	방한횟수	3회	81.2	71.9	53.4	36	26.3	20.3	29.7	14.3	20.4	19.1	23.2
2013	방한횟수	4회 이상	78	65.3	43.9	31.2	14.8	14.2	23.1	10.2	14.5	16.9	18.5
