396,100,3
690,100,1
699,100,1
1154,100,1
2087,100,1
2728,100,1
3454,100,1
3681,100,2
3897,100,1
4065,100,6
4121,100,1
4599,100,2
6369,100,1
6972,100,1
7588,100,1
7606,100,1
8259,100,1
8579,100,1
8944,100,3
9025,100,1
10640,100,1
11040,100,1
11155,100,1
11274,100,2
11304,100,1
12480,100,1
12485,100,1
12552,100,1
12748,100,2
14181,100,1
14469,100,1
14844,100,4
15328,100,1
15334,100,2
15713,100,1
15991,100,2
16878,100,1
17013,100,1
17054,100,1
17533,100,1
18624,100,1
19719,100,1
19811,100,2
19887,100,2
20542,100,1
20745,100,1
21152,100,1
22345,100,1
22526,100,3
22554,100,1
22688,100,1
22742,100,2
23304,100,3
23621,100,6
23708,100,1
24430,100,1
24904,100,2
24960,100,1
25127,100,1
25464,100,1
25719,100,1
26421,100,1
26781,100,2
26892,100,1
26950,100,1
27545,100,2
28909,100,1
29478,100,1
29712,100,1
29770,100,3
30553,100,1
30743,100,2
30764,100,1
30808,100,1
30951,100,1
31742,100,1
31912,100,1
32474,100,2
32927,100,4
33476,100,1
33683,100,1
33726,100,2
36874,100,3
37680,100,1
38388,100,2
38822,100,1
38942,100,1
39370,100,1
39647,100,1
39654,100,1
39763,100,1
39892,100,1
40100,100,2
40199,100,4
40502,100,1
40745,100,3
40889,100,1
41072,100,1
41835,100,2
41915,100,1
41945,100,1
42202,100,1
42229,100,1
42401,100,1
42929,100,3
43558,100,1
44005,100,1
45027,100,1
45244,100,1
45337,100,2
45994,100,1
46984,100,1
47035,100,1
47192,100,1
49137,100,1
49333,100,1
49514,100,2
49689,100,1
49803,100,2
50236,100,2
50498,100,1
51768,100,1
51809,100,2
52784,100,1
53211,100,1
53452,100,2
53625,100,1
53943,100,1
54578,100,2
57770,100,1
58178,100,1
58355,100,1
58718,100,1
59664,100,1
60118,100,1
60483,100,1
60645,100,1
61509,100,3
61523,100,1
61552,100,2
63121,100,1
63360,100,2
63589,100,1
63628,100,1
63894,100,1
64332,100,1
64706,100,4
66189,100,1
66341,100,1
67622,100,1
67632,100,1
68767,100,2
68874,100,2
69081,100,1
69728,100,2
69733,100,1
69782,100,1
