MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201811160700,강남구,0.049,0.002,0.7,0.005,52.0,35.0
201811160600,강남구,0.044,0.001,0.6,0.006,50.0,33.0
201811160500,강남구,0.047,0.002,0.7,0.006,53.0,33.0
201811160400,강남구,0.052,0.002,0.7,0.006,59.0,37.0
201811160300,강남구,0.058,0.002,0.8,0.005,62.0,39.0
201811160200,강남구,0.057,0.002,0.7,0.006,59.0,37.0
201811160100,강남구,0.06,0.002,0.6,0.005,58.0,38.0
201811160000,강남구,0.066,0.002,0.7,0.006,63.0,39.0
201811161600,강남구,0.024,0.031,0.6,0.006,41.0,28.0
201811161500,강남구,0.03,0.03,0.5,0.005,47.0,33.0
201811161400,강남구,0.037,0.025,0.6,0.006,44.0,30.0
201811161300,강남구,0.052,0.017,0.7,0.007,71.0,44.0
201811161200,강남구,0.07,0.005,0.9,0.007,75.0,47.0
201811161100,강남구,0.062,0.003,0.9,0.006,70.0,46.0
201811161000,강남구,0.058,0.003,0.8,0.007,61.0,39.0
201811160900,강남구,0.055,0.002,0.9,0.007,60.0,39.0
201811160800,강남구,0.056,0.002,0.7,0.006,54.0,35.0
201811162300,강남구,0.027,0.01,0.6,0.005,37.0,24.0
201811162200,강남구,0.031,0.007,0.7,0.006,41.0,28.0
201811162100,강남구,0.028,0.008,0.7,0.005,53.0,36.0
201811162000,강남구,0.028,0.01,0.8,0.005,55.0,38.0
201811161900,강남구,0.028,0.015,0.7,0.006,52.0,35.0
201811161800,강남구,0.032,0.016,0.7,0.005,41.0,30.0
201811161700,강남구,0.029,0.023,0.6,0.006,40.0,28.0
201811160700,강동구,0.044,0.003,0.7,0.0,58.0,38.0
201811160600,강동구,0.038,0.002,0.6,0.0,53.0,32.0
201811160500,강동구,0.039,0.002,0.6,0.0,56.0,34.0
201811160400,강동구,0.041,0.001,0.6,0.0,54.0,33.0
201811160300,강동구,0.045,0.003,0.7,0.0,59.0,34.0
201811160200,강동구,0.054,0.003,0.8,0.0,73.0,39.0
201811160100,강동구,0.062,0.003,0.9,0.0,84.0,44.0
201811160000,강동구,0.069,0.004,0.9,0.0,78.0,41.0
201811161600,강동구,0.023,0.036,0.6,0.0,48.0,29.0
