MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201511282300,강남구,0.041,0.002,0.6,0.005,59.0,37.0
201511282200,강남구,0.047,0.003,0.7,0.004,62.0,40.0
201511282100,강남구,0.048,0.003,0.6,0.004,50.0,32.0
201511282000,강남구,0.046,0.002,0.6,0.005,46.0,27.0
201511281900,강남구,0.047,0.002,0.6,0.005,46.0,29.0
201511281800,강남구,0.049,0.002,0.6,0.005,55.0,33.0
201511281700,강남구,0.047,0.004,0.6,0.005,51.0,34.0
201511281600,강남구,0.043,0.007,0.6,0.006,52.0,33.0
201511281500,강남구,0.046,0.005,0.6,0.005,54.0,33.0
201511281400,강남구,0.04,0.009,0.6,0.006,40.0,30.0
201511281300,강남구,0.037,0.01,0.6,0.005,48.0,29.0
201511281200,강남구,0.04,0.008,0.6,0.006,51.0,34.0
201511281100,강남구,0.04,0.007,0.6,0.005,52.0,35.0
201511281000,강남구,0.036,0.009,0.5,0.004,56.0,32.0
201511280900,강남구,0.034,0.012,0.5,0.005,46.0,28.0
201511280800,강남구,0.029,0.016,0.5,0.005,29.0,21.0
201511280700,강남구,0.039,0.005,0.4,0.004,28.0,18.0
201511280600,강남구,0.029,0.014,0.4,0.004,27.0,16.0
201511280500,강남구,0.03,0.012,0.4,0.004,25.0,19.0
201511280400,강남구,0.02,0.021,0.3,0.004,18.0,10.0
201511280300,강남구,0.025,0.018,0.4,0.004,25.0,18.0
201511280200,강남구,0.033,0.012,0.4,0.004,24.0,17.0
201511280100,강남구,0.041,0.007,0.4,0.004,22.0,11.0
201511280000,강남구,0.032,0.014,0.5,0.003,20.0,14.0
201511282300,강동구,0.035,0.002,0.6,0.004,41.0,26.0
201511282200,강동구,0.039,0.002,0.6,0.004,48.0,30.0
201511282100,강동구,0.045,0.002,0.7,0.004,56.0,32.0
201511282000,강동구,0.046,0.002,0.8,0.005,45.0,27.0
201511281900,강동구,0.046,0.002,0.7,0.004,47.0,24.0
201511281800,강동구,0.044,0.002,0.6,0.004,45.0,28.0
201511281700,강동구,0.04,0.005,0.6,0.005,53.0,27.0
201511281600,강동구,0.043,0.005,0.6,0.005,54.0,36.0
201511281500,강동구,0.044,0.005,0.7,0.004,51.0,32.0
201511281400,강동구,0.033,0.009,0.6,0.004,50.0,29.0
201511281300,강동구,0.033,0.009,0.6,0.004,46.0,29.0
201511281200,강동구,0.039,0.006,0.7,0.004,48.0,26.0
201511281100,강동구,0.039,0.005,0.6,0.003,48.0,29.0
201511281000,강동구,0.039,0.005,0.6,0.004,58.0,32.0
201511280900,강동구,0.042,0.003,0.6,0.005,52.0,27.0
201511280800,강동구,0.041,0.003,0.6,0.004,39.0,22.0
201511280700,강동구,0.035,0.005,0.5,0.003,31.0,19.0
201511280600,강동구,0.033,0.006,0.4,0.004,30.0,16.0
201511280500,강동구,0.03,0.008,0.4,0.004,25.0,17.0
201511280400,강동구,0.029,0.009,0.4,0.004,31.0,21.0
201511280300,강동구,0.024,0.013,0.4,0.004,28.0,17.0
201511280200,강동구,0.018,0.018,0.4,0.003,25.0,18.0
201511280100,강동구,0.027,0.012,0.4,0.003,25.0,19.0
201511280000,강동구,0.03,0.011,0.4,0.003,19.0,11.0
201511282300,강북구,0.05,0.002,1.0,0.004,55.0,39.0
201511282200,강북구,0.049,0.002,0.9,0.004,65.0,48.0
201511282100,강북구,0.06,0.002,1.4,0.005,73.0,57.0
201511282000,강북구,0.061,0.002,1.3,0.005,63.0,47.0
201511281900,강북구,0.054,0.002,1.1,0.005,60.0,47.0
201511281800,강북구,0.052,0.002,0.9,0.005,60.0,44.0
201511281700,강북구,0.048,0.004,0.7,0.005,55.0,42.0
201511281600,강북구,0.047,0.006,0.7,0.005,57.0,41.0
201511281500,강북구,0.043,0.007,0.7,0.005,56.0,43.0
201511281400,강북구,0.042,0.009,0.7,0.005,53.0,41.0
201511281300,강북구,0.04,0.01,0.8,0.006,55.0,42.0
201511281200,강북구,0.042,0.008,0.8,0.006,56.0,42.0
201511281100,강북구,0.042,0.007,0.8,0.006,57.0,43.0
201511281000,강북구,0.043,0.007,0.8,0.006,57.0,41.0
201511280900,강북구,0.041,0.009,0.7,0.007,54.0,34.0
201511280800,강북구,0.032,0.014,0.6,0.006,44.0,32.0
201511280700,강북구,0.039,0.008,0.7,0.005,36.0,27.0
201511280600,강북구,0.04,0.006,0.6,0.004,25.0,19.0
201511280500,강북구,0.023,0.02,0.5,0.004,23.0,16.0
201511280400,강북구,0.025,0.018,0.5,0.003,25.0,19.0
201511280300,강북구,0.028,0.015,0.5,0.003,25.0,17.0
201511280200,강북구,0.03,0.015,0.5,0.003,24.0,18.0
201511280100,강북구,0.036,0.011,0.5,0.003,24.0,17.0
201511280000,강북구,0.043,0.007,0.6,0.003,24.0,17.0
201511282300,강서구,0.05,0.001,0.9,0.006,68.0,28.0
201511282200,강서구,0.05,0.001,0.8,0.006,64.0,32.0
201511282100,강서구,0.052,0.001,0.9,0.005,59.0,26.0
201511282000,강서구,0.056,0.001,1.0,0.006,61.0,31.0
201511281900,강서구,0.055,0.001,0.9,0.006,64.0,34.0
201511281800,강서구,0.053,0.001,0.8,0.007,64.0,37.0
201511281700,강서구,0.051,0.002,0.8,0.006,66.0,34.0
201511281600,강서구,0.055,0.004,0.8,0.007,58.0,33.0
201511281500,강서구,0.043,0.005,0.7,0.007,51.0,27.0
201511281400,강서구,0.044,0.006,0.7,0.006,53.0,31.0
201511281300,강서구,0.043,0.006,0.7,0.006,50.0,28.0
201511281200,강서구,0.041,0.006,0.7,0.006,44.0,22.0
201511281100,강서구,0.041,0.005,0.7,0.006,45.0,28.0
201511281000,강서구,0.04,0.004,0.7,0.007,59.0,25.0
201511280900,강서구,0.039,0.004,0.6,0.006,57.0,23.0
201511280800,강서구,0.045,0.002,0.6,0.006,54.0,23.0
201511280700,강서구,0.039,0.002,0.6,0.006,35.0,17.0
201511280600,강서구,0.031,0.007,0.6,0.005,31.0,14.0
201511280500,강서구,0.028,0.011,0.5,0.005,26.0,12.0
201511280400,강서구,0.033,0.008,0.5,0.004,21.0,16.0
201511280300,강서구,0.04,0.004,0.5,0.005,27.0,10.0
201511280200,강서구,0.019,0.021,0.4,0.005,21.0,10.0
201511280100,강서구,0.017,0.022,0.4,0.005,23.0,11.0
201511280000,강서구,0.028,0.013,0.5,0.005,31.0,11.0
201511282300,관악구,0.05,0.002,1.0,0.004,62.0,38.0
201511282200,관악구,0.052,0.002,1.0,0.005,62.0,38.0
201511282100,관악구,0.055,0.002,1.1,0.005,59.0,37.0
201511282000,관악구,0.054,0.002,1.2,0.005,58.0,38.0
201511281900,관악구,0.053,0.002,1.1,0.005,55.0,34.0
201511281800,관악구,0.055,0.002,1.0,0.005,59.0,35.0
201511281700,관악구,0.052,0.003,0.8,0.006,57.0,38.0
201511281600,관악구,0.045,0.006,0.8,0.006,55.0,32.0
201511281500,관악구,0.047,0.006,0.9,0.006,57.0,34.0
201511281400,관악구,0.051,0.005,1.0,0.006,64.0,39.0
201511281300,관악구,0.049,0.006,0.9,0.006,62.0,38.0
201511281200,관악구,0.044,0.006,0.9,0.007,58.0,33.0
201511281100,관악구,0.043,0.007,0.8,0.007,56.0,30.0
201511281000,관악구,0.043,0.006,0.8,0.007,50.0,29.0
201511280900,관악구,0.043,0.006,0.7,0.006,54.0,26.0
201511280800,관악구,0.045,0.004,0.6,0.006,46.0,24.0
201511280700,관악구,0.041,0.006,0.6,0.005,39.0,22.0
201511280600,관악구,0.036,0.009,0.6,0.005,31.0,21.0
201511280500,관악구,0.038,0.007,0.7,0.004,28.0,18.0
201511280400,관악구,0.036,0.008,0.7,0.004,30.0,19.0
201511280300,관악구,0.046,0.003,0.8,0.004,32.0,19.0
201511280200,관악구,0.039,0.009,0.5,0.004,25.0,16.0
201511280100,관악구,0.042,0.007,0.5,0.004,27.0,17.0
201511280000,관악구,0.037,0.011,0.4,0.004,27.0,18.0
201511282300,광진구,0.031,0.006,0.6,0.003,49.0,33.0
201511282200,광진구,0.038,0.003,0.6,0.004,49.0,27.0
201511282100,광진구,0.04,0.003,0.6,0.004,51.0,33.0
201511282000,광진구,0.042,0.003,0.6,0.004,38.0,28.0
201511281900,광진구,0.044,0.003,0.6,0.004,42.0,30.0
201511281800,광진구,0.043,0.004,0.6,0.005,40.0,27.0
201511281700,광진구,0.042,0.006,0.6,0.005,45.0,34.0
201511281600,광진구,0.044,0.006,0.6,0.006,53.0,36.0
201511281500,광진구,0.04,0.009,0.6,0.005,39.0,30.0
201511281400,광진구,0.036,0.011,0.6,0.005,41.0,28.0
201511281300,광진구,0.037,0.01,0.6,0.005,45.0,33.0
201511281200,광진구,0.04,0.009,0.6,0.005,37.0,29.0
201511281100,광진구,0.039,0.008,0.6,0.004,38.0,27.0
201511281000,광진구,0.039,0.006,0.5,0.005,54.0,39.0
201511280900,광진구,0.03,0.013,0.4,0.005,33.0,27.0
201511280800,광진구,0.028,0.013,0.4,0.004,32.0,24.0
201511280700,광진구,0.028,0.01,0.3,0.004,20.0,15.0
201511280600,광진구,0.026,0.013,0.3,0.004,28.0,22.0
201511280500,광진구,0.021,0.016,0.3,0.003,24.0,19.0
201511280400,광진구,0.023,0.016,0.3,0.004,20.0,19.0
201511280300,광진구,0.015,0.024,0.3,0.004,22.0,17.0
201511280200,광진구,0.024,0.016,0.3,0.004,23.0,23.0
201511280100,광진구,0.031,0.01,0.4,0.004,25.0,23.0
201511280000,광진구,0.03,0.013,0.3,0.004,12.0,5.0
201511282300,구로구,0.042,0.002,0.9,0.006,59.0,32.0
201511282200,구로구,0.042,0.002,0.9,0.006,64.0,28.0
201511282100,구로구,0.043,0.002,0.9,0.006,49.0,25.0
201511282000,구로구,0.043,0.002,0.9,0.006,49.0,32.0
201511281900,구로구,0.045,0.002,0.9,0.006,61.0,35.0
201511281800,구로구,0.045,0.002,0.9,0.006,65.0,35.0
201511281700,구로구,0.044,0.002,0.8,0.007,61.0,35.0
201511281600,구로구,0.042,0.004,0.8,0.007,66.0,32.0
201511281500,구로구,0.042,0.004,0.8,0.007,71.0,32.0
201511281400,구로구,0.041,0.004,0.8,0.007,87.0,34.0
201511281300,구로구,0.038,0.006,0.8,0.007,57.0,32.0
201511281200,구로구,0.038,0.005,0.8,0.008,49.0,33.0
201511281100,구로구,0.038,0.005,0.8,0.007,44.0,30.0
201511281000,구로구,0.035,0.006,0.7,0.007,48.0,30.0
201511280900,구로구,0.038,0.004,0.7,0.007,40.0,27.0
201511280800,구로구,0.033,0.007,0.6,0.007,30.0,20.0
201511280700,구로구,0.029,0.01,0.6,0.007,33.0,25.0
201511280600,구로구,0.029,0.01,0.5,0.006,27.0,22.0
201511280500,구로구,0.027,0.012,0.5,0.005,21.0,14.0
201511280400,구로구,0.029,0.01,0.5,0.005,28.0,13.0
201511280300,구로구,0.036,0.005,0.5,0.005,23.0,20.0
201511280200,구로구,0.03,0.01,0.4,0.005,19.0,11.0
201511280100,구로구,0.026,0.014,0.4,0.005,19.0,6.0
201511280000,구로구,0.03,0.01,0.4,0.005,23.0,15.0
201511282300,금천구,0.045,0.002,0.6,0.004,46.0,35.0
201511282200,금천구,0.051,0.002,0.8,0.005,51.0,39.0
201511282100,금천구,0.052,0.002,0.9,0.005,49.0,38.0
201511282000,금천구,0.052,0.002,0.9,0.005,78.0,66.0
201511281900,금천구,0.051,0.002,0.9,0.005,58.0,48.0
201511281800,금천구,0.049,0.002,0.7,0.005,56.0,46.0
201511281700,금천구,0.045,0.006,0.7,0.005,44.0,33.0
201511281600,금천구,0.037,0.013,0.7,0.006,41.0,34.0
201511281500,금천구,0.034,0.015,0.6,0.005,45.0,35.0
201511281400,금천구,0.036,0.013,0.6,0.005,40.0,33.0
201511281300,금천구,0.036,0.014,0.6,0.006,48.0,35.0
201511281200,금천구,0.043,0.008,0.7,0.006,54.0,40.0
201511281100,금천구,0.04,0.009,0.7,0.006,63.0,53.0
201511281000,금천구,0.04,0.009,0.7,0.006,39.0,31.0
201511280900,금천구,0.043,0.005,0.6,0.005,33.0,27.0
201511280800,금천구,0.04,0.005,0.5,0.005,32.0,26.0
201511280700,금천구,0.033,0.011,0.5,0.005,28.0,24.0
201511280600,금천구,0.028,0.015,0.4,0.004,23.0,15.0
201511280500,금천구,0.027,0.015,0.4,0.004,21.0,16.0
201511280400,금천구,0.031,0.012,0.4,0.004,24.0,19.0
201511280300,금천구,0.041,0.006,0.5,0.003,21.0,17.0
201511280200,금천구,0.036,0.011,0.4,0.004,20.0,18.0
201511280100,금천구,0.035,0.013,0.4,0.003,20.0,17.0
201511280000,금천구,0.036,0.011,0.4,0.003,27.0,21.0
201511282300,노원구,0.052,0.002,1.0,0.007,55.0,40.0
201511282200,노원구,0.049,0.002,0.9,0.008,59.0,41.0
201511282100,노원구,0.052,0.002,1.1,0.007,57.0,40.0
201511282000,노원구,0.055,0.002,1.2,0.009,61.0,41.0
201511281900,노원구,0.054,0.002,1.0,0.008,60.0,42.0
201511281800,노원구,0.05,0.002,0.8,0.008,58.0,42.0
201511281700,노원구,0.048,0.004,0.7,0.007,56.0,37.0
201511281600,노원구,0.045,0.006,0.7,0.008,62.0,44.0
201511281500,노원구,0.042,0.007,0.7,0.007,63.0,47.0
201511281400,노원구,0.04,0.008,0.8,0.007,60.0,46.0
201511281300,노원구,0.037,0.01,0.7,0.007,59.0,40.0
201511281200,노원구,0.037,0.009,0.7,0.008,57.0,39.0
201511281100,노원구,0.043,0.006,0.8,0.007,54.0,37.0
201511281000,노원구,0.04,0.006,0.7,0.007,54.0,35.0
201511280900,노원구,0.035,0.007,0.7,0.007,52.0,35.0
201511280800,노원구,0.029,0.012,0.6,0.009,41.0,26.0
201511280700,노원구,0.03,0.009,0.6,0.007,29.0,25.0
201511280600,노원구,0.034,0.006,0.6,0.006,28.0,21.0
201511280500,노원구,0.019,0.02,0.4,0.006,21.0,15.0
201511280400,노원구,0.02,0.019,0.4,0.006,21.0,15.0
201511280300,노원구,0.017,0.022,0.4,0.006,22.0,15.0
201511280200,노원구,0.017,0.022,0.4,0.006,21.0,14.0
201511280100,노원구,0.018,0.022,0.4,0.006,19.0,14.0
201511280000,노원구,0.013,0.028,0.4,0.005,18.0,15.0
201511282300,도봉구,0.054,0.002,0.8,0.006,60.0,36.0
201511282200,도봉구,0.062,0.002,0.8,0.006,56.0,43.0
201511282100,도봉구,0.059,0.002,0.8,0.006,65.0,40.0
201511282000,도봉구,0.061,0.002,0.9,0.006,57.0,38.0
201511281900,도봉구,0.06,0.002,0.8,0.006,58.0,31.0
201511281800,도봉구,0.057,0.002,0.8,0.006,59.0,37.0
201511281700,도봉구,0.057,0.004,0.7,0.006,54.0,35.0
201511281600,도봉구,0.052,0.007,0.6,0.006,55.0,34.0
201511281500,도봉구,0.051,0.008,0.6,0.006,52.0,33.0
201511281400,도봉구,0.048,0.01,0.6,0.006,51.0,34.0
201511281300,도봉구,0.05,0.009,0.7,0.005,49.0,32.0
201511281200,도봉구,0.052,0.007,0.7,0.005,56.0,33.0
201511281100,도봉구,0.048,0.009,0.6,0.005,47.0,28.0
201511281000,도봉구,0.034,0.017,0.6,0.005,51.0,28.0
201511280900,도봉구,0.031,0.022,0.5,0.006,51.0,30.0
201511280800,도봉구,0.026,0.023,0.5,0.006,46.0,19.0
201511280700,도봉구,0.038,0.01,0.5,0.005,34.0,28.0
201511280600,도봉구,0.046,0.004,0.5,0.004,33.0,16.0
201511280500,도봉구,0.022,0.027,0.3,0.004,21.0,17.0
201511280400,도봉구,0.013,0.031,0.3,0.004,20.0,14.0
201511280300,도봉구,0.017,0.027,0.3,0.004,23.0,17.0
201511280200,도봉구,0.023,0.023,0.3,0.004,31.0,13.0
201511280100,도봉구,0.032,0.016,0.4,0.004,19.0,13.0
201511280000,도봉구,0.042,0.011,0.4,0.003,27.0,14.0
201511282300,동대문구,0.05,0.002,0.9,0.005,70.0,43.0
201511282200,동대문구,0.056,0.002,1.0,0.005,65.0,44.0
201511282100,동대문구,0.058,0.002,1.0,0.006,57.0,32.0
201511282000,동대문구,0.054,0.002,0.8,0.006,55.0,31.0
201511281900,동대문구,0.058,0.002,0.8,0.006,54.0,31.0
201511281800,동대문구,0.057,0.003,0.8,0.007,57.0,35.0
201511281700,동대문구,0.053,0.004,0.8,0.006,60.0,36.0
201511281600,동대문구,0.049,0.006,0.8,0.007,55.0,37.0
201511281500,동대문구,0.046,0.007,0.8,0.006,61.0,35.0
