MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201101010000,강남구,0.042,0.004,0.5,0.007,46.0,30.0
201101010100,강남구,0.036,0.006,0.4,0.008,53.0,35.0
201101010200,강남구,0.037,0.005,0.5,0.008,51.0,28.0
201101010300,강남구,0.038,0.005,0.5,0.007,49.0,29.0
201101010400,강남구,0.047,0.002,0.8,0.006,63.0,42.0
201101010500,강남구,0.041,0.003,0.6,0.007,53.0,33.0
201101010600,강남구,0.049,0.002,0.7,0.006,57.0,39.0
201101010700,강남구,0.05,0.002,0.7,0.006,62.0,45.0
201101010800,강남구,0.046,0.002,0.6,0.007,55.0,36.0
201101010900,강남구,0.045,0.003,0.6,0.007,55.0,31.0
201101011000,강남구,0.043,0.005,0.7,0.008,53.0,35.0
201101011100,강남구,0.045,0.006,0.8,0.008,56.0,35.0
201101011200,강남구,0.037,0.01,0.6,0.009,55.0,34.0
201101011300,강남구,0.046,0.008,0.7,0.01,60.0,44.0
201101011400,강남구,0.041,0.011,0.6,0.009,70.0,49.0
201101011500,강남구,0.039,0.011,0.5,0.008,83.0,46.0
201101011600,강남구,0.045,0.009,0.6,0.008,76.0,46.0
201101011700,강남구,0.055,0.005,0.6,0.007,77.0,47.0
201101011800,강남구,0.062,0.002,0.6,0.007,74.0,40.0
201101011900,강남구,0.067,0.001,0.7,0.007,62.0,39.0
201101012000,강남구,0.069,0.001,0.8,0.006,68.0,40.0
201101012100,강남구,0.075,0.002,1.1,0.006,79.0,45.0
201101012200,강남구,0.08,0.002,1.4,0.007,92.0,73.0
201101012300,강남구,0.077,0.002,1.5,0.007,94.0,75.0
201101010000,강동구,0.026,0.01,0.6,0.008,39.0,28.0
201101010100,강동구,0.032,0.005,0.6,0.007,40.0,26.0
201101010200,강동구,0.035,0.002,0.7,0.007,48.0,34.0
201101010300,강동구,0.038,0.002,0.8,0.006,51.0,38.0
201101010400,강동구,0.036,0.002,0.9,0.006,54.0,37.0
201101010500,강동구,0.033,0.002,0.9,0.006,53.0,38.0
201101010600,강동구,0.03,0.003,0.9,0.007,56.0,30.0
201101010700,강동구,0.027,0.005,0.8,0.007,48.0,32.0
201101010800,강동구,0.031,0.002,0.8,0.007,49.0,27.0
201101010900,강동구,0.028,0.005,0.9,0.007,49.0,30.0
201101011000,강동구,0.023,0.011,0.8,0.008,53.0,32.0
201101011100,강동구,0.017,0.019,0.8,0.008,53.0,35.0
201101011200,강동구,0.017,0.023,0.7,0.009,60.0,25.0
201101011300,강동구,0.021,0.021,0.7,0.009,51.0,32.0
201101011400,강동구,0.03,0.015,0.8,0.009,59.0,32.0
201101011500,강동구,0.03,0.015,0.8,0.009,65.0,44.0
201101011600,강동구,0.029,0.016,0.8,0.008,63.0,53.0
201101011700,강동구,0.035,0.011,0.8,0.007,62.0,48.0
201101011800,강동구,0.043,0.003,0.8,0.007,61.0,49.0
201101011900,강동구,0.047,0.001,0.9,0.007,53.0,43.0
201101012000,강동구,0.051,0.001,0.9,0.006,57.0,40.0
201101012100,강동구,0.056,0.001,1.1,0.007,57.0,51.0
201101012200,강동구,0.065,0.002,1.3,0.007,58.0,60.0
201101012300,강동구,0.056,0.002,1.5,0.006,70.0,59.0
201101010000,강북구,0.032,0.01,0.6,0.008,34.0,22.0
201101010100,강북구,0.04,0.004,0.7,0.008,39.0,28.0
201101010200,강북구,0.045,0.002,0.8,0.007,38.0,27.0
201101010300,강북구,0.044,0.001,0.9,0.006,41.0,26.0
201101010400,강북구,0.041,0.002,0.8,0.006,41.0,24.0
201101010500,강북구,0.041,0.002,0.9,0.007,40.0,33.0
201101010600,강북구,0.038,0.002,0.8,0.007,48.0,31.0
201101010700,강북구,0.041,0.002,0.9,0.007,52.0,36.0
201101010800,강북구,0.041,0.002,0.9,0.006,56.0,36.0
201101010900,강북구,0.04,0.004,0.9,0.005,48.0,34.0
201101011000,강북구,0.034,0.009,0.8,0.007,53.0,39.0
201101011100,강북구,0.03,0.013,0.8,0.009,49.0,41.0
201101011200,강북구,0.025,0.018,0.7,0.008,45.0,33.0
201101011300,강북구,0.025,0.02,0.7,0.008,49.0,31.0
201101011400,강북구,0.029,0.019,0.7,0.009,54.0,41.0
201101011500,강북구,0.032,0.018,0.7,0.007,55.0,38.0
201101011600,강북구,0.039,0.013,0.8,0.009,58.0,43.0
201101011700,강북구,0.047,0.007,0.8,0.008,63.0,50.0
