MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201506042300,강남구,0.073,0.013,0.7,0.007,54.0,33.0
201506042200,강남구,0.074,0.014,0.6,0.007,56.0,29.0
201506042100,강남구,0.066,0.021,0.6,0.007,62.0,25.0
201506042000,강남구,0.061,0.028,0.6,0.007,40.0,24.0
201506041900,강남구,0.044,0.038,0.5,0.005,33.0,18.0
201506041800,강남구,0.031,0.045,0.4,0.006,41.0,21.0
201506041700,강남구,0.036,0.046,0.4,0.006,40.0,23.0
201506041600,강남구,0.031,0.058,0.3,0.006,37.0,16.0
201506041500,강남구,0.032,0.057,0.3,0.006,42.0,21.0
201506041400,강남구,0.028,0.064,0.3,0.006,34.0,14.0
201506041300,강남구,0.026,0.056,0.3,0.006,31.0,14.0
201506041200,강남구,0.029,0.049,0.3,0.005,33.0,12.0
201506041100,강남구,0.041,0.034,0.4,0.006,47.0,17.0
201506041000,강남구,0.063,0.01,0.6,0.006,45.0,13.0
201506040900,강남구,0.059,0.007,0.6,0.005,44.0,19.0
201506040800,강남구,0.054,0.005,0.5,0.005,40.0,19.0
201506040700,강남구,0.054,0.005,0.5,0.005,32.0,9.0
201506040600,강남구,0.048,0.004,0.4,0.005,40.0,22.0
201506040500,강남구,0.039,0.013,0.5,0.005,33.0,13.0
201506040400,강남구,0.04,0.014,0.5,0.004,37.0,16.0
201506040300,강남구,0.031,0.022,0.4,0.004,35.0,12.0
201506040200,강남구,0.026,0.027,0.4,0.005,35.0,16.0
201506040100,강남구,0.017,0.039,0.3,0.004,31.0,11.0
201506040000,강남구,0.016,0.04,0.3,0.005,35.0,13.0
201506042300,강동구,0.081,0.012,0.8,0.007,46.0,21.0
201506042200,강동구,0.074,0.016,0.7,0.007,45.0,20.0
201506042100,강동구,0.067,0.023,0.7,0.007,29.0,18.0
201506042000,강동구,0.046,0.039,0.6,0.006,26.0,18.0
201506041900,강동구,0.044,0.042,0.5,0.006,36.0,16.0
201506041800,강동구,0.04,0.046,0.5,0.005,40.0,12.0
201506041700,강동구,0.035,0.058,0.4,0.005,37.0,22.0
201506041600,강동구,0.027,0.071,0.4,0.006,32.0,19.0
201506041500,강동구,0.028,0.068,0.4,0.005,36.0,16.0
201506041400,강동구,0.024,0.062,0.4,0.005,29.0,14.0
201506041300,강동구,0.028,0.055,0.4,0.005,29.0,21.0
201506041200,강동구,0.038,0.045,0.4,0.004,37.0,19.0
201506041100,강동구,0.047,0.031,0.5,0.005,46.0,23.0
201506041000,강동구,0.049,0.019,0.5,0.004,48.0,20.0
201506040900,강동구,0.049,0.012,0.5,0.004,42.0,19.0
201506040800,강동구,0.045,0.01,0.5,0.004,42.0,16.0
201506040700,강동구,0.043,0.007,0.5,0.004,31.0,12.0
201506040600,강동구,0.04,0.007,0.4,0.004,33.0,10.0
201506040500,강동구,0.034,0.014,0.4,0.004,36.0,13.0
201506040400,강동구,0.033,0.019,0.4,0.005,34.0,12.0
201506040300,강동구,0.023,0.031,0.4,0.004,37.0,12.0
201506040200,강동구,0.018,0.036,0.4,0.005,36.0,8.0
201506040100,강동구,0.026,0.029,0.4,0.004,40.0,7.0
201506040000,강동구,0.023,0.033,0.4,0.004,40.0,10.0
201506042300,강북구,0.03,0.028,0.3,0.004,20.0,11.0
201506042200,강북구,0.025,0.033,0.3,0.004,19.0,8.0
201506042100,강북구,0.023,0.036,0.3,0.004,14.0,10.0
201506042000,강북구,0.016,0.041,0.2,0.005,21.0,11.0
201506041900,강북구,0.02,0.043,0.3,0.004,22.0,10.0
201506041800,강북구,0.018,0.047,0.3,0.006,28.0,15.0
201506041700,강북구,0.02,0.047,0.3,0.005,34.0,16.0
201506041600,강북구,0.021,0.056,0.2,0.006,32.0,16.0
201506041500,강북구,0.021,0.059,0.2,0.007,35.0,19.0
201506041400,강북구,0.016,0.058,0.2,0.006,25.0,11.0
201506041300,강북구,0.013,0.057,0.2,0.006,28.0,13.0
201506041200,강북구,0.026,0.045,0.3,0.006,34.0,15.0
201506041100,강북구,0.049,0.022,0.4,0.006,41.0,18.0
201506041000,강북구,0.047,0.016,0.4,0.007,37.0,16.0
201506040900,강북구,0.043,0.015,0.4,0.005,34.0,17.0
201506040800,강북구,0.043,0.011,0.4,0.005,24.0,7.0
201506040700,강북구,0.04,0.012,0.3,0.005,26.0,12.0
201506040600,강북구,0.04,0.008,0.3,0.004,26.0,17.0
