2,3,7,5,2,2,3
2,5,1,1,5,5,5
3,3,8,9,9,3,2
3,4,0,5,8,4,2
4,8,3,5,3,7,1
4,1,4,4,4,2,2
5,1,9,7,1,1,2
5,2,0,8,0,4,3
6,3,1,7,1,7,0
6,3,1,1,6,1,8
7,3,6,0,0,4,9
7,9,8,3,5,1,5
8,5,5,0,5,0,1
8,6,1,7,9,9,9
9,7,5,9,1,7,7
9,2,5,0,1,5,6
10,4,4,9,9,5,2
10,9,5,5,0,8,8
11,4,4,9,6,1,8
11,7,4,3,4,1,0
12,1,1,2,2,4,5
12,2,4,7,2,0,2
13,7,4,7,6,0,8
13,1,6,8,2,3,9
14,8,0,4,8,4,7
14,3,7,9,7,1,7
15,3,2,5,7,5,2
15,1,6,5,8,6,4
16,7,1,2,1,5,7
16,2,1,1,7,9,9
17,9,5,2,2,9,2
17,8,7,9,4,8,9
18,2,9,8,7,1,7
18,7,1,3,2,7,4
19,9,6,8,7,4,2
19,4,8,7,9,3,4
20,4,8,6,3,7,4
20,6,4,5,6,0,1
21,1,8,2,8,5,3
21,5,1,1,2,7,8
