MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
202005250600,강남구,0.011,0.037,0.5,0.002,24.0,17.0
202005250500,강남구,0.009,0.04,0.4,0.002,23.0,16.0
202005250400,강남구,0.009,0.044,0.4,0.002,19.0,14.0
202005250300,강남구,0.009,0.046,0.4,0.002,18.0,15.0
202005250200,강남구,0.009,0.046,0.4,0.001,16.0,13.0
202005250100,강남구,0.012,0.042,0.4,0.002,17.0,15.0
202005250000,강남구,0.013,0.04,0.4,0.002,19.0,14.0
202005251400,강남구,0.032,0.036,0.6,0.002,33.0,21.0
202005251300,강남구,0.035,0.03,0.6,0.002,34.0,20.0
202005251200,강남구,0.032,0.028,0.6,0.002,30.0,19.0
202005251100,강남구,0.024,0.031,0.6,0.002,27.0,18.0
202005251000,강남구,0.022,0.028,0.5,0.002,27.0,16.0
202005250900,강남구,0.02,0.028,0.5,0.002,30.0,20.0
202005250800,강남구,0.019,0.027,0.5,0.002,28.0,19.0
202005250700,강남구,0.014,0.033,0.5,0.002,27.0,21.0
202005252100,강남구,0.025,0.066,0.6,0.003,42.0,33.0
202005252000,강남구,0.026,0.072,0.6,0.004,44.0,35.0
202005251900,강남구,0.025,0.069,0.6,0.005,42.0,31.0
202005251800,강남구,0.028,0.052,0.6,0.003,42.0,26.0
202005251700,강남구,0.034,0.038,0.6,0.002,59.0,33.0
202005251600,강남구,0.032,0.034,0.6,0.002,45.0,27.0
202005251500,강남구,0.032,0.041,0.6,0.002,27.0,22.0
202005252300,강남구,0.033,0.034,0.7,0.003,42.0,32.0
202005252200,강남구,0.03,0.047,0.7,0.004,41.0,31.0
202005250600,강동구,0.012,0.035,0.4,0.003,27.0,18.0
202005250500,강동구,0.009,0.039,0.4,0.003,25.0,17.0
202005250400,강동구,0.008,0.042,0.4,0.003,23.0,17.0
202005250300,강동구,0.009,0.041,0.4,0.003,23.0,18.0
202005250200,강동구,0.013,0.035,0.4,0.003,23.0,17.0
202005250100,강동구,0.013,0.036,0.4,0.003,23.0,17.0
202005250000,강동구,0.017,0.033,0.4,0.002,26.0,19.0
