MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201508012300,강남구,0.018,0.02,0.3,0.005,35.0,26.0
201508012200,강남구,0.016,0.024,0.3,0.005,39.0,28.0
201508012100,강남구,0.02,0.025,0.3,0.005,36.0,25.0
201508012000,강남구,0.024,0.025,0.3,0.005,37.0,20.0
201508011900,강남구,0.022,0.031,0.3,0.005,49.0,29.0
201508011800,강남구,0.016,0.045,0.3,0.005,46.0,28.0
201508011700,강남구,0.013,0.053,0.3,0.005,55.0,35.0
201508011600,강남구,0.012,0.058,0.3,0.005,60.0,41.0
201508011500,강남구,0.013,0.061,0.3,0.005,56.0,36.0
201508011400,강남구,0.014,0.057,0.3,0.004,57.0,41.0
201508011300,강남구,0.016,0.053,0.3,0.005,52.0,39.0
201508011200,강남구,0.014,0.048,0.3,0.006,56.0,37.0
201508011100,강남구,0.016,0.04,0.3,0.005,51.0,33.0
201508011000,강남구,0.021,0.033,0.4,0.004,58.0,35.0
201508010900,강남구,0.02,0.034,0.3,0.004,54.0,36.0
201508010800,강남구,0.018,0.037,0.4,0.004,64.0,39.0
201508010700,강남구,0.013,0.039,0.4,0.005,65.0,44.0
201508010600,강남구,0.018,0.032,0.4,0.005,52.0,31.0
201508010500,강남구,0.02,0.018,0.3,0.005,40.0,30.0
201508010400,강남구,0.021,0.019,0.3,0.006,45.0,28.0
201508010300,강남구,0.023,0.017,0.3,0.006,37.0,22.0
201508010200,강남구,0.042,0.004,0.4,0.005,43.0,30.0
201508010100,강남구,0.034,0.012,0.4,0.007,37.0,23.0
201508010000,강남구,0.024,0.023,0.4,0.006,38.0,29.0
201508012300,강동구,0.014,0.024,0.3,0.005,29.0,18.0
201508012200,강동구,0.022,0.02,0.4,0.004,34.0,16.0
201508012100,강동구,0.02,0.023,0.4,0.004,33.0,11.0
201508012000,강동구,0.022,0.027,0.3,0.004,34.0,19.0
201508011900,강동구,0.021,0.034,0.3,0.004,35.0,21.0
201508011800,강동구,0.013,0.045,0.4,0.004,29.0,28.0
201508011700,강동구,0.009,0.055,0.4,0.005,40.0,33.0
201508011600,강동구,0.011,0.06,0.4,0.004,48.0,36.0
201508011500,강동구,0.009,0.062,0.3,0.003,43.0,36.0
201508011400,강동구,0.01,0.06,0.3,0.004,51.0,32.0
201508011300,강동구,0.013,0.053,0.4,0.004,43.0,36.0
201508011200,강동구,0.018,0.041,0.4,0.004,48.0,37.0
201508011100,강동구,0.014,0.041,0.4,0.004,45.0,31.0
201508011000,강동구,0.019,0.036,0.4,0.004,52.0,35.0
201508010900,강동구,0.017,0.041,0.4,0.004,55.0,35.0
201508010800,강동구,0.018,0.038,0.4,0.004,49.0,34.0
201508010700,강동구,0.015,0.035,0.4,0.005,45.0,29.0
201508010600,강동구,0.012,0.034,0.3,0.004,41.0,29.0
201508010500,강동구,0.009,0.031,0.3,0.004,37.0,22.0
201508010400,강동구,0.012,0.022,0.3,0.005,33.0,23.0
201508010300,강동구,0.017,0.019,0.4,0.005,34.0,24.0
201508010200,강동구,0.023,0.017,0.4,0.005,32.0,21.0
201508010100,강동구,0.034,0.01,0.4,0.004,36.0,24.0
201508010000,강동구,0.034,0.012,0.4,0.005,41.0,28.0
201508012300,강북구,0.027,0.019,0.6,0.005,39.0,29.0
201508012200,강북구,0.028,0.022,0.6,0.004,29.0,28.0
201508012100,강북구,0.022,0.026,0.5,0.005,33.0,25.0
201508012000,강북구,0.026,0.028,0.6,0.004,31.0,23.0
201508011900,강북구,0.024,0.038,0.6,0.004,40.0,0.0
201508011800,강북구,0.019,0.047,0.5,0.004,40.0,38.0
201508011700,강북구,0.015,0.052,0.5,0.005,41.0,26.0
