MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201412240000,강남구,0.059,0.002,0.8,0.007,47.0,21.0
201412240100,강남구,0.059,0.002,0.8,0.008,54.0,35.0
201412240200,강남구,0.054,0.002,0.8,0.006,49.0,37.0
201412240300,강남구,0.052,0.002,0.8,0.007,44.0,27.0
201412240400,강남구,0.051,0.002,0.8,0.007,46.0,33.0
201412240500,강남구,0.049,0.001,0.7,0.007,48.0,33.0
201412240600,강남구,0.051,0.001,0.7,0.007,42.0,23.0
201412240700,강남구,0.058,0.001,0.9,0.007,48.0,31.0
201412240800,강남구,0.065,0.001,1.1,0.007,46.0,30.0
201412240900,강남구,0.072,0.002,1.3,0.007,53.0,31.0
201412241000,강남구,0.068,0.002,1.2,0.007,54.0,35.0
201412241100,강남구,0.081,0.003,1.5,0.008,58.0,33.0
201412241200,강남구,0.065,0.004,1.0,0.009,65.0,39.0
201412241300,강남구,0.048,0.009,0.7,0.013,80.0,45.0
201412241400,강남구,0.039,0.017,0.6,0.018,88.0,46.0
201412241500,강남구,0.039,0.017,0.7,0.017,118.0,55.0
201412241600,강남구,0.034,0.023,0.5,0.011,97.0,43.0
201412241700,강남구,0.031,0.026,0.4,0.009,53.0,25.0
201412241800,강남구,0.038,0.019,0.4,0.007,31.0,13.0
201412241900,강남구,0.041,0.016,0.5,0.008,34.0,17.0
201412242000,강남구,0.038,0.016,0.4,0.006,37.0,17.0
201412242100,강남구,0.036,0.017,0.5,0.007,44.0,19.0
201412242200,강남구,0.03,0.021,0.4,0.006,40.0,15.0
201412242300,강남구,0.027,0.022,0.4,0.006,34.0,13.0
201412240000,강동구,0.043,0.002,1.0,0.005,40.0,31.0
201412240100,강동구,0.047,0.002,1.1,0.006,44.0,31.0
201412240200,강동구,0.042,0.002,1.1,0.006,44.0,30.0
201412240300,강동구,0.04,0.002,1.0,0.005,42.0,28.0
201412240400,강동구,0.042,0.002,1.2,0.006,44.0,32.0
201412240500,강동구,0.041,0.002,1.2,0.005,41.0,29.0
201412240600,강동구,0.041,0.002,1.4,0.006,45.0,29.0
201412240700,강동구,0.042,0.002,1.2,0.006,40.0,28.0
201412240800,강동구,0.047,0.002,1.4,0.005,44.0,34.0
201412240900,강동구,0.053,0.002,1.9,0.006,61.0,38.0
201412241000,강동구,0.063,0.002,2.1,0.006,72.0,52.0
201412241100,강동구,0.067,0.003,2.0,0.007,64.0,46.0
201412241200,강동구,0.072,0.003,1.9,0.009,78.0,54.0
