MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
3031,2.01001E+11,"강동구,0.041",0.005,0.5,0.006,44,44,NA
3032,2.01001E+11,"강동구,0.044",0.004,0.6,0.007,48,41,NA
3033,2.01001E+11,"강동구,0.045",0.004,0.7,0.007,49,42,NA
3034,2.01001E+11,"강동구,0.046",0.006,0.8,0.007,51,46,NA
3035,2.01001E+11,"강동구,0.044",0.008,0.8,0.009,59,48,NA
3036,2.01001E+11,"강동구,0.04",0.013,0.7,0.011,63,55,NA
3037,2.01001E+11,"강동구,0.026",0.019,0.4,0.01,46,33,NA
3038,2.01001E+11,"강동구,0.0",0,0,0,0,70,NA
3039,2.01001E+11,"강동구,0.0",0,0,0,0,11,NA
3040,2.01001E+11,"강동구,0.022",0.023,0.3,0.01,31,25,NA
3041,2.01001E+11,"강동구,0.025",0.023,0.3,0.009,28,25,NA
3042,2.01001E+11,"강동구,0.03",0.019,0.3,0.008,27,24,NA
3043,2.01001E+11,"강동구,0.038",0.013,0.3,0.007,25,23,NA
3044,2.01001E+11,"강동구,0.041",0.011,0.3,0.007,24,18,NA
3045,2.01001E+11,"강동구,0.049",0.005,0.4,0.008,24,22,NA
3046,2.01001E+11,"강동구,0.05",0.005,0.4,0.007,31,25,NA
3047,2.01001E+11,"강동구,0.054",0.003,0.5,0.007,36,30,NA
3048,2.01001E+11,"강동구,0.056",0.003,0.6,0.008,45,44,NA
3049,2.01001E+11,"강북구,0.031",0.023,0.5,0.006,26,20,NA
3050,2.01001E+11,"강북구,0.024",0.027,0.4,0.005,31,22,NA
3051,2.01001E+11,"강북구,0.034",0.017,0.6,0.006,30,20,NA
3052,2.01001E+11,"강북구,0.049",0.005,0.8,0.006,23,25,NA
3053,2.01001E+11,"강북구,0.047",0.006,0.8,0.006,31,24,NA
3054,2.01001E+11,"강북구,0.056",0.002,1,0.007,38,25,NA
3055,2.01001E+11,"강북구,0.059",0.002,1.1,0.008,43,33,NA
3056,2.01001E+11,"강북구,0.05",0.008,0.9,0.008,38,25,NA
3057,2.01001E+11,"강북구,0.069",0.003,1.4,0.01,54,45,NA
3058,2.01001E+11,"강북구,0.075",0.005,1.6,0.011,61,48,NA
3059,2.01001E+11,"강북구,0.072",0.007,1.5,0.011,67,49,NA
3060,2.01001E+11,"강북구,0.04",0.018,0.9,0.01,43,32,NA
3061,2.01001E+11,"강북구,0.013",0.033,0.4,0.009,25,16,NA
3062,2.01001E+11,"강북구,0.016",0.033,0.5,0.008,29,24,NA
3063,2.01001E+11,"강북구,0.015",0.037,0.4,0.008,36,25,NA
3064,2.01001E+11,"강북구,0.018",0.037,0.4,0.007,34,24,NA
3065,2.01001E+11,"강북구,0.018",0.038,0.4,0.007,28,27,NA
3066,2.01001E+11,"강북구,0.0",0,0,0,0,4,NA
3067,2.01001E+11,"강북구,0.0",0,0,0,0,26,NA
3068,2.01001E+11,"강북구,0.038",0.022,0.6,0.007,31,28,NA
3069,2.01001E+11,"강북구,0.05",0.015,0.7,0.008,35,27,NA
3070,2.01001E+11,"강북구,0.053",0.014,0.8,0.007,36,23,NA
3071,2.01001E+11,"강북구,0.059",0.008,0.8,0.008,39,25,NA
3072,2.01001E+11,"강북구,0.063",0.005,0.9,0.008,40,24,NA
3073,2.01001E+11,"강서구,0.032",0.015,0.3,0.005,30,18,NA
3074,2.01001E+11,"강서구,0.036",0.011,0.3,0.005,35,24,NA
3075,2.01001E+11,"강서구,0.045",0.005,0.5,0.006,35,24,NA
3076,2.01001E+11,"강서구,0.046",0.003,0.6,0.006,47,30,NA
3077,2.01001E+11,"강서구,0.035",0.011,0.5,0.006,48,34,NA
3078,2.01001E+11,"강서구,0.035",0.01,0.4,0.006,35,26,NA
3079,2.01001E+11,"강서구,0.045",0.003,0.6,0.007,40,25,NA
3080,2.01001E+11,"강서구,0.051",0.002,0.8,0.008,44,34,NA
3081,2.01001E+11,"강서구,0.047",0.003,0.8,0.007,49,31,NA
3082,2.01001E+11,"강서구,0.042",0.007,0.7,0.007,44,33,NA
3083,2.01001E+11,"강서구,0.031",0.015,0.5,0.007,45,30,NA
3084,2.01001E+11,"강서구,0.04",0.011,0.6,0.008,42,31,NA
3085,2.01001E+11,"강서구,0.03",0.016,0.4,0.008,51,39,NA
3086,2.01001E+11,"강서구,0.016",0.028,0.3,0.007,39,25,NA
3087,2.01001E+11,"강서구,0.022",0.026,0.4,0.007,39,23,NA
3088,2.01001E+11,"강서구,0.022",0.031,0.3,0.007,47,33,NA
3089,2.01001E+11,"강서구,0.02",0.034,0.3,0.005,42,34,NA
3090,2.01001E+11,"강서구,0.022",0.032,0.3,0.005,40,26,NA
3091,2.01001E+11,"강서구,0.036",0.02,0.3,0.005,35,26,NA
3092,2.01001E+11,"강서구,0.044",0.014,0.4,0.006,33,22,NA
3093,2.01001E+11,"강서구,0.036",0.018,0.3,0.006,29,16,NA
3094,2.01001E+11,"강서구,0.057",0.003,0.4,0.006,28,20,NA
3095,2.01001E+11,"강서구,0.06",0.002,0.6,0.008,52,36,NA
3096,2.01001E+11,"강서구,0.048",0.007,0.5,0.007,58,41,NA
3097,2.01001E+11,관악구,0.025,0.019,0.4,0.003,31,19
3098,2.01001E+11,관악구,0.025,0.019,0.4,0.003,27,18
3099,2.01001E+11,관악구,0.024,0.02,0.4,0.003,30,20
3100,2.01001E+11,관악구,0.03,0.014,0.5,0.003,29,19
3101,2.01001E+11,관악구,0.029,0.015,0.5,0.003,30,18
3102,2.01001E+11,관악구,0.02,0.02,0.4,0.004,30,18
3103,2.01001E+11,관악구,0.02,0.018,0.5,0.005,30,16
3104,2.01001E+11,관악구,0.03,0.011,0.5,0.005,34,23
3105,2.01001E+11,관악구,0.039,0.005,0.6,0.005,38,25
3106,2.01001E+11,관악구,0.041,0.005,0.7,0.006,42,23
3107,2.01001E+11,관악구,0.026,0.014,0.6,0.006,37,25
3108,2.01001E+11,관악구,0.02,0.019,0.6,0.006,34,25
3109,2.01001E+11,관악구,0.02,0.021,0.5,0.006,39,23
3110,2.01001E+11,관악구,0.02,0.022,0.5,0.006,40,26
3111,2.01001E+11,관악구,0.019,0.024,0.5,0.006,38,25
3112,2.01001E+11,관악구,0.023,0.023,0.5,0.006,40,27
3113,2.01001E+11,관악구,0.022,0.026,0.5,0.005,46,32
3114,2.01001E+11,관악구,0.028,0.023,0.5,0.004,46,35
3115,2.01001E+11,관악구,0.031,0.021,0.5,0.004,46,30
3116,2.01001E+11,관악구,0.044,0.01,0.6,0.004,33,25
3117,2.01001E+11,관악구,0.04,0.013,0.5,0.004,33,22
3118,2.01001E+11,관악구,0.041,0.013,0.6,0.004,36,26
3119,2.01001E+11,관악구,0.045,0.01,0.6,0.005,46,31
3120,2.01001E+11,관악구,0.044,0.009,0.6,0.005,48,31
3121,2.01001E+11,"광진구,0.021",0.028,0.3,0.004,30,24,NA
3122,2.01001E+11,"광진구,0.021",0.028,0.3,0.004,30,17,NA
3123,2.01001E+11,"광진구,0.024",0.026,0.4,0.004,28,18,NA
3124,2.01001E+11,"광진구,0.053",0.003,0.9,0.004,46,35,NA
3125,2.01001E+11,"광진구,0.049",0.002,0.8,0.004,54,41,NA
3126,2.01001E+11,"광진구,0.043",0.004,0.7,0.003,51,38,NA
3127,2.01001E+11,"광진구,0.05",0.003,0.8,0.004,49,35,NA
3128,2.01001E+11,"광진구,0.051",0.002,0.8,0.004,48,36,NA
3129,2.01001E+11,"광진구,0.052",0.002,0.8,0.004,52,39,NA
3130,2.01001E+11,"광진구,0.062",0.003,1.1,0.005,61,46,NA
3131,2.01001E+11,"광진구,0.053",0.006,0.9,0.006,73,56,NA
3132,2.01001E+11,"광진구,0.033",0.016,0.6,0.006,51,50,NA
3133,2.01001E+11,"광진구,0.02",0.026,0.4,0.007,36,36,NA
3134,2.01001E+11,"광진구,0.012",0.036,0.3,0.007,23,19,NA
3135,2.01001E+11,"광진구,0.017",0.034,0.3,0.007,24,23,NA
3136,2.01001E+11,"광진구,0.023",0.031,0.4,0.007,32,28,NA
3137,2.01001E+11,"광진구,0.02",0.032,0.4,0.006,31,27,NA
3138,2.01001E+11,"광진구,0.029",0.027,0.4,0.005,29,23,NA
3139,2.01001E+11,"광진구,0.033",0.021,0.4,0.005,33,26,NA
3140,2.01001E+11,"광진구,0.031",0.026,0.4,0.004,24,18,NA
3141,2.01001E+11,"광진구,0.037",0.019,0.4,0.004,30,25,NA
3142,2.01001E+11,"광진구,0.036",0.019,0.4,0.005,29,22,NA
3143,2.01001E+11,"광진구,0.048",0.008,0.5,0.004,39,30,NA
3144,2.01001E+11,"광진구,0.026",0.025,0.4,0.005,34,24,NA
3145,2.01001E+11,"구로구,0.029",0.017,0.6,0.004,25,19,NA
3146,2.01001E+11,"구로구,0.028",0.018,0.5,0.004,27,14,NA
3147,2.01001E+11,"구로구,0.024",0.021,0.5,0.004,26,15,NA
3148,2.01001E+11,"구로구,0.025",0.019,0.5,0.003,22,16,NA
3149,2.01001E+11,"구로구,0.025",0.019,0.6,0.004,29,17,NA
3150,2.01001E+11,"구로구,0.025",0.018,0.5,0.004,26,14,NA
3151,2.01001E+11,"구로구,0.022",0.019,0.5,0.004,32,19,NA
3152,2.01001E+11,"구로구,0.029",0.012,0.6,0.004,33,20,NA
3153,2.01001E+11,"구로구,0.036",0.007,0.7,0.004,33,22,NA
3154,2.01001E+11,"구로구,0.041",0.006,0.8,0.005,49,33,NA
3155,2.01001E+11,"구로구,0.03",0.014,0.7,0.006,45,30,NA
3156,2.01001E+11,"구로구,0.024",0.02,0.6,0.006,42,25,NA
3157,2.01001E+11,"구로구,0.026",0.021,0.6,0.007,39,24,NA
3158,2.01001E+11,"구로구,0.022",0.026,0.6,0.007,43,31,NA
3159,2.01001E+11,"구로구,0.026",0.024,0.6,0.007,44,30,NA
3160,2.01001E+11,"구로구,0.029",0.024,0.6,0.007,48,34,NA
3161,2.01001E+11,"구로구,0.029",0.025,0.6,0.005,49,44,NA
3162,2.01001E+11,"구로구,0.033",0.023,0.7,0.005,70,54,NA
3163,2.01001E+11,"구로구,0.035",0.021,0.6,0.005,62,57,NA
3164,2.01001E+11,"구로구,0.035",0.019,0.6,0.004,49,42,NA
3165,2.01001E+11,"구로구,0.041",0.013,0.7,0.005,43,43,NA
3166,2.01001E+11,"구로구,0.049",0.006,0.8,0.005,42,42,NA
3167,2.01001E+11,"구로구,0.049",0.005,0.7,0.006,49,40,NA
3168,2.01001E+11,"구로구,0.042",0.009,0.7,0.005,49,35,NA
3169,2.01001E+11,"금천구,0.02",0.024,0.3,0.002,26,22,NA
3170,2.01001E+11,"금천구,0.02",0.025,0.3,0.002,28,18,NA
3171,2.01001E+11,"금천구,0.022",0.021,0.4,0.002,33,18,NA
3172,2.01001E+11,"금천구,0.022",0.019,0.4,0.002,25,18,NA
3173,2.01001E+11,"금천구,0.027",0.014,0.4,0.002,21,17,NA
3174,2.01001E+11,"금천구,0.02",0.02,0.4,0.003,28,19,NA
3175,2.01001E+11,"금천구,0.02",0.02,0.4,0.003,33,23,NA
3176,2.01001E+11,"금천구,0.024",0.013,0.5,0.003,35,20,NA
3177,2.01001E+11,"금천구,0.032",0.006,0.6,0.003,36,19,NA
3178,2.01001E+11,"금천구,0.03",0.01,0.6,0.003,30,23,NA
3179,2.01001E+11,"금천구,0.0",0,0,0,33,18,NA
3180,2.01001E+11,"금천구,0.0",0,0,0,0,15,NA
3181,2.01001E+11,"금천구,0.017",0.027,0.4,0.005,54,32,NA
3182,2.01001E+11,"금천구,0.018",0.03,0.4,0.005,44,29,NA
3183,2.01001E+11,"금천구,0.021",0.031,0.4,0.005,42,34,NA
3184,2.01001E+11,"금천구,0.022",0.03,0.4,0.005,40,27,NA
3185,2.01001E+11,"금천구,0.022",0.032,0.4,0.005,44,27,NA
3186,2.01001E+11,"금천구,0.029",0.025,0.4,0.004,61,37,NA
3187,2.01001E+11,"금천구,0.032",0.02,0.4,0.004,46,25,NA
3188,2.01001E+11,"금천구,0.033",0.017,0.4,0.004,37,24,NA
3189,2.01001E+11,"금천구,0.032",0.02,0.4,0.004,40,20,NA
3190,2.01001E+11,"금천구,0.034",0.016,0.5,0.003,37,19,NA
3191,2.01001E+11,"금천구,0.039",0.01,0.5,0.004,38,22,NA
3192,2.01001E+11,"금천구,0.032",0.017,0.4,0.003,41,20,NA
3193,2.01001E+11,"노원구,0.05",0.007,0.6,0.005,32,26,NA
3194,2.01001E+11,"노원구,0.056",0.001,0.7,0.006,36,27,NA
3195,2.01001E+11,"노원구,0.05",0.003,0.6,0.007,34,23,NA
3196,2.01001E+11,"노원구,0.047",0.004,0.6,0.006,32,22,NA
3197,2.01001E+11,"노원구,0.052",0.001,0.7,0.007,33,27,NA
3198,2.01001E+11,"노원구,0.053",0.001,0.7,0.006,34,28,NA
3199,2.01001E+11,"노원구,0.053",0.001,0.7,0.008,37,24,NA
3200,2.01001E+11,"노원구,0.054",0,0.8,0.008,46,33,NA
3201,2.01001E+11,"노원구,0.058",0.001,1.1,0.011,63,41,NA
3202,2.01001E+11,"노원구,0.06",0.002,1.2,0.013,77,50,NA
3203,2.01001E+11,"노원구,0.064",0.004,1.5,0.011,66,48,NA
3204,2.01001E+11,"노원구,0.033",0.016,0.6,0.009,46,33,NA
3205,2.01001E+11,"노원구,0.017",0.025,0.4,0.007,35,23,NA
3206,2.01001E+11,"노원구,0.013",0.029,0.3,0.007,32,17,NA
3207,2.01001E+11,"노원구,0.0",0,0,0,0,7,NA
3208,2.01001E+11,"노원구,0.0",0,0,0,0,2,NA
3209,2.01001E+11,"노원구,0.0",0,0,0,40,20,NA
3210,2.01001E+11,"노원구,0.021",0.03,0.3,0.006,31,26,NA
3211,2.01001E+11,"노원구,0.03",0.024,0.4,0.006,40,27,NA
3212,2.01001E+11,"노원구,0.032",0.022,0.4,0.006,37,22,NA
3213,2.01001E+11,"노원구,0.049",0.011,0.6,0.007,37,26,NA
3214,2.01001E+11,"노원구,0.062",0.003,0.7,0.007,41,32,NA
3215,2.01001E+11,"노원구,0.064",0.002,0.8,0.007,51,33,NA
3216,2.01001E+11,"노원구,0.063",0.002,0.7,0.006,48,34,NA
3217,2.01001E+11,"도봉구,0.009",0.036,0.4,0.004,31,22,NA
3218,2.01001E+11,"도봉구,0.01",0.035,0.4,0.003,26,16,NA
3219,2.01001E+11,"도봉구,0.008",0.036,0.4,0.003,26,16,NA
3220,2.01001E+11,"도봉구,0.028",0.021,0.6,0.003,26,15,NA
3221,2.01001E+11,"도봉구,0.044",0.005,0.8,0.004,40,32,NA
3222,2.01001E+11,"도봉구,0.047",0.003,0.9,0.004,38,23,NA
3223,2.01001E+11,"도봉구,0.051",0.003,1.1,0.006,44,10,NA
3224,2.01001E+11,"도봉구,0.048",0.003,1,0.006,51,34,NA
3225,2.01001E+11,"도봉구,0.051",0.003,1,0.009,59,29,NA
3226,2.01001E+11,"도봉구,0.055",0.004,1.2,0.013,70,42,NA
3227,2.01001E+11,"도봉구,0.057",0.007,1.4,0.015,97,73,NA
3228,2.01001E+11,"도봉구,0.01",0.027,0.5,0.008,49,38,NA
3229,2.01001E+11,"도봉구,0.008",0.033,0.4,0.007,28,20,NA
3230,2.01001E+11,"도봉구,0.009",0.034,0.4,0.007,29,20,NA
3231,2.01001E+11,"도봉구,0.009",0.037,0.4,0.006,32,23,NA
3232,2.01001E+11,"도봉구,0.011",0.038,0.4,0.006,33,26,NA
3233,2.01001E+11,"도봉구,0.012",0.038,0.4,0.005,33,25,NA
3234,2.01001E+11,"도봉구,0.013",0.038,0.4,0.004,28,18,NA
3235,2.01001E+11,"도봉구,0.019",0.035,0.5,0.004,30,27,NA
3236,2.01001E+11,"도봉구,0.019",0.033,0.5,0.004,39,26,NA
3237,2.01001E+11,"도봉구,0.021",0.032,0.5,0.004,34,21,NA
3238,2.01001E+11,"도봉구,0.033",0.025,0.5,0.004,35,27,NA
3239,2.01001E+11,"도봉구,0.058",0.003,0.8,0.005,46,40,NA
3240,2.01001E+11,"도봉구,0.059",0.003,0.9,0.005,49,33,NA
3241,2.01001E+11,동대문구,0.018,0.018,0.3,0.004,30,20
3242,2.01001E+11,동대문구,0.015,0.018,0.3,0.004,28,16
3243,2.01001E+11,동대문구,0.014,0.018,0.3,0.004,25,17
3244,2.01001E+11,동대문구,0.027,0.011,0.5,0.004,27,15
3245,2.01001E+11,동대문구,0.034,0.008,0.5,0.004,28,21
3246,2.01001E+11,동대문구,0.019,0.015,0.4,0.004,30,20
3247,2.01001E+11,동대문구,0.02,0.013,0.4,0.004,23,16
3248,2.01001E+11,동대문구,0.051,0.004,0.9,0.005,36,20
3249,2.01001E+11,동대문구,0.054,0.003,0.9,0.006,43,31
3250,2.01001E+11,동대문구,0.044,0.007,0.8,0.007,45,33
3251,2.01001E+11,동대문구,0.02,0.014,0.5,0.007,27,17
3252,2.01001E+11,동대문구,0.014,0.017,0.4,0.008,33,20
3253,2.01001E+11,동대문구,0.012,0.02,0.4,0.007,37,26
3254,2.01001E+11,동대문구,0.013,0.022,0.4,0.007,42,23
3255,2.01001E+11,동대문구,0.014,0.023,0.4,0.006,39,30
3256,2.01001E+11,동대문구,0.017,0.022,0.4,0.006,46,31
3257,2.01001E+11,동대문구,0.018,0.023,0.4,0.005,35,22
3258,2.01001E+11,동대문구,0.023,0.021,0.4,0.005,34,23
3259,2.01001E+11,동대문구,0.026,0.018,0.4,0.005,30,23
3260,2.01001E+11,동대문구,0.028,0.017,0.4,0.005,26,16
3261,2.01001E+11,동대문구,0.032,0.014,0.5,0.005,30,22
3262,2.01001E+11,동대문구,0.031,0.015,0.4,0.005,33,11
3263,2.01001E+11,동대문구,0.028,0.015,0.4,0.005,38,28
3264,2.01001E+11,동대문구,0.026,0.015,0.4,0.005,34,20
3265,2.01001E+11,"동작구,0.035",0.017,0.4,0.004,26,20,NA
3266,2.01001E+11,"동작구,0.024",0.028,0.4,0.004,31,15,NA
3267,2.01001E+11,"동작구,0.024",0.028,0.4,0.004,27,16,NA
3268,2.01001E+11,"동작구,0.031",0.019,0.4,0.003,29,23,NA
3269,2.01001E+11,"동작구,0.043",0.008,0.5,0.004,26,21,NA
3270,2.01001E+11,"동작구,0.031",0.019,0.4,0.005,30,20,NA
3271,2.01001E+11,"동작구,0.03",0.016,0.4,0.006,30,18,NA
3272,2.01001E+11,"동작구,0.034",0.012,0.5,0.005,35,22,NA
3273,2.01001E+11,"동작구,0.045",0.004,0.6,0.005,42,25,NA
3274,2.01001E+11,"동작구,0.046",0.006,0.7,0.006,39,27,NA
3275,2.01001E+11,"동작구,0.028",0.018,0.5,0.007,31,25,NA
3276,2.01001E+11,"동작구,0.029",0.019,0.6,0.007,39,26,NA
3277,2.01001E+11,"동작구,0.021",0.026,0.5,0.008,37,35,NA
3278,2.01001E+11,"동작구,0.023",0.027,0.5,0.008,40,28,NA
3279,2.01001E+11,"동작구,0.019",0.033,0.4,0.007,37,23,NA
3280,2.01001E+11,"동작구,0.023",0.031,0.4,0.006,37,20,NA
3281,2.01001E+11,"동작구,0.022",0.035,0.4,0.006,35,21,NA
3282,2.01001E+11,"동작구,0.028",0.029,0.4,0.005,34,37,NA
3283,2.01001E+11,"동작구,0.032",0.026,0.4,0.005,35,12,NA
3284,2.01001E+11,"동작구,0.042",0.017,0.5,0.004,33,18,NA
3285,2.01001E+11,"동작구,0.044",0.014,0.5,0.004,34,23,NA
3286,2.01001E+11,"동작구,0.058",0.003,0.6,0.005,38,24,NA
3287,2.01001E+11,"동작구,0.051",0.008,0.5,0.005,34,27,NA
3288,2.01001E+11,"동작구,0.051",0.006,0.6,0.006,38,26,NA
3289,2.01001E+11,"마포구,0.039",0.006,0.5,0.004,35,23,NA
3290,2.01001E+11,"마포구,0.041",0.004,0.5,0.004,34,23,NA
3291,2.01001E+11,"마포구,0.033",0.009,0.5,0.003,36,22,NA
3292,2.01001E+11,"마포구,0.026",0.012,0.5,0.003,31,22,NA
3293,2.01001E+11,"마포구,0.03",0.01,0.5,0.003,31,18,NA
3294,2.01001E+11,"마포구,0.03",0.009,0.5,0.003,30,21,NA
3295,2.01001E+11,"마포구,0.041",0.003,0.5,0.004,36,23,NA
3296,2.01001E+11,"마포구,0.044",0.002,0.5,0.004,44,26,NA
3297,2.01001E+11,"마포구,0.044",0.002,0.6,0.004,40,25,NA
3298,2.01001E+11,"마포구,0.047",0.003,0.7,0.005,41,26,NA
3299,2.01001E+11,"마포구,0.037",0.007,0.7,0.006,35,31,NA
3300,2.01001E+11,"마포구,0.025",0.012,0.5,0.006,39,22,NA
3301,2.01001E+11,"마포구,0.022",0.015,0.5,0.006,38,22,NA
3302,2.01001E+11,"마포구,0.028",0.014,0.6,0.007,46,30,NA
3303,2.01001E+11,"마포구,0.028",0.015,0.6,0.006,53,36,NA
3304,2.01001E+11,"마포구,0.021",0.02,0.5,0.005,45,27,NA
3305,2.01001E+11,"마포구,0.022",0.02,0.5,0.004,40,27,NA
3306,2.01001E+11,"마포구,0.027",0.018,0.5,0.004,41,25,NA
3307,2.01001E+11,"마포구,0.031",0.016,0.5,0.004,36,27,NA
3308,2.01001E+11,"마포구,0.034",0.014,0.5,0.004,31,23,NA
3309,2.01001E+11,"마포구,0.037",0.011,0.5,0.004,35,21,NA
3310,2.01001E+11,"마포구,0.049",0.005,0.6,0.004,43,21,NA
3311,2.01001E+11,"마포구,0.05",0.004,0.6,0.004,46,33,NA
3312,2.01001E+11,"마포구,0.049",0.003,0.6,0.005,46,34,NA
3313,2.01001E+11,서대문구,0.033,0.026,0.5,0.007,42,23
3314,2.01001E+11,서대문구,0.033,0.025,0.5,0.006,32,15
3315,2.01001E+11,서대문구,0.033,0.024,0.5,0.006,34,13
3316,2.01001E+11,서대문구,0.029,0.028,0.5,0.006,49,10
3317,2.01001E+11,서대문구,0.033,0.022,0.5,0.006,39,15
3318,2.01001E+11,서대문구,0.03,0.026,0.5,0.006,23,18
3319,2.01001E+11,서대문구,0.027,0.026,0.5,0.007,38,17
3320,2.01001E+11,서대문구,0.032,0.021,0.5,0.007,28,14
3321,2.01001E+11,서대문구,0.039,0.013,0.6,0.007,28,9
3322,2.01001E+11,서대문구,0.042,0.012,0.6,0.007,24,14
3323,2.01001E+11,서대문구,0.038,0.022,0.7,0.009,42,19
3324,2.01001E+11,서대문구,0.023,0.033,0.5,0.009,50,23
3325,2.01001E+11,서대문구,0.027,0.031,0.5,0.01,51,26
3326,2.01001E+11,서대문구,0.03,0.032,0.5,0.01,42,16
3327,2.01001E+11,서대문구,0.026,0.038,0.4,0.01,44,13
3328,2.01001E+11,서대문구,0.026,0.038,0.4,0.01,44,13
3329,2.01001E+11,서대문구,0.026,0.041,0.4,0.009,39,11
3330,2.01001E+11,서대문구,0.028,0.042,0.3,0.008,32,13
3331,2.01001E+11,서대문구,0.032,0.035,0.4,0.007,41,19
3332,2.01001E+11,서대문구,0.035,0.033,0.5,0.007,39,24
3333,2.01001E+11,서대문구,0.042,0.026,0.5,0.007,44,31
3334,2.01001E+11,서대문구,0.044,0.023,0.6,0.007,39,24
3335,2.01001E+11,서대문구,0.048,0.017,0.6,0.007,39,16
3336,2.01001E+11,서대문구,0.036,0.027,0.5,0.008,30,23
3337,2.01001E+11,"서초구,0.03",0.015,0.4,0.004,31,18,NA
3338,2.01001E+11,"서초구,0.025",0.017,0.4,0.004,28,21,NA
3339,2.01001E+11,"서초구,0.033",0.012,0.4,0.004,30,19,NA
3340,2.01001E+11,"서초구,0.04",0.007,0.4,0.004,33,24,NA
3341,2.01001E+11,"서초구,0.035",0.009,0.4,0.004,28,19,NA
3342,2.01001E+11,"서초구,0.033",0.011,0.4,0.004,33,19,NA
3343,2.01001E+11,"서초구,0.03",0.012,0.4,0.005,29,21,NA
3344,2.01001E+11,"서초구,0.042",0.004,0.4,0.005,38,24,NA
3345,2.01001E+11,"서초구,0.048",0.002,0.6,0.005,38,26,NA
3346,2.01001E+11,"서초구,0.045",0.004,0.7,0.005,41,25,NA
3347,2.01001E+11,"서초구,0.032",0.011,0.5,0.006,38,23,NA
3348,2.01001E+11,"서초구,0.026",0.015,0.4,0.007,35,21,NA
3349,2.01001E+11,"서초구,0.021",0.019,0.4,0.007,37,25,NA
3350,2.01001E+11,"서초구,0.019",0.023,0.4,0.007,39,22,NA
3351,2.01001E+11,"서초구,0.019",0.025,0.4,0.006,33,23,NA
3352,2.01001E+11,"서초구,0.022",0.025,0.4,0.005,28,21,NA
3353,2.01001E+11,"서초구,0.023",0.024,0.3,0.005,36,25,NA
3354,2.01001E+11,"서초구,0.027",0.023,0.3,0.004,40,28,NA
3355,2.01001E+11,"서초구,0.03",0.021,0.4,0.004,32,22,NA
3356,2.01001E+11,"서초구,0.04",0.014,0.4,0.005,25,10,NA
3357,2.01001E+11,"서초구,0.042",0.012,0.4,0.005,28,17,NA
3358,2.01001E+11,"서초구,0.051",0.006,0.5,0.005,25,24,NA
3359,2.01001E+11,"서초구,0.052",0.006,0.5,0.005,42,27,NA
3360,2.01001E+11,"서초구,0.043",0.01,0.4,0.006,40,29,NA
3361,2.01001E+11,"성동구,0.02",0.024,0.5,0.004,36,24,NA
3362,2.01001E+11,"성동구,0.026",0.016,0.5,0.003,29,22,NA
3363,2.01001E+11,"성동구,0.025",0.018,0.4,0.003,33,19,NA
3364,2.01001E+11,"성동구,0.019",0.022,0.4,0.003,27,21,NA
3365,2.01001E+11,"성동구,0.02",0.02,0.4,0.003,27,15,NA
3366,2.01001E+11,"성동구,0.024",0.016,0.5,0.003,26,15,NA
3367,2.01001E+11,"성동구,0.022",0.018,0.5,0.004,29,20,NA
3368,2.01001E+11,"성동구,0.028",0.011,0.5,0.004,31,19,NA
3369,2.01001E+11,"성동구,0.048",0.003,0.8,0.004,45,37,NA
3370,2.01001E+11,"성동구,0.054",0.004,1.1,0.005,51,36,NA
3371,2.01001E+11,"성동구,0.056",0.006,1.2,0.007,69,52,NA
3372,2.01001E+11,"성동구,0.025",0.019,0.7,0.007,46,41,NA
3373,2.01001E+11,"성동구,0.015",0.026,0.5,0.007,25,15,NA
3374,2.01001E+11,"성동구,0.016",0.027,0.5,0.007,22,10,NA
3375,2.01001E+11,"성동구,0.019",0.026,0.5,0.006,39,28,NA
3376,2.01001E+11,"성동구,0.021",0.026,0.5,0.006,35,26,NA
3377,2.01001E+11,"성동구,0.021",0.027,0.4,0.005,34,22,NA
3378,2.01001E+11,"성동구,0.027",0.022,0.5,0.005,40,29,NA
3379,2.01001E+11,"성동구,0.031",0.02,0.5,0.004,36,26,NA
3380,2.01001E+11,"성동구,0.019",0.03,0.4,0.004,31,17,NA
3381,2.01001E+11,"성동구,0.028",0.023,0.5,0.004,32,23,NA
3382,2.01001E+11,"성동구,0.024",0.025,0.5,0.005,26,23,NA
3383,2.01001E+11,"성동구,0.021",0.027,0.5,0.004,34,26,NA
3384,2.01001E+11,"성동구,0.029",0.019,0.5,0.004,39,23,NA
3385,2.01001E+11,"성북구,0.029",0.02,0.4,0.003,26,18,NA
3386,2.01001E+11,"성북구,0.027",0.02,0.5,0.003,26,20,NA
3387,2.01001E+11,"성북구,0.025",0.02,0.5,0.002,25,15,NA
3388,2.01001E+11,"성북구,0.033",0.016,0.5,0.003,23,15,NA
3389,2.01001E+11,"성북구,0.05",0.004,0.8,0.002,29,18,NA
3390,2.01001E+11,"성북구,0.057",0.001,1.1,0.003,34,29,NA
3391,2.01001E+11,"성북구,0.058",0.001,1.1,0.003,37,27,NA
3392,2.01001E+11,"성북구,0.063",0.001,1.2,0.005,40,28,NA
3393,2.01001E+11,"성북구,0.063",0.001,1.2,0.005,38,28,NA
3394,2.01001E+11,"성북구,0.074",0.001,1.6,0.007,45,30,NA
3395,2.01001E+11,"성북구,0.069",0.003,1.4,0.008,56,40,NA
