MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
84,2.01001E+11,"강서구,0.032",0.011,0.4,0.007,30,17,NA
85,2.01001E+11,"강서구,0.028",0.015,0.4,0.006,20,15,NA
86,2.01001E+11,"강서구,0.028",0.016,0.4,0.007,28,15,NA
87,2.01001E+11,"강서구,0.03",0.015,0.4,0.008,28,17,NA
88,2.01001E+11,"강서구,0.032",0.013,0.4,0.008,25,16,NA
89,2.01001E+11,"강서구,0.042",0.007,0.5,0.007,30,24,NA
90,2.01001E+11,"강서구,0.046",0.004,0.6,0.007,39,23,NA
91,2.01001E+11,"강서구,0.051",0.001,0.7,0.007,38,20,NA
92,2.01001E+11,"강서구,0.052",0.001,0.7,0.007,33,22,NA
93,2.01001E+11,"강서구,0.053",0.001,0.7,0.008,35,22,NA
94,2.01001E+11,"강서구,0.052",0.001,0.7,0.008,39,24,NA
95,2.01001E+11,"강서구,0.049",0.001,0.7,0.007,50,28,NA
96,2.01001E+11,"강서구,0.047",0.001,0.6,0.007,42,28,NA
97,2.01001E+11,관악구,0.034,0.004,0.6,0.005,26,21
98,2.01001E+11,관악구,0.027,0.01,0.5,0.006,33,20
99,2.01001E+11,관악구,0.027,0.01,0.5,0.006,30,16
100,2.01001E+11,관악구,0.029,0.008,0.5,0.006,32,22
101,2.01001E+11,관악구,0.036,0.004,0.6,0.006,30,19
102,2.01001E+11,관악구,0.041,0.001,0.6,0.006,32,19
103,2.01001E+11,관악구,0.042,0.001,0.9,0.005,36,20
104,2.01001E+11,관악구,0.041,0.001,0.7,0.005,29,21
105,2.01001E+11,관악구,0.04,0.001,0.7,0.006,30,18
106,2.01001E+11,관악구,0.039,0.003,0.7,0.006,33,16
107,2.01001E+11,관악구,0.036,0.006,0.7,0.006,32,17
108,2.01001E+11,관악구,0.035,0.008,0.8,0.006,32,17
109,2.01001E+11,관악구,0.034,0.009,0.8,0.006,35,21
110,2.01001E+11,관악구,0.029,0.012,0.7,0.006,33,17
