MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201306072300,강남구,0.057,0.002,0.4,0.006,33.0,20.0
201306072200,강남구,0.05,0.009,0.3,0.006,42.0,22.0
201306072100,강남구,0.048,0.014,0.3,0.007,37.0,21.0
201306072000,강남구,0.044,0.022,0.3,0.007,29.0,24.0
201306071900,강남구,0.043,0.047,0.3,0.009,48.0,32.0
201306071800,강남구,0.051,0.052,0.4,0.012,52.0,40.0
201306071700,강남구,0.048,0.082,0.4,0.009,59.0,58.0
201306071600,강남구,0.038,0.112,0.4,0.008,49.0,44.0
201306071500,강남구,0.03,0.103,0.3,0.006,49.0,33.0
201306071400,강남구,0.027,0.092,0.3,0.005,47.0,37.0
201306071300,강남구,0.027,0.077,0.3,0.005,48.0,23.0
201306071200,강남구,0.027,0.069,0.3,0.005,43.0,29.0
201306071100,강남구,0.042,0.039,0.4,0.005,51.0,39.0
201306071000,강남구,0.048,0.02,0.5,0.005,55.0,43.0
201306070900,강남구,0.047,0.01,0.5,0.005,54.0,44.0
201306070800,강남구,0.041,0.006,0.4,0.005,46.0,39.0
201306070700,강남구,0.035,0.005,0.4,0.005,43.0,32.0
201306070600,강남구,0.034,0.005,0.3,0.005,44.0,34.0
201306070500,강남구,0.038,0.002,0.4,0.005,41.0,29.0
201306070400,강남구,0.042,0.0,0.5,0.005,45.0,32.0
201306070300,강남구,0.047,0.002,0.4,0.004,52.0,38.0
201306070200,강남구,0.051,0.002,0.4,0.005,41.0,33.0
201306070100,강남구,0.04,0.002,0.4,0.006,33.0,19.0
201306070000,강남구,0.039,0.003,0.3,0.007,33.0,19.0
201306072300,강동구,0.039,0.016,0.4,0.004,36.0,18.0
201306072200,강동구,0.052,0.004,0.5,0.004,35.0,19.0
201306072100,강동구,0.048,0.007,0.5,0.005,26.0,15.0
201306072000,강동구,0.041,0.022,0.5,0.005,42.0,25.0
201306071900,강동구,0.043,0.039,0.5,0.005,58.0,24.0
201306071800,강동구,0.047,0.042,0.5,0.005,47.0,29.0
201306071700,강동구,0.036,0.051,0.6,0.004,42.0,37.0
201306071600,강동구,0.021,0.071,0.5,0.003,40.0,30.0
201306071500,강동구,0.021,0.051,0.4,0.003,33.0,22.0
201306071400,강동구,0.022,0.061,0.4,0.003,40.0,23.0
201306071300,강동구,0.021,0.056,0.5,0.003,45.0,26.0
201306071200,강동구,0.019,0.045,0.5,0.003,44.0,27.0
201306071100,강동구,0.019,0.028,0.5,0.003,48.0,24.0
201306071000,강동구,0.024,0.02,0.5,0.003,47.0,27.0
201306070900,강동구,0.029,0.008,0.6,0.003,48.0,22.0
201306070800,강동구,0.03,0.007,0.5,0.003,40.0,27.0
201306070700,강동구,0.026,0.009,0.5,0.003,34.0,27.0
201306070600,강동구,0.03,0.004,0.5,0.003,42.0,21.0
201306070500,강동구,0.027,0.005,0.5,0.003,39.0,28.0
201306070400,강동구,0.033,0.003,0.5,0.003,50.0,26.0
201306070300,강동구,0.031,0.003,0.5,0.003,45.0,30.0
201306070200,강동구,0.046,0.002,0.6,0.003,52.0,26.0
201306070100,강동구,0.055,0.002,0.7,0.003,58.0,35.0
201306070000,강동구,0.057,0.002,0.6,0.003,50.0,26.0
201306072300,강북구,0.046,0.014,0.3,0.004,28.0,14.0
201306072200,강북구,0.035,0.024,0.3,0.005,21.0,15.0
201306072100,강북구,0.034,0.027,0.3,0.005,33.0,19.0
201306072000,강북구,0.036,0.028,0.3,0.005,30.0,14.0
201306071900,강북구,0.039,0.032,0.3,0.006,34.0,18.0
201306071800,강북구,0.037,0.042,0.3,0.004,44.0,26.0
201306071700,강북구,0.034,0.064,0.4,0.004,62.0,41.0
201306071600,강북구,0.035,0.079,0.4,0.004,59.0,50.0
201306071500,강북구,0.027,0.081,0.3,0.005,45.0,42.0
201306071400,강북구,0.023,0.075,0.3,0.004,40.0,41.0
201306071300,강북구,0.018,0.067,0.3,0.005,40.0,26.0
201306071200,강북구,0.019,0.058,0.3,0.005,38.0,3.0
201306071100,강북구,0.025,0.042,0.3,0.004,44.0,46.0
201306071000,강북구,0.025,0.032,0.3,0.004,50.0,55.0
