MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201302160000,강남구,0.024,0.021,0.3,0.005,24.0,10.0
201302160100,강남구,0.023,0.022,0.3,0.006,25.0,18.0
201302160200,강남구,0.02,0.024,0.4,0.006,29.0,17.0
201302160300,강남구,0.022,0.022,0.4,0.007,27.0,16.0
201302160400,강남구,0.02,0.023,0.4,0.009,33.0,19.0
201302160500,강남구,0.025,0.02,0.4,0.008,31.0,14.0
201302160600,강남구,0.032,0.016,0.4,0.007,31.0,21.0
201302160700,강남구,0.044,0.009,0.5,0.008,35.0,20.0
201302160800,강남구,0.064,0.001,0.6,0.006,37.0,23.0
201302160900,강남구,0.055,0.005,0.6,0.007,40.0,23.0
201302161000,강남구,0.058,0.006,0.6,0.008,40.0,26.0
201302161100,강남구,0.053,0.01,0.6,0.009,39.0,20.0
201302161200,강남구,0.043,0.017,0.5,0.01,39.0,21.0
201302161300,강남구,0.04,0.02,0.5,0.01,39.0,24.0
201302161400,강남구,0.034,0.025,0.4,0.01,30.0,16.0
201302161500,강남구,0.037,0.024,0.4,0.008,27.0,17.0
201302161600,강남구,0.048,0.018,0.4,0.008,34.0,18.0
201302161700,강남구,0.062,0.011,0.5,0.01,43.0,22.0
201302161800,강남구,0.066,0.009,0.5,0.01,62.0,31.0
201302161900,강남구,0.058,0.012,0.5,0.012,63.0,27.0
201302162000,강남구,0.058,0.011,0.5,0.009,42.0,20.0
201302162100,강남구,0.06,0.009,0.5,0.007,41.0,19.0
201302162200,강남구,0.071,0.004,0.6,0.006,49.0,23.0
201302162300,강남구,0.078,0.001,0.6,0.007,48.0,21.0
201302160000,강동구,0.024,0.023,0.4,0.004,23.0,11.0
201302160100,강동구,0.021,0.025,0.4,0.005,19.0,11.0
201302160200,강동구,0.018,0.029,0.5,0.007,23.0,13.0
201302160300,강동구,0.016,0.03,0.4,0.008,26.0,16.0
201302160400,강동구,0.014,0.031,0.5,0.008,29.0,17.0
201302160500,강동구,0.015,0.029,0.5,0.008,29.0,17.0
201302160600,강동구,0.025,0.019,0.6,0.007,25.0,19.0
201302160700,강동구,0.044,0.002,0.9,0.006,36.0,19.0
201302160800,강동구,0.048,0.002,0.9,0.005,36.0,22.0
201302160900,강동구,0.052,0.003,1.0,0.006,43.0,30.0
201302161000,강동구,0.053,0.004,1.1,0.007,48.0,30.0
201302161100,강동구,0.048,0.009,0.9,0.008,52.0,32.0
201302161200,강동구,0.047,0.01,0.8,0.008,42.0,22.0
201302161300,강동구,0.04,0.015,0.7,0.009,39.0,17.0
201302161400,강동구,0.038,0.019,0.6,0.008,32.0,21.0
201302161500,강동구,0.036,0.021,0.6,0.007,30.0,16.0
201302161600,강동구,0.037,0.02,0.5,0.007,28.0,14.0
201302161700,강동구,0.047,0.014,0.6,0.007,32.0,20.0
201302161800,강동구,0.059,0.006,0.7,0.008,43.0,23.0
201302161900,강동구,0.059,0.007,0.6,0.008,47.0,22.0
201302162000,강동구,0.057,0.009,0.7,0.009,48.0,26.0
201302162100,강동구,0.055,0.01,0.7,0.007,46.0,28.0
201302162200,강동구,0.065,0.003,0.8,0.007,44.0,31.0
201302162300,강동구,0.059,0.006,0.8,0.007,56.0,33.0
201302160000,강북구,0.022,0.025,0.3,0.004,22.0,6.0
201302160100,강북구,0.025,0.023,0.3,0.004,19.0,7.0
201302160200,강북구,0.018,0.028,0.3,0.006,31.0,14.0
201302160300,강북구,0.02,0.025,0.3,0.006,30.0,14.0
201302160400,강북구,0.016,0.028,0.3,0.006,34.0,21.0
201302160500,강북구,0.031,0.014,0.4,0.006,38.0,14.0
201302160600,강북구,0.042,0.006,0.5,0.006,38.0,16.0
201302160700,강북구,0.044,0.005,0.5,0.005,39.0,24.0
201302160800,강북구,0.044,0.006,0.5,0.006,50.0,18.0
201302160900,강북구,0.045,0.009,0.6,0.007,38.0,27.0
201302161000,강북구,0.047,0.008,0.7,0.007,39.0,42.0
201302161100,강북구,0.046,0.01,0.6,0.008,56.0,49.0
201302161200,강북구,0.038,0.017,0.5,0.008,52.0,49.0
201302161300,강북구,0.026,0.027,0.4,0.008,34.0,31.0
201302161400,강북구,0.023,0.032,0.3,0.007,27.0,26.0
201302161500,강북구,0.025,0.031,0.3,0.006,31.0,24.0
201302161600,강북구,0.03,0.028,0.3,0.006,33.0,34.0
201302161700,강북구,0.033,0.026,0.3,0.007,39.0,23.0
201302161800,강북구,0.041,0.021,0.4,0.006,44.0,20.0
201302161900,강북구,0.044,0.024,0.4,0.006,49.0,17.0
201302162000,강북구,0.038,0.026,0.4,0.006,44.0,23.0
201302162100,강북구,0.044,0.022,0.4,0.006,45.0,19.0
201302162200,강북구,0.063,0.006,0.5,0.006,47.0,32.0
201302162300,강북구,0.064,0.005,0.5,0.006,56.0,28.0
201302160000,강서구,0.023,0.028,0.3,0.006,23.0,10.0
201302160100,강서구,0.025,0.027,0.3,0.005,23.0,10.0
201302160200,강서구,0.023,0.026,0.3,0.006,22.0,10.0
201302160300,강서구,0.025,0.024,0.4,0.006,25.0,11.0
201302160400,강서구,0.026,0.023,0.4,0.006,22.0,11.0
201302160500,강서구,0.022,0.027,0.4,0.007,26.0,11.0
201302160600,강서구,0.029,0.021,0.4,0.006,26.0,12.0
201302160700,강서구,0.04,0.012,0.5,0.006,28.0,13.0
201302160800,강서구,0.055,0.006,0.6,0.007,30.0,13.0
201302160900,강서구,0.057,0.009,0.6,0.008,29.0,14.0
201302161000,강서구,0.037,0.022,0.5,0.011,34.0,15.0
201302161100,강서구,0.041,0.024,0.5,0.014,41.0,16.0
201302161200,강서구,0.03,0.03,0.4,0.015,48.0,17.0
201302161300,강서구,0.03,0.032,0.4,0.012,45.0,18.0
201302161400,강서구,0.031,0.032,0.4,0.011,51.0,18.0
201302161500,강서구,0.034,0.034,0.4,0.011,44.0,19.0
201302161600,강서구,0.041,0.03,0.4,0.011,49.0,19.0
201302161700,강서구,0.035,0.034,0.4,0.013,41.0,19.0
201302161800,강서구,0.031,0.035,0.5,0.011,52.0,19.0
201302161900,강서구,0.034,0.031,0.5,0.016,42.0,19.0
201302162000,강서구,0.041,0.026,0.5,0.009,35.0,19.0
201302162100,강서구,0.043,0.024,0.5,0.007,41.0,19.0
201302162200,강서구,0.051,0.017,0.6,0.007,42.0,20.0
