MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201009272300,강남구,0.044,0.008,0.3,0.005,25.0,13.0
201009272200,강남구,0.05,0.006,0.3,0.004,21.0,14.0
201009272100,강남구,0.048,0.01,0.3,0.004,21.0,8.0
201009272000,강남구,0.051,0.01,0.3,0.004,20.0,12.0
201009271900,강남구,0.043,0.017,0.3,0.004,23.0,10.0
201009271800,강남구,0.046,0.018,0.3,0.003,24.0,14.0
201009271700,강남구,0.046,0.021,0.3,0.004,24.0,14.0
201009271600,강남구,0.042,0.027,0.3,0.005,32.0,17.0
201009271500,강남구,0.035,0.032,0.3,0.004,20.0,12.0
201009271400,강남구,0.035,0.027,0.3,0.004,23.0,16.0
201009271300,강남구,0.039,0.017,0.4,0.004,29.0,17.0
201009271200,강남구,0.034,0.012,0.4,0.004,24.0,11.0
201009271100,강남구,0.037,0.009,0.4,0.004,21.0,9.0
201009271000,강남구,0.039,0.004,0.5,0.004,31.0,20.0
201009270900,강남구,0.039,0.002,0.5,0.004,30.0,20.0
201009270800,강남구,0.039,0.002,0.4,0.004,35.0,20.0
201009270700,강남구,0.032,0.002,0.4,0.003,28.0,21.0
201009270600,강남구,0.034,0.002,0.4,0.003,41.0,30.0
201009270500,강남구,0.037,0.002,0.7,0.003,45.0,33.0
201009270400,강남구,0.04,0.002,0.7,0.003,40.0,27.0
201009270300,강남구,0.044,0.002,0.6,0.003,30.0,20.0
201009270200,강남구,0.047,0.002,0.6,0.003,33.0,19.0
201009270100,강남구,0.052,0.002,0.5,0.003,28.0,20.0
201009270000,강남구,0.052,0.002,0.5,0.004,37.0,20.0
201009272300,강동구,0.036,0.012,0.4,0.004,15.0,14.0
201009272200,강동구,0.036,0.014,0.4,0.004,21.0,13.0
201009272100,강동구,0.032,0.018,0.4,0.004,15.0,4.0
201009272000,강동구,0.029,0.023,0.3,0.003,15.0,8.0
201009271900,강동구,0.025,0.031,0.3,0.004,16.0,9.0
201009271800,강동구,0.021,0.036,0.3,0.004,19.0,14.0
201009271700,강동구,0.019,0.041,0.3,0.004,17.0,14.0
201009271600,강동구,0.015,0.052,0.3,0.004,19.0,8.0
201009271500,강동구,0.016,0.047,0.3,0.005,27.0,12.0
201009271400,강동구,0.023,0.033,0.4,0.005,31.0,12.0
201009271300,강동구,0.022,0.026,0.4,0.005,30.0,21.0
201009271200,강동구,0.02,0.022,0.4,0.005,42.0,10.0
201009271100,강동구,0.022,0.014,0.4,0.004,9.0,13.0
201009271000,강동구,0.026,0.006,0.5,0.004,27.0,13.0
201009270900,강동구,0.026,0.005,0.5,0.005,33.0,14.0
201009270800,강동구,0.024,0.003,0.5,0.004,21.0,18.0
201009270700,강동구,0.021,0.004,0.3,0.004,24.0,9.0
201009270600,강동구,0.018,0.004,0.3,0.004,18.0,11.0
201009270500,강동구,0.018,0.015,0.3,0.004,24.0,17.0
201009270400,강동구,0.02,0.004,0.3,0.004,20.0,13.0
201009270300,강동구,0.021,0.004,0.3,0.004,23.0,16.0
201009270200,강동구,0.023,0.003,0.4,0.004,23.0,17.0
201009270100,강동구,0.026,0.003,0.4,0.004,18.0,17.0
201009270000,강동구,0.029,0.003,0.4,0.004,24.0,19.0
201009272300,강북구,0.029,0.026,0.2,0.004,18.0,9.0
201009272200,강북구,0.022,0.033,0.2,0.005,19.0,7.0
201009272100,강북구,0.026,0.031,0.2,0.004,16.0,9.0
201009272000,강북구,0.03,0.028,0.2,0.005,21.0,10.0
201009271900,강북구,0.024,0.036,0.2,0.004,21.0,15.0
201009271800,강북구,0.028,0.033,0.2,0.005,20.0,11.0
201009271700,강북구,0.026,0.038,0.2,0.005,22.0,10.0
201009271600,강북구,0.025,0.041,0.2,0.005,26.0,16.0
201009271500,강북구,0.02,0.047,0.2,0.005,24.0,14.0
201009271400,강북구,0.033,0.029,0.3,0.005,32.0,18.0
201009271300,강북구,0.039,0.023,0.4,0.006,37.0,18.0
201009271200,강북구,0.033,0.021,0.4,0.005,34.0,23.0
201009271100,강북구,0.032,0.015,0.4,0.005,41.0,22.0
