MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201105112300,강남구,0.057,0.007,0.5,0.002,12.0,0.0
201105112200,강남구,0.037,0.024,0.4,0.001,12.0,0.0
201105112100,강남구,0.032,0.027,0.4,0.002,16.0,0.0
201105112000,강남구,0.05,0.015,0.6,0.002,14.0,0.0
201105111900,강남구,0.041,0.023,0.4,0.002,13.0,0.0
201105111800,강남구,0.04,0.024,0.5,0.002,14.0,0.0
201105111700,강남구,0.034,0.026,0.4,0.002,15.0,0.0
201105111600,강남구,0.038,0.024,0.4,0.002,11.0,0.0
201105111500,강남구,0.047,0.02,0.5,0.002,14.0,0.0
201105111400,강남구,0.029,0.035,0.4,0.002,14.0,0.0
201105111300,강남구,0.024,0.036,0.4,0.002,7.0,0.0
201105111200,강남구,0.034,0.023,0.4,0.002,6.0,0.0
201105111100,강남구,0.047,0.012,0.5,0.002,10.0,0.0
201105111000,강남구,0.05,0.011,0.5,0.002,12.0,0.0
201105110900,강남구,0.054,0.01,0.4,0.002,8.0,0.0
201105110800,강남구,0.059,0.006,0.4,0.002,12.0,0.0
201105110700,강남구,0.043,0.014,0.4,0.002,10.0,0.0
201105110600,강남구,0.025,0.027,0.3,0.002,8.0,0.0
201105110500,강남구,0.009,0.038,0.3,0.001,10.0,0.0
201105110400,강남구,0.008,0.037,0.3,0.001,10.0,0.0
201105110300,강남구,0.008,0.036,0.3,0.002,17.0,0.0
201105110200,강남구,0.012,0.032,0.3,0.002,22.0,0.0
201105110100,강남구,0.02,0.027,0.3,0.002,14.0,0.0
201105110000,강남구,0.029,0.019,0.4,0.002,23.0,0.0
201105112300,강동구,0.02,0.036,0.3,0.003,7.0,1.0
201105112200,강동구,0.018,0.037,0.3,0.004,5.0,4.0
201105112100,강동구,0.018,0.038,0.3,0.004,8.0,0.0
201105112000,강동구,0.015,0.041,0.3,0.004,6.0,5.0
201105111900,강동구,0.014,0.042,0.3,0.004,10.0,3.0
201105111800,강동구,0.011,0.046,0.3,0.003,9.0,1.0
201105111700,강동구,0.012,0.045,0.3,0.004,8.0,1.0
201105111600,강동구,0.012,0.046,0.3,0.003,11.0,4.0
201105111500,강동구,0.011,0.046,0.3,0.004,9.0,4.0
201105111400,강동구,0.011,0.046,0.3,0.004,12.0,4.0
201105111300,강동구,0.007,0.049,0.3,0.004,8.0,0.0
201105111200,강동구,0.01,0.042,0.4,0.004,8.0,3.0
201105111100,강동구,0.017,0.031,0.4,0.004,7.0,3.0
201105111000,강동구,0.022,0.027,0.4,0.004,3.0,7.0
201105110900,강동구,0.021,0.029,0.4,0.004,11.0,2.0
201105110800,강동구,0.02,0.031,0.3,0.004,5.0,9.0
201105110700,강동구,0.016,0.036,0.3,0.004,4.0,0.0
201105110600,강동구,0.009,0.042,0.3,0.003,9.0,5.0
201105110500,강동구,0.007,0.043,0.3,0.004,7.0,3.0
201105110400,강동구,0.007,0.043,0.3,0.005,8.0,4.0
201105110300,강동구,0.006,0.041,0.3,0.003,18.0,5.0
201105110200,강동구,0.009,0.036,0.3,0.004,15.0,9.0
201105110100,강동구,0.009,0.037,0.3,0.004,11.0,5.0
201105110000,강동구,0.011,0.035,0.4,0.003,15.0,9.0
201105112300,강북구,0.027,0.03,0.2,0.005,11.0,10.0
201105112200,강북구,0.02,0.036,0.2,0.006,8.0,8.0
201105112100,강북구,0.018,0.038,0.2,0.006,9.0,5.0
201105112000,강북구,0.021,0.035,0.2,0.005,10.0,6.0
201105111900,강북구,0.018,0.038,0.2,0.006,7.0,6.0
201105111800,강북구,0.019,0.037,0.3,0.006,12.0,11.0
201105111700,강북구,0.014,0.042,0.2,0.006,14.0,3.0
201105111600,강북구,0.016,0.04,0.2,0.007,10.0,10.0
201105111500,강북구,0.018,0.039,0.2,0.006,10.0,14.0
201105111400,강북구,0.013,0.043,0.2,0.005,7.0,11.0
201105111300,강북구,0.012,0.044,0.1,0.006,16.0,11.0
201105111200,강북구,0.017,0.035,0.2,0.007,9.0,6.0
201105111100,강북구,0.027,0.026,0.2,0.006,0.0,2.0
201105111000,강북구,0.042,0.013,0.5,0.006,22.0,13.0
201105110900,강북구,0.047,0.008,0.4,0.006,15.0,13.0
201105110800,강북구,0.049,0.009,0.4,0.007,16.0,11.0
201105110700,강북구,0.051,0.003,0.5,0.006,16.0,12.0
201105110600,강북구,0.026,0.017,0.4,0.005,13.0,10.0
201105110500,강북구,0.011,0.032,0.2,0.006,12.0,16.0
201105110400,강북구,0.01,0.032,0.2,0.006,12.0,14.0
201105110300,강북구,0.011,0.033,0.2,0.006,16.0,11.0
201105110200,강북구,0.017,0.023,0.3,0.006,17.0,15.0
201105110100,강북구,0.03,0.01,0.4,0.006,21.0,19.0
201105110000,강북구,0.043,0.002,0.5,0.006,22.0,17.0
201105112300,강서구,0.034,0.027,0.3,0.003,12.0,4.0
201105112200,강서구,0.029,0.031,0.3,0.003,12.0,10.0
201105112100,강서구,0.027,0.033,0.3,0.004,15.0,11.0
201105112000,강서구,0.028,0.032,0.3,0.003,2.0,1.0
201105111900,강서구,0.024,0.037,0.3,0.003,13.0,5.0
201105111800,강서구,0.026,0.035,0.3,0.002,15.0,8.0
201105111700,강서구,0.021,0.041,0.2,0.003,16.0,12.0
201105111600,강서구,0.029,0.034,0.2,0.003,8.0,1.0
201105111500,강서구,0.033,0.03,0.3,0.003,8.0,3.0
201105111400,강서구,0.027,0.035,0.3,0.003,3.0,2.0
201105111300,강서구,0.017,0.04,0.3,0.003,6.0,2.0
201105111200,강서구,0.023,0.033,0.3,0.003,0.0,1.0
201105111100,강서구,0.038,0.021,0.3,0.003,8.0,3.0
201105111000,강서구,0.051,0.012,0.4,0.003,7.0,6.0
201105110900,강서구,0.052,0.007,0.5,0.003,19.0,11.0
201105110800,강서구,0.049,0.008,0.4,0.003,8.0,5.0
201105110700,강서구,0.03,0.025,0.3,0.003,14.0,8.0
201105110600,강서구,0.02,0.023,0.3,0.004,14.0,10.0
201105110500,강서구,0.012,0.032,0.3,0.003,14.0,9.0
201105110400,강서구,0.009,0.039,0.2,0.003,14.0,5.0
201105110300,강서구,0.01,0.036,0.2,0.003,15.0,12.0
201105110200,강서구,0.02,0.025,0.3,0.003,22.0,11.0
201105110100,강서구,0.028,0.022,0.3,0.003,18.0,6.0
201105110000,강서구,0.028,0.025,0.3,0.003,15.0,9.0
201105112300,관악구,0.048,0.01,0.5,0.002,13.0,8.0
201105112200,관악구,0.043,0.015,0.5,0.002,15.0,9.0
201105112100,관악구,0.039,0.018,0.5,0.002,20.0,4.0
201105112000,관악구,0.03,0.026,0.4,0.002,11.0,6.0
201105111900,관악구,0.027,0.029,0.4,0.002,15.0,5.0
201105111800,관악구,0.029,0.028,0.4,0.002,15.0,6.0
201105111700,관악구,0.026,0.032,0.4,0.002,9.0,2.0
201105111600,관악구,0.027,0.031,0.4,0.002,15.0,5.0
201105111500,관악구,0.027,0.031,0.3,0.002,13.0,5.0
201105111400,관악구,0.031,0.028,0.4,0.002,12.0,5.0
201105111300,관악구,0.02,0.037,0.5,0.002,9.0,2.0
201105111200,관악구,0.031,0.024,0.5,0.002,6.0,0.0
201105111100,관악구,0.037,0.019,0.4,0.002,12.0,6.0
201105111000,관악구,0.041,0.017,0.5,0.002,11.0,4.0
201105110900,관악구,0.05,0.009,0.6,0.002,14.0,4.0
201105110800,관악구,0.045,0.013,0.4,0.002,5.0,6.0
201105110700,관악구,0.034,0.02,0.5,0.002,8.0,2.0
201105110600,관악구,0.017,0.033,0.4,0.002,12.0,6.0
201105110500,관악구,0.011,0.038,0.3,0.002,10.0,6.0
201105110400,관악구,0.007,0.041,0.3,0.002,14.0,9.0
201105110300,관악구,0.009,0.038,0.3,0.002,16.0,8.0
201105110200,관악구,0.015,0.032,0.4,0.002,23.0,11.0
201105110100,관악구,0.022,0.025,0.5,0.002,25.0,11.0
201105110000,관악구,0.031,0.018,0.5,0.002,23.0,12.0
201105112300,광진구,0.017,0.039,0.4,0.001,6.0,3.0
201105112200,광진구,0.018,0.04,0.4,0.001,6.0,4.0
201105112100,광진구,0.021,0.034,0.4,0.001,3.0,2.0
201105112000,광진구,0.016,0.042,0.4,0.001,6.0,3.0
201105111900,광진구,0.014,0.045,0.4,0.001,9.0,2.0
201105111800,광진구,0.014,0.046,0.4,0.001,8.0,2.0
201105111700,광진구,0.014,0.047,0.4,0.001,14.0,2.0
201105111600,광진구,0.015,0.046,0.4,0.001,10.0,3.0
201105111500,광진구,0.014,0.046,0.4,0.001,8.0,1.0
201105111400,광진구,0.013,0.048,0.4,0.001,14.0,6.0
201105111300,광진구,0.013,0.049,0.4,0.002,9.0,2.0
201105111200,광진구,0.017,0.042,0.5,0.002,4.0,3.0
201105111100,광진구,0.02,0.036,0.5,0.001,4.0,2.0
201105111000,광진구,0.025,0.029,0.6,0.001,11.0,3.0
201105110900,광진구,0.023,0.029,0.5,0.001,3.0,5.0
201105110800,광진구,0.019,0.035,0.4,0.001,6.0,1.0
201105110700,광진구,0.014,0.04,0.4,0.001,5.0,3.0
201105110600,광진구,0.011,0.046,0.4,0.001,9.0,5.0
201105110500,광진구,0.009,0.048,0.4,0.001,8.0,4.0
201105110400,광진구,0.009,0.046,0.4,0.001,11.0,5.0
201105110300,광진구,0.009,0.044,0.4,0.001,14.0,6.0
201105110200,광진구,0.013,0.038,0.4,0.001,20.0,7.0
201105110100,광진구,0.014,0.035,0.4,0.001,16.0,7.0
201105110000,광진구,0.012,0.039,0.4,0.002,18.0,9.0
201105112300,구로구,0.039,0.014,0.5,0.002,10.0,6.0
201105112200,구로구,0.038,0.015,0.5,0.002,15.0,5.0
201105112100,구로구,0.032,0.02,0.4,0.002,11.0,12.0
201105112000,구로구,0.023,0.03,0.4,0.002,14.0,4.0
201105111900,구로구,0.023,0.031,0.4,0.002,14.0,2.0
201105111800,구로구,0.024,0.031,0.4,0.002,11.0,9.0
201105111700,구로구,0.02,0.036,0.3,0.002,16.0,3.0
201105111600,구로구,0.02,0.036,0.3,0.002,6.0,6.0
201105111500,구로구,0.023,0.033,0.3,0.002,15.0,2.0
201105111400,구로구,0.024,0.032,0.4,0.002,11.0,6.0
201105111300,구로구,0.018,0.038,0.3,0.002,10.0,6.0
201105111200,구로구,0.028,0.025,0.4,0.002,4.0,1.0
201105111100,구로구,0.031,0.022,0.4,0.002,10.0,5.0
201105111000,구로구,0.039,0.016,0.5,0.002,11.0,10.0
201105110900,구로구,0.043,0.012,0.5,0.002,12.0,4.0
201105110800,구로구,0.036,0.016,0.4,0.002,6.0,9.0
201105110700,구로구,0.029,0.021,0.4,0.002,9.0,2.0
201105110600,구로구,0.014,0.035,0.3,0.002,10.0,6.0
201105110500,구로구,0.01,0.038,0.3,0.002,6.0,2.0
201105110400,구로구,0.008,0.04,0.3,0.002,10.0,6.0
201105110300,구로구,0.011,0.036,0.3,0.002,20.0,4.0
201105110200,구로구,0.016,0.03,0.4,0.002,21.0,10.0
201105110100,구로구,0.018,0.028,0.4,0.002,18.0,9.0
201105110000,구로구,0.024,0.023,0.4,0.002,20.0,8.0
201105112300,금천구,0.016,0.036,0.2,0.004,11.0,5.0
201105112200,금천구,0.014,0.037,0.2,0.004,9.0,6.0
201105112100,금천구,0.017,0.033,0.3,0.004,15.0,14.0
201105112000,금천구,0.023,0.029,0.3,0.004,11.0,6.0
201105111900,금천구,0.022,0.031,0.3,0.004,17.0,7.0
201105111800,금천구,0.012,0.04,0.2,0.004,15.0,8.0
201105111700,금천구,0.013,0.039,0.2,0.005,9.0,6.0
201105111600,금천구,0.018,0.034,0.2,0.005,14.0,6.0
201105111500,금천구,0.011,0.043,0.2,0.004,12.0,7.0
201105111400,금천구,0.01,0.042,0.2,0.005,12.0,7.0
201105111300,금천구,0.009,0.04,0.2,0.004,10.0,9.0
