MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201510162300,강남구,0.078,0.002,0.8,0.005,68.0,42.0
201510162200,강남구,0.075,0.004,0.7,0.006,68.0,43.0
201510162100,강남구,0.079,0.006,0.7,0.007,64.0,39.0
201510162000,강남구,0.076,0.012,0.7,0.006,60.0,45.0
201510161900,강남구,0.078,0.022,0.6,0.006,65.0,41.0
201510161800,강남구,0.068,0.035,0.5,0.006,70.0,34.0
201510161700,강남구,0.058,0.063,0.5,0.006,66.0,31.0
201510161600,강남구,0.045,0.07,0.5,0.006,54.0,22.0
201510161500,강남구,0.042,0.047,0.5,0.006,54.0,19.0
201510161400,강남구,0.051,0.039,0.6,0.006,55.0,25.0
201510161300,강남구,0.048,0.041,0.6,0.008,58.0,27.0
201510161200,강남구,0.072,0.02,0.8,0.008,95.0,60.0
201510161100,강남구,0.076,0.011,0.9,0.008,79.0,63.0
201510161000,강남구,0.065,0.009,0.8,0.008,68.0,47.0
201510160900,강남구,0.053,0.003,0.7,0.006,54.0,34.0
201510160800,강남구,0.048,0.002,0.7,0.005,51.0,34.0
201510160700,강남구,0.05,0.002,0.7,0.006,58.0,33.0
201510160600,강남구,0.051,0.002,0.7,0.005,54.0,33.0
201510160500,강남구,0.058,0.002,0.7,0.006,61.0,39.0
201510160400,강남구,0.067,0.002,0.8,0.006,60.0,39.0
201510160300,강남구,0.07,0.002,0.8,0.006,65.0,36.0
201510160200,강남구,0.076,0.003,0.9,0.006,65.0,35.0
201510160100,강남구,0.082,0.003,0.9,0.007,65.0,31.0
201510160000,강남구,0.093,0.003,1.0,0.008,83.0,61.0
201510162300,강동구,0.084,0.003,1.1,0.006,73.0,41.0
201510162200,강동구,0.076,0.002,0.8,0.004,67.0,35.0
201510162100,강동구,0.08,0.002,0.8,0.005,61.0,38.0
201510162000,강동구,0.077,0.006,0.8,0.005,76.0,39.0
201510161900,강동구,0.07,0.014,0.7,0.004,64.0,31.0
201510161800,강동구,0.054,0.032,0.6,0.005,80.0,38.0
201510161700,강동구,0.053,0.035,0.6,0.005,74.0,36.0
201510161600,강동구,0.049,0.03,0.6,0.006,59.0,34.0
201510161500,강동구,0.056,0.028,0.7,0.006,51.0,38.0
201510161400,강동구,0.041,0.036,0.6,0.006,49.0,33.0
