MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201903150700,강남구,0.024,0.02,0.4,0.005,71.0,45.0
201903150600,강남구,0.019,0.026,0.4,0.005,76.0,49.0
201903150500,강남구,0.019,0.026,0.4,0.005,78.0,47.0
201903150400,강남구,0.017,0.028,0.4,0.005,69.0,42.0
201903150300,강남구,0.016,0.03,0.4,0.005,66.0,38.0
201903150200,강남구,0.014,0.033,0.4,0.006,63.0,36.0
201903150100,강남구,0.019,0.03,0.4,0.004,69.0,35.0
201903150000,강남구,0.016,0.033,0.3,0.005,83.0,31.0
201903151500,강남구,0.022,0.028,0.3,0.005,35.0,18.0
201903151400,강남구,0.018,0.031,0.3,0.006,40.0,24.0
201903151300,강남구,0.025,0.025,0.4,0.007,69.0,46.0
201903151200,강남구,0.036,0.018,0.5,0.006,76.0,53.0
201903151100,강남구,0.034,0.017,0.5,0.007,79.0,56.0
201903151000,강남구,0.041,0.011,0.5,0.006,77.0,53.0
201903150900,강남구,0.037,0.011,0.5,0.006,76.0,50.0
201903150800,강남구,0.039,0.008,0.4,0.005,72.0,47.0
201903152300,강남구,0.028,0.018,0.3,0.005,7.0,4.0
201903152200,강남구,0.023,0.023,0.3,0.006,7.0,7.0
201903152100,강남구,0.032,0.014,0.3,0.004,9.0,8.0
201903152000,강남구,0.034,0.015,0.3,0.005,11.0,11.0
201903151900,강남구,0.036,0.016,0.3,0.005,11.0,10.0
201903151800,강남구,0.022,0.026,0.3,0.006,26.0,17.0
201903151700,강남구,0.027,0.025,0.3,0.006,42.0,21.0
201903151600,강남구,0.03,0.023,0.3,0.006,37.0,19.0
201903150700,강동구,0.045,0.012,0.5,0.003,79.0,46.0
201903150600,강동구,0.034,0.019,0.5,0.004,79.0,45.0
201903150500,강동구,0.029,0.023,0.5,0.004,80.0,42.0
201903150400,강동구,0.027,0.026,0.5,0.004,77.0,43.0
201903150300,강동구,0.023,0.031,0.5,0.004,77.0,41.0
201903150200,강동구,0.022,0.034,0.5,0.004,73.0,39.0
201903150100,강동구,0.021,0.035,0.5,0.004,69.0,37.0
201903150000,강동구,0.027,0.032,0.5,0.004,55.0,28.0
201903151500,강동구,0.019,0.036,0.4,0.004,43.0,19.0
201903151400,강동구,0.028,0.03,0.4,0.003,55.0,33.0
201903151300,강동구,0.029,0.031,0.5,0.005,67.0,36.0
201903151200,강동구,0.029,0.03,0.5,0.003,69.0,42.0
201903151100,강동구,0.021,0.035,0.4,0.003,72.0,40.0
201903151000,강동구,0.031,0.025,0.5,0.004,75.0,46.0
201903150900,강동구,0.042,0.015,0.5,0.004,77.0,47.0
201903150800,강동구,0.05,0.01,0.6,0.004,77.0,45.0
201903152300,강동구,0.033,0.02,0.4,0.003,16.0,13.0
201903152200,강동구,0.033,0.019,0.4,0.003,13.0,9.0
201903152100,강동구,0.035,0.018,0.4,0.003,14.0,9.0
201903152000,강동구,0.035,0.02,0.4,0.003,14.0,11.0
201903151900,강동구,0.035,0.021,0.4,0.003,17.0,11.0
201903151800,강동구,0.02,0.034,0.3,0.003,38.0,21.0
201903151700,강동구,0.022,0.034,0.4,0.004,50.0,27.0
201903151600,강동구,0.025,0.031,0.4,0.004,38.0,21.0
201903150700,강북구,0.025,0.012,0.6,0.002,65.0,33.0
201903150600,강북구,0.023,0.017,0.6,0.002,64.0,32.0
201903150500,강북구,0.02,0.019,0.5,0.002,72.0,36.0
201903150400,강북구,0.018,0.025,0.5,0.002,68.0,35.0
201903150300,강북구,0.016,0.026,0.5,0.002,67.0,34.0
201903150200,강북구,0.018,0.029,0.5,0.002,72.0,35.0
201903150100,강북구,0.014,0.039,0.4,0.003,82.0,40.0
201903150000,강북구,0.025,0.03,0.5,0.003,69.0,33.0
201903151500,강북구,0.018,0.041,0.4,0.003,41.0,17.0
201903151400,강북구,0.027,0.033,0.4,0.003,68.0,34.0
201903151300,강북구,0.037,0.027,0.5,0.004,83.0,40.0
201903151200,강북구,0.037,0.026,0.5,0.003,99.0,53.0
201903151100,강북구,0.04,0.023,0.6,0.003,103.0,56.0
201903151000,강북구,0.052,0.01,0.8,0.003,95.0,54.0
201903150900,강북구,0.043,0.006,0.8,0.002,76.0,42.0
201903150800,강북구,0.033,0.006,0.7,0.002,69.0,35.0
201903152300,강북구,0.022,0.021,0.4,0.002,26.0,14.0
201903152200,강북구,0.022,0.024,0.4,0.002,22.0,13.0
201903152100,강북구,0.024,0.028,0.4,0.002,20.0,10.0
201903152000,강북구,0.021,0.031,0.4,0.002,14.0,6.0
201903151900,강북구,0.022,0.032,0.4,0.002,13.0,6.0
201903151800,강북구,0.016,0.04,0.3,0.002,45.0,19.0
201903151700,강북구,0.026,0.035,0.4,0.003,53.0,26.0
201903151600,강북구,0.022,0.04,0.4,0.003,45.0,18.0
201903150700,강서구,0.04,0.022,0.5,0.004,82.0,43.0
201903150600,강서구,0.035,0.025,0.5,0.003,82.0,42.0
201903150500,강서구,0.034,0.021,0.5,0.003,76.0,41.0
201903150400,강서구,0.036,0.016,0.5,0.003,69.0,38.0
201903150300,강서구,0.03,0.026,0.5,0.004,76.0,33.0
201903150200,강서구,0.028,0.033,0.5,0.004,70.0,31.0
201903150100,강서구,0.022,0.039,0.5,0.006,67.0,31.0
201903150000,강서구,0.026,0.038,0.5,0.006,59.0,25.0
201903151500,강서구,0.02,0.045,0.4,0.005,48.0,19.0
201903151400,강서구,0.023,0.043,0.4,0.005,66.0,30.0
201903151300,강서구,0.029,0.041,0.5,0.006,81.0,40.0
201903151200,강서구,0.042,0.026,0.5,0.004,89.0,51.0
201903151100,강서구,0.05,0.019,0.5,0.004,97.0,53.0
201903151000,강서구,0.051,0.014,0.6,0.004,96.0,53.0
201903150900,강서구,0.051,0.011,0.6,0.003,96.0,52.0
201903150800,강서구,0.046,0.015,0.5,0.004,86.0,47.0
201903152300,강서구,0.032,0.023,0.5,0.005,19.0,16.0
201903152200,강서구,0.041,0.017,0.5,0.004,22.0,14.0
201903152100,강서구,0.048,0.012,0.5,0.003,17.0,12.0
201903152000,강서구,0.036,0.024,0.5,0.005,17.0,13.0
201903151900,강서구,0.027,0.035,0.4,0.005,20.0,11.0
201903151800,강서구,0.034,0.032,0.4,0.005,27.0,14.0
201903151700,강서구,0.02,0.045,0.3,0.003,44.0,21.0
201903151600,강서구,0.018,0.047,0.3,0.004,36.0,12.0
201903150700,관악구,0.04,0.017,0.4,0.006,84.0,50.0
201903150600,관악구,0.024,0.03,0.3,0.006,88.0,50.0
201903150500,관악구,0.02,0.036,0.3,0.006,86.0,53.0
201903150400,관악구,0.016,0.041,0.3,0.006,87.0,55.0
201903150300,관악구,0.02,0.036,0.3,0.006,87.0,48.0
201903150200,관악구,0.02,0.038,0.3,0.006,85.0,49.0
201903150100,관악구,0.022,0.037,0.3,0.006,72.0,38.0
201903150000,관악구,0.021,0.04,0.4,0.006,65.0,32.0
201903151500,관악구,0.013,0.047,0.2,0.007,46.0,17.0
201903151400,관악구,0.016,0.043,0.3,0.007,52.0,24.0
201903151300,관악구,0.022,0.038,0.3,0.008,64.0,38.0
201903151200,관악구,0.031,0.03,0.3,0.007,84.0,48.0
201903151100,관악구,0.038,0.021,0.4,0.007,95.0,60.0
201903151000,관악구,0.039,0.02,0.5,0.006,97.0,61.0
201903150900,관악구,0.041,0.016,0.4,0.006,93.0,63.0
201903150800,관악구,0.048,0.01,0.5,0.006,84.0,55.0
201903152300,관악구,0.035,0.021,0.3,0.006,27.0,26.0
201903152200,관악구,0.047,0.013,0.4,0.006,0.0,26.0
201903152100,관악구,0.052,0.011,0.5,0.006,0.0,0.0
201903152000,관악구,0.047,0.014,0.5,0.006,19.0,19.0
201903151900,관악구,0.035,0.025,0.3,0.006,24.0,13.0
201903151800,관악구,0.021,0.039,0.3,0.006,18.0,13.0
201903151700,관악구,0.013,0.05,0.2,0.006,43.0,20.0
201903151600,관악구,0.01,0.053,0.2,0.007,38.0,16.0
201903150700,광진구,0.047,0.005,1.1,0.005,78.0,46.0
201903150600,광진구,0.028,0.022,1.0,0.005,85.0,53.0
201903150500,광진구,0.024,0.025,1.0,0.005,83.0,45.0
201903150400,광진구,0.024,0.027,1.0,0.005,75.0,43.0
201903150300,광진구,0.02,0.032,1.0,0.004,75.0,43.0
201903150200,광진구,0.02,0.033,1.0,0.005,74.0,38.0
201903150100,광진구,0.021,0.034,1.0,0.004,68.0,40.0
201903150000,광진구,0.022,0.035,1.0,0.004,0.0,0.0
201903151600,광진구,0.027,0.028,0.4,0.004,45.0,27.0
201903151500,광진구,0.02,0.034,0.4,0.004,40.0,23.0
201903151400,광진구,0.026,0.029,0.5,0.004,44.0,23.0
201903151300,광진구,0.0,0.0,0.0,0.0,0.0,0.0
201903151200,광진구,0.028,0.029,1.0,0.006,0.0,0.0
201903151100,광진구,0.026,0.031,1.0,0.005,81.0,54.0
201903151000,광진구,0.03,0.026,1.0,0.005,84.0,54.0
201903150900,광진구,0.039,0.015,1.1,0.005,79.0,53.0
201903150800,광진구,0.044,0.008,1.1,0.005,79.0,46.0
201903152300,광진구,0.029,0.02,0.4,0.003,0.0,20.0
201903152200,광진구,0.022,0.025,0.4,0.003,0.0,14.0
201903152100,광진구,0.031,0.019,0.4,0.003,13.0,13.0
201903152000,광진구,0.032,0.02,0.4,0.003,0.0,13.0
201903151900,광진구,0.033,0.02,0.4,0.003,12.0,0.0
201903151800,광진구,0.02,0.033,0.4,0.003,15.0,10.0
201903151700,광진구,0.027,0.03,0.4,0.004,48.0,25.0
201903150700,구로구,0.03,0.02,0.3,0.004,82.0,48.0
201903150600,구로구,0.025,0.027,0.3,0.005,71.0,42.0
201903150500,구로구,0.02,0.031,0.3,0.004,74.0,40.0
201903150400,구로구,0.013,0.039,0.3,0.004,80.0,44.0
201903150300,구로구,0.016,0.035,0.3,0.004,73.0,40.0
201903150200,구로구,0.017,0.035,0.3,0.004,63.0,28.0
201903150100,구로구,0.019,0.034,0.3,0.005,60.0,27.0
201903150000,구로구,0.017,0.038,0.3,0.005,47.0,24.0
201903151500,구로구,0.013,0.042,0.2,0.006,46.0,18.0
201903151400,구로구,0.019,0.036,0.3,0.006,63.0,26.0
201903151300,구로구,0.025,0.032,0.3,0.007,77.0,38.0
201903151200,구로구,0.032,0.024,0.3,0.006,91.0,52.0
201903151100,구로구,0.035,0.021,0.4,0.006,94.0,56.0
201903151000,구로구,0.037,0.018,0.4,0.005,94.0,58.0
201903150900,구로구,0.039,0.013,0.4,0.004,85.0,53.0
201903150800,구로구,0.045,0.006,0.4,0.004,81.0,53.0
201903152300,구로구,0.031,0.019,0.3,0.004,16.0,12.0
201903152200,구로구,0.042,0.009,0.3,0.004,19.0,16.0
201903152100,구로구,0.036,0.015,0.3,0.004,0.0,13.0
201903152000,구로구,0.027,0.024,0.3,0.004,0.0,16.0
201903151900,구로구,0.025,0.029,0.2,0.004,16.0,12.0
201903151800,구로구,0.02,0.034,0.2,0.004,21.0,10.0
201903151700,구로구,0.013,0.045,0.2,0.005,40.0,15.0
201903151600,구로구,0.011,0.045,0.2,0.005,53.0,13.0
201903150700,금천구,0.052,0.002,0.6,0.003,74.0,37.0
201903150600,금천구,0.031,0.02,0.5,0.003,68.0,34.0
201903150500,금천구,0.024,0.026,0.5,0.003,72.0,36.0
201903150400,금천구,0.019,0.034,0.5,0.003,70.0,38.0
201903150300,금천구,0.021,0.032,0.5,0.003,71.0,36.0
201903150200,금천구,0.02,0.035,0.5,0.003,63.0,31.0
201903150100,금천구,0.024,0.034,0.4,0.003,60.0,29.0
201903150000,금천구,0.024,0.035,0.4,0.004,51.0,25.0
