MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201606272300,강남구,0.032,0.035,0.3,0.005,43.0,28.0
201606272200,강남구,0.036,0.035,0.3,0.006,49.0,35.0
201606272100,강남구,0.045,0.041,0.4,0.007,46.0,15.0
201606272000,강남구,0.052,0.028,0.4,0.008,45.0,26.0
201606271900,강남구,0.051,0.041,0.4,0.008,54.0,31.0
201606271800,강남구,0.04,0.059,0.3,0.005,37.0,22.0
201606271700,강남구,0.037,0.045,0.4,0.006,40.0,25.0
201606271600,강남구,0.045,0.033,0.5,0.007,28.0,20.0
201606271500,강남구,0.041,0.035,0.5,0.008,27.0,17.0
201606271400,강남구,0.039,0.033,0.5,0.007,34.0,19.0
201606271300,강남구,0.045,0.025,0.5,0.006,28.0,23.0
201606271200,강남구,0.039,0.025,0.4,0.006,37.0,17.0
201606271100,강남구,0.049,0.014,0.5,0.007,36.0,21.0
201606271000,강남구,0.051,0.007,0.5,0.006,36.0,18.0
201606270900,강남구,0.047,0.007,0.5,0.006,36.0,23.0
201606270800,강남구,0.037,0.013,0.4,0.004,30.0,23.0
201606270700,강남구,0.041,0.005,0.4,0.004,29.0,18.0
201606270600,강남구,0.03,0.014,0.3,0.005,32.0,21.0
201606270500,강남구,0.026,0.022,0.3,0.005,27.0,25.0
201606270400,강남구,0.013,0.039,0.3,0.004,26.0,14.0
201606270300,강남구,0.016,0.037,0.3,0.005,30.0,24.0
201606270200,강남구,0.016,0.038,0.3,0.004,32.0,22.0
201606270100,강남구,0.011,0.051,0.2,0.005,28.0,18.0
201606270000,강남구,0.013,0.048,0.3,0.005,30.0,23.0
201606272300,강동구,0.044,0.025,0.4,0.005,41.0,23.0
201606272200,강동구,0.041,0.029,0.4,0.006,38.0,23.0
201606272100,강동구,0.046,0.03,0.5,0.007,38.0,25.0
201606272000,강동구,0.055,0.027,0.5,0.007,47.0,28.0
201606271900,강동구,0.053,0.035,0.5,0.005,48.0,25.0
201606271800,강동구,0.046,0.042,0.5,0.005,51.0,24.0
201606271700,강동구,0.043,0.035,0.5,0.006,36.0,23.0
201606271600,강동구,0.039,0.04,0.5,0.006,42.0,23.0
201606271500,강동구,0.036,0.038,0.5,0.006,36.0,18.0
201606271400,강동구,0.033,0.036,0.5,0.005,36.0,19.0
201606271300,강동구,0.034,0.032,0.4,0.006,42.0,24.0
201606271200,강동구,0.035,0.027,0.4,0.006,38.0,21.0
201606271100,강동구,0.031,0.025,0.4,0.005,39.0,15.0
201606271000,강동구,0.046,0.011,0.4,0.004,46.0,20.0
201606270900,강동구,0.044,0.008,0.5,0.004,37.0,14.0
201606270800,강동구,0.045,0.005,0.4,0.004,35.0,25.0
201606270700,강동구,0.04,0.005,0.4,0.004,37.0,19.0
201606270600,강동구,0.032,0.012,0.4,0.003,28.0,23.0
201606270500,강동구,0.032,0.013,0.4,0.004,32.0,19.0
201606270400,강동구,0.03,0.017,0.4,0.003,29.0,27.0
201606270300,강동구,0.032,0.018,0.4,0.005,36.0,24.0
201606270200,강동구,0.02,0.032,0.4,0.003,35.0,22.0
201606270100,강동구,0.028,0.028,0.4,0.004,36.0,19.0
201606270000,강동구,0.026,0.032,0.4,0.004,25.0,14.0
201606272300,강북구,0.023,0.054,0.4,0.004,32.0,22.0
201606272200,강북구,0.035,0.048,0.4,0.005,31.0,22.0
201606272100,강북구,0.031,0.058,0.4,0.006,39.0,22.0
201606272000,강북구,0.049,0.045,0.5,0.007,51.0,28.0
201606271900,강북구,0.058,0.043,0.5,0.007,41.0,24.0
201606271800,강북구,0.049,0.043,0.5,0.006,29.0,17.0
201606271700,강북구,0.05,0.042,0.5,0.005,32.0,18.0
201606271600,강북구,0.041,0.047,0.5,0.005,32.0,19.0
201606271500,강북구,0.038,0.047,0.5,0.005,28.0,17.0
201606271400,강북구,0.042,0.037,0.5,0.006,32.0,20.0
201606271300,강북구,0.04,0.036,0.5,0.006,32.0,18.0
201606271200,강북구,0.043,0.03,0.5,0.006,31.0,18.0
201606271100,강북구,0.039,0.024,0.5,0.005,40.0,20.0
