MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201103012300,강남구,0.025,0.019,0.2,0.004,27.0,14.0
201103012200,강남구,0.024,0.02,0.2,0.004,31.0,20.0
201103012100,강남구,0.029,0.017,0.2,0.004,34.0,25.0
201103012000,강남구,0.041,0.012,0.3,0.004,39.0,19.0
201103011900,강남구,0.047,0.01,0.4,0.004,46.0,26.0
201103011800,강남구,0.039,0.014,0.3,0.005,55.0,29.0
201103011700,강남구,0.032,0.017,0.3,0.005,52.0,50.0
201103011600,강남구,0.027,0.02,0.3,0.005,52.0,37.0
201103011500,강남구,0.029,0.016,0.4,0.005,54.0,33.0
201103011400,강남구,0.032,0.012,0.5,0.004,61.0,39.0
201103011300,강남구,0.032,0.012,0.4,0.004,50.0,29.0
201103011200,강남구,0.035,0.009,0.4,0.004,40.0,28.0
201103011100,강남구,0.037,0.007,0.4,0.003,28.0,17.0
201103011000,강남구,0.038,0.006,0.4,0.003,25.0,19.0
201103010900,강남구,0.035,0.006,0.3,0.003,20.0,11.0
201103010800,강남구,0.033,0.006,0.3,0.003,14.0,13.0
201103010700,강남구,0.032,0.007,0.2,0.003,15.0,8.0
201103010600,강남구,0.024,0.011,0.2,0.003,14.0,12.0
201103010500,강남구,0.02,0.013,0.2,0.003,14.0,8.0
201103010400,강남구,0.022,0.011,0.2,0.003,17.0,14.0
201103010300,강남구,0.028,0.007,0.3,0.003,19.0,13.0
201103010200,강남구,0.038,0.004,0.3,0.003,15.0,16.0
201103010100,강남구,0.044,0.003,0.3,0.003,20.0,12.0
201103010000,강남구,0.046,0.003,0.3,0.003,20.0,11.0
201103012300,강동구,0.022,0.029,0.5,0.004,20.0,12.0
201103012200,강동구,0.021,0.032,0.5,0.005,21.0,18.0
201103012100,강동구,0.02,0.034,0.5,0.005,23.0,11.0
201103012000,강동구,0.024,0.031,0.6,0.005,35.0,22.0
201103011900,강동구,0.032,0.022,0.6,0.006,43.0,24.0
201103011800,강동구,0.023,0.034,0.6,0.006,45.0,32.0
201103011700,강동구,0.018,0.04,0.6,0.006,47.0,29.0
201103011600,강동구,0.016,0.036,0.7,0.005,50.0,34.0
201103011500,강동구,0.016,0.033,0.7,0.005,46.0,29.0
201103011400,강동구,0.017,0.03,0.7,0.004,41.0,28.0
201103011300,강동구,0.024,0.018,0.7,0.005,38.0,24.0
201103011200,강동구,0.029,0.011,0.6,0.004,26.0,18.0
201103011100,강동구,0.024,0.016,0.6,0.004,18.0,13.0
201103011000,강동구,0.029,0.009,0.6,0.005,18.0,12.0
201103010900,강동구,0.034,0.003,0.5,0.005,10.0,8.0
201103010800,강동구,0.033,0.004,0.5,0.004,12.0,8.0
201103010700,강동구,0.018,0.022,0.4,0.004,12.0,8.0
201103010600,강동구,0.012,0.029,0.4,0.004,9.0,7.0
201103010500,강동구,0.013,0.024,0.5,0.004,17.0,12.0
