기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	신촌/홍대주변	강남역
2016	전체	전체	78	81.1	62.3	29	38.6	43.1	28	24.3	23.9	33.2	27.1
2016	성별	남성	75.5	71.9	56.8	28.1	39.8	39.4	25.2	26.8	21.9	23.6	27.2
2016	성별	여성	79.8	87.2	66	29.6	37.7	45.5	29.9	22.6	25.2	39.7	27.1
2016	연령별	15~20세	88.7	91.7	64.1	29	34	51.9	28.1	26.6	34.6	48.7	37.7
2016	연령별	21~30세	78.2	86.4	66.5	28.8	37.8	50.3	32.1	25.2	25.5	42.6	29.6
2016	연령별	31~40세	78.2	81.5	64.5	30	41	39.3	25.1	23.3	24.4	28.6	24.2
2016	연령별	41~50세	77.4	69.3	55	28.1	36.8	31.5	22.3	20.8	17.5	17.6	24.6
2016	연령별	51~60세	69	63	45.8	26.4	41.3	30.6	25.3	25.1	15.2	13.6	19.6
2016	연령별	61세이상	76	60.9	41.3	32.8	43.1	26.8	26.7	31.8	13.4	8.5	18.5
2016	방한목적	여가/위락/휴가	73.8	89.1	67.3	30.8	43.4	49.5	31.1	26.4	26	35.6	23.5
2016	방한목적	뷰티 건강 및 치료	90.5	75.9	67.6	23	31.2	25.3	12.7	15.3	25.2	20.2	40.3
2016	방한목적	종교 및 순례	79.7	65.5	45.7	25.6	35.3	25	15.8	23.1	25.6	19.3	13.2
2016	방한목적	쇼핑	89	94	76.9	28.9	24.8	38.9	22.4	14.9	28.5	38	23.8
2016	방한목적	친구/친지 방문	91.6	64.3	48.4	29.6	44.3	40.2	31.1	28.3	17.4	32.5	35.6
2016	방한목적	사업/전문 활동	73.7	44.9	32.8	16.7	26.6	18.6	13.9	16.8	8	8.7	30.7
2016	방한목적	교육	94.1	88.5	74	45.2	49.1	61.5	49.3	43.7	41.9	68.9	53.7
2016	방한목적	기타	91.6	16.7	6.4	9.1	36.7	20.5	12.4	2	44.5	14.9	18.4
2016	방한횟수	1회	77.2	83.8	64.7	29.6	48.9	52.1	30.7	31.2	26.7	34.2	25.3
2016	방한횟수	2회	78.5	81.5	63.2	32.4	30.8	39.3	28	19.8	23.3	34.5	29.2
2016	방한횟수	3회	78.3	79.8	61.5	30.3	26	34.3	25.4	16	19.1	40	33.4
2016	방한횟수	4회 이상	80.1	72.8	54.9	24.5	15.8	20.6	20.7	8.6	17	27	29.4
