MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201003292300,강남구,0.086,0.002,0.7,0.007,89.0,50.0
201003292200,강남구,0.075,0.006,0.6,0.007,89.0,53.0
201003292100,강남구,0.076,0.009,0.6,0.007,85.0,42.0
201003292000,강남구,0.077,0.006,0.6,0.006,83.0,37.0
201003291900,강남구,0.068,0.014,0.5,0.007,77.0,31.0
201003291800,강남구,0.055,0.024,0.5,0.007,80.0,31.0
201003291700,강남구,0.042,0.033,0.4,0.007,71.0,25.0
201003291600,강남구,0.032,0.04,0.4,0.006,71.0,27.0
201003291500,강남구,0.033,0.039,0.4,0.006,63.0,31.0
201003291400,강남구,0.032,0.039,0.4,0.006,59.0,29.0
201003291300,강남구,0.037,0.033,0.4,0.007,63.0,35.0
201003291200,강남구,0.041,0.027,0.5,0.007,47.0,17.0
201003291100,강남구,0.044,0.024,0.5,0.006,52.0,18.0
201003291000,강남구,0.051,0.017,0.5,0.006,45.0,20.0
201003290900,강남구,0.06,0.011,0.5,0.006,58.0,26.0
201003290800,강남구,0.079,0.003,0.9,0.006,59.0,28.0
201003290700,강남구,0.062,0.003,0.7,0.005,47.0,23.0
201003290600,강남구,0.045,0.012,0.6,0.005,52.0,28.0
201003290500,강남구,0.032,0.022,0.5,0.005,44.0,20.0
201003290400,강남구,0.018,0.035,0.3,0.005,41.0,21.0
201003290300,강남구,0.017,0.037,0.3,0.005,42.0,22.0
201003290200,강남구,0.024,0.032,0.4,0.005,44.0,22.0
201003290100,강남구,0.026,0.03,0.4,0.005,46.0,23.0
201003290000,강남구,0.031,0.029,0.4,0.005,50.0,25.0
201003292300,강동구,0.087,0.003,0.4,0.009,92.0,35.0
201003292200,강동구,0.083,0.003,0.4,0.009,96.0,34.0
201003292100,강동구,0.08,0.003,0.4,0.008,90.0,28.0
201003292000,강동구,0.074,0.007,0.3,0.009,79.0,30.0
201003291900,강동구,0.062,0.019,0.3,0.008,79.0,31.0
201003291800,강동구,0.041,0.038,0.3,0.007,71.0,25.0
201003291700,강동구,0.028,0.049,0.2,0.007,66.0,27.0
201003291600,강동구,0.026,0.051,0.2,0.007,69.0,26.0
201003291500,강동구,0.027,0.05,0.2,0.007,59.0,34.0
201003291400,강동구,0.027,0.045,0.2,0.007,56.0,21.0
201003291300,강동구,0.033,0.036,0.2,0.007,52.0,24.0
201003291200,강동구,0.046,0.025,0.3,0.008,60.0,30.0
201003291100,강동구,0.049,0.021,0.3,0.008,56.0,26.0
201003291000,강동구,0.049,0.017,0.3,0.007,63.0,31.0
201003290900,강동구,0.055,0.01,0.4,0.007,57.0,28.0
201003290800,강동구,0.052,0.006,0.4,0.006,54.0,23.0
201003290700,강동구,0.049,0.004,0.4,0.006,58.0,29.0
201003290600,강동구,0.046,0.01,0.3,0.006,49.0,21.0
201003290500,강동구,0.034,0.022,0.3,0.007,49.0,24.0
201003290400,강동구,0.02,0.037,0.2,0.006,40.0,15.0
201003290300,강동구,0.01,0.048,0.2,0.006,35.0,18.0
201003290200,강동구,0.013,0.047,0.2,0.006,53.0,21.0
201003290100,강동구,0.019,0.041,0.2,0.007,50.0,28.0
201003290000,강동구,0.03,0.034,0.2,0.007,60.0,20.0
201003292300,강북구,0.085,0.005,0.8,0.008,64.0,40.0
201003292200,강북구,0.069,0.018,0.6,0.008,59.0,39.0
201003292100,강북구,0.052,0.032,0.5,0.007,56.0,34.0
201003292000,강북구,0.046,0.037,0.5,0.008,64.0,33.0
201003291900,강북구,0.041,0.042,0.4,0.008,62.0,32.0
201003291800,강북구,0.03,0.051,0.4,0.008,66.0,25.0
201003291700,강북구,0.022,0.059,0.3,0.007,52.0,24.0
201003291600,강북구,0.021,0.061,0.3,0.006,54.0,33.0
201003291500,강북구,0.015,0.062,0.3,0.007,0.0,10.0
201003291400,강북구,0.018,0.057,0.3,0.007,48.0,32.0
201003291300,강북구,0.022,0.051,0.3,0.007,48.0,27.0
201003291200,강북구,0.053,0.023,0.6,0.009,63.0,32.0
201003291100,강북구,0.052,0.021,0.6,0.007,61.0,31.0
201003291000,강북구,0.05,0.02,0.6,0.007,50.0,24.0
201003290900,강북구,0.054,0.015,0.6,0.008,50.0,27.0
201003290800,강북구,0.057,0.01,0.6,0.008,47.0,30.0
201003290700,강북구,0.064,0.005,0.6,0.007,41.0,22.0
201003290600,강북구,0.054,0.011,0.6,0.007,42.0,23.0
201003290500,강북구,0.041,0.022,0.5,0.006,37.0,21.0
