MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201304250700,강남구,0.023,0.04,0.6,0.008,100.0,47.0
201304250600,강남구,0.018,0.047,0.5,0.01,82.0,51.0
201304250500,강남구,0.018,0.051,0.5,0.011,92.0,53.0
201304250400,강남구,0.021,0.045,0.5,0.011,89.0,59.0
201304250300,강남구,0.022,0.044,0.6,0.011,86.0,58.0
201304250200,강남구,0.021,0.048,0.6,0.01,71.0,55.0
201304250100,강남구,0.029,0.032,0.6,0.007,58.0,44.0
201304250000,강남구,0.03,0.036,0.6,0.007,43.0,32.0
201304251500,강남구,0.037,0.042,0.5,0.006,24.0,20.0
201304251400,강남구,0.04,0.037,0.5,0.007,14.0,0.0
201304251300,강남구,0.031,0.039,0.5,0.008,13.0,13.0
201304251200,강남구,0.042,0.027,0.6,0.007,36.0,34.0
201304251100,강남구,0.052,0.014,0.8,0.008,88.0,57.0
201304251000,강남구,0.053,0.014,0.8,0.008,113.0,71.0
201304250900,강남구,0.046,0.018,0.7,0.009,116.0,53.0
201304250800,강남구,0.035,0.029,0.6,0.008,117.0,53.0
201304252300,강남구,0.025,0.045,0.6,0.005,64.0,32.0
201304252200,강남구,0.026,0.042,0.6,0.004,65.0,33.0
201304252100,강남구,0.028,0.04,0.7,0.005,64.0,29.0
201304252000,강남구,0.03,0.039,0.7,0.004,65.0,35.0
201304251900,강남구,0.026,0.049,0.6,0.004,58.0,29.0
201304251800,강남구,0.027,0.052,0.5,0.005,30.0,22.0
201304251700,강남구,0.033,0.047,0.5,0.007,14.0,7.0
201304251600,강남구,0.038,0.042,0.5,0.006,25.0,20.0
201304250700,강동구,0.03,0.029,0.7,0.008,78.0,46.0
201304250600,강동구,0.025,0.033,0.7,0.008,82.0,51.0
201304250500,강동구,0.024,0.035,0.7,0.008,87.0,50.0
201304250400,강동구,0.025,0.033,0.7,0.008,87.0,57.0
201304250300,강동구,0.022,0.038,0.7,0.007,89.0,57.0
201304250200,강동구,0.023,0.036,0.7,0.007,57.0,34.0
201304250100,강동구,0.032,0.024,0.7,0.006,46.0,32.0
201304250000,강동구,0.037,0.023,0.7,0.005,48.0,31.0
201304251500,강동구,0.036,0.029,0.6,0.006,22.0,10.0
201304251400,강동구,0.037,0.028,0.6,0.006,22.0,11.0
201304251300,강동구,0.037,0.023,0.6,0.005,23.0,17.0
201304251200,강동구,0.049,0.013,0.8,0.005,60.0,31.0
201304251100,강동구,0.055,0.008,0.9,0.007,107.0,49.0
201304251000,강동구,0.054,0.007,0.9,0.007,125.0,70.0
201304250900,강동구,0.043,0.016,0.8,0.007,99.0,53.0
201304250800,강동구,0.041,0.019,0.8,0.007,94.0,58.0
201304252300,강동구,0.03,0.031,0.8,0.004,67.0,38.0
201304252200,강동구,0.035,0.025,0.8,0.003,64.0,40.0
201304252100,강동구,0.037,0.025,0.8,0.003,63.0,45.0
201304252000,강동구,0.036,0.028,0.8,0.004,56.0,36.0
201304251900,강동구,0.029,0.039,0.7,0.004,40.0,28.0
201304251800,강동구,0.033,0.037,0.6,0.006,21.0,21.0
201304251700,강동구,0.032,0.036,0.6,0.005,15.0,0.0
201304251600,강동구,0.031,0.039,0.6,0.005,24.0,14.0
201304250700,강북구,0.028,0.028,0.4,0.008,85.0,73.0
201304250600,강북구,0.02,0.037,0.4,0.009,89.0,77.0
201304250500,강북구,0.02,0.035,0.4,0.009,94.0,77.0
201304250400,강북구,0.017,0.044,0.4,0.009,100.0,84.0
201304250300,강북구,0.019,0.044,0.5,0.009,103.0,78.0
201304250200,강북구,0.018,0.045,0.4,0.008,77.0,66.0
201304250100,강북구,0.023,0.034,0.4,0.006,67.0,55.0
201304250000,강북구,0.037,0.023,0.5,0.006,52.0,51.0
201304251500,강북구,0.023,0.045,0.4,0.007,22.0,12.0
201304251400,강북구,0.031,0.034,0.4,0.007,28.0,21.0
201304251300,강북구,0.034,0.029,0.4,0.007,20.0,0.0
201304251200,강북구,0.044,0.021,0.4,0.007,29.0,0.0
201304251100,강북구,0.045,0.018,0.5,0.007,59.0,47.0
201304251000,강북구,0.048,0.014,0.6,0.007,93.0,63.0
201304250900,강북구,0.049,0.014,0.5,0.007,92.0,87.0
201304250800,강북구,0.04,0.019,0.5,0.007,86.0,77.0
201304252300,강북구,0.041,0.021,0.5,0.004,69.0,41.0
201304252200,강북구,0.042,0.02,0.5,0.004,59.0,37.0
201304252100,강북구,0.032,0.03,0.4,0.005,58.0,40.0
201304252000,강북구,0.029,0.033,0.4,0.005,57.0,43.0
201304251900,강북구,0.029,0.039,0.4,0.006,44.0,32.0
201304251800,강북구,0.029,0.04,0.4,0.005,27.0,23.0
201304251700,강북구,0.021,0.042,0.3,0.005,0.0,13.0
201304251600,강북구,0.0,0.0,0.0,0.0,0.0,0.0
201304250700,강서구,0.027,0.036,0.4,0.01,87.0,50.0
201304250600,강서구,0.019,0.045,0.4,0.011,73.0,45.0
201304250500,강서구,0.02,0.042,0.4,0.013,82.0,44.0
201304250400,강서구,0.021,0.04,0.4,0.013,76.0,42.0
201304250300,강서구,0.029,0.033,0.4,0.013,67.0,38.0
201304250200,강서구,0.027,0.037,0.4,0.013,71.0,34.0
201304250100,강서구,0.023,0.046,0.5,0.011,65.0,33.0
201304250000,강서구,0.027,0.04,0.5,0.009,49.0,28.0
201304251600,강서구,0.028,0.053,0.4,0.01,36.0,22.0
201304251500,강서구,0.036,0.046,0.4,0.011,26.0,24.0
201304251400,강서구,0.032,0.047,0.4,0.011,18.0,0.0
201304251300,강서구,0.024,0.049,0.4,0.011,15.0,0.0
201304251200,강서구,0.041,0.034,0.4,0.01,31.0,28.0
201304251100,강서구,0.057,0.02,0.5,0.012,74.0,35.0
201304251000,강서구,0.062,0.011,0.8,0.012,128.0,53.0
201304250900,강서구,0.048,0.018,0.8,0.011,101.0,57.0
201304250800,강서구,0.042,0.019,0.7,0.009,105.0,51.0
201304252300,강서구,0.037,0.035,0.6,0.006,68.0,35.0
201304252200,강서구,0.039,0.031,0.6,0.006,70.0,34.0
201304252100,강서구,0.042,0.027,0.7,0.006,70.0,34.0
201304252000,강서구,0.041,0.031,0.6,0.008,66.0,33.0
201304251900,강서구,0.037,0.035,0.6,0.008,52.0,31.0
201304251800,강서구,0.025,0.051,0.5,0.008,39.0,26.0
201304251700,강서구,0.034,0.046,0.4,0.009,27.0,23.0
201304250700,관악구,0.021,0.032,0.6,0.007,93.0,57.0
201304250600,관악구,0.016,0.037,0.6,0.008,83.0,54.0
201304250500,관악구,0.013,0.043,0.5,0.009,82.0,55.0
201304250400,관악구,0.015,0.042,0.5,0.011,84.0,54.0
201304250300,관악구,0.019,0.036,0.6,0.01,80.0,53.0
201304250200,관악구,0.018,0.04,0.5,0.01,78.0,55.0
201304250100,관악구,0.021,0.037,0.6,0.009,67.0,52.0
201304250000,관악구,0.026,0.03,0.6,0.008,60.0,46.0
201304251500,관악구,0.028,0.04,0.5,0.006,27.0,20.0
201304251400,관악구,0.021,0.045,0.5,0.006,9.0,6.0
201304251300,관악구,0.018,0.044,0.5,0.006,6.0,3.0
201304251200,관악구,0.028,0.031,0.5,0.006,35.0,22.0
201304251100,관악구,0.037,0.019,0.7,0.008,92.0,51.0
201304251000,관악구,0.038,0.018,0.7,0.007,126.0,70.0
201304250900,관악구,0.038,0.018,0.8,0.007,130.0,61.0
201304250800,관악구,0.029,0.023,0.7,0.008,110.0,62.0
201304252300,관악구,0.022,0.04,0.7,0.004,71.0,48.0
201304252200,관악구,0.026,0.034,0.7,0.003,76.0,53.0
201304252100,관악구,0.023,0.037,0.8,0.003,66.0,55.0
201304252000,관악구,0.026,0.035,0.7,0.004,63.0,50.0
201304251900,관악구,0.022,0.038,0.6,0.004,59.0,40.0
201304251800,관악구,0.017,0.048,0.5,0.004,32.0,21.0
201304251700,관악구,0.023,0.044,0.5,0.006,25.0,17.0
201304251600,관악구,0.023,0.048,0.5,0.007,25.0,15.0
201304250800,광진구,0.041,0.018,0.7,0.005,96.0,51.0
201304250700,광진구,0.025,0.032,0.7,0.005,84.0,47.0
201304250600,광진구,0.02,0.039,0.6,0.005,84.0,44.0
201304250500,광진구,0.021,0.037,0.6,0.005,83.0,43.0
201304250400,광진구,0.022,0.035,0.7,0.005,86.0,41.0
201304250300,광진구,0.021,0.039,0.7,0.005,92.0,39.0
201304250200,광진구,0.02,0.038,0.7,0.005,68.0,37.0
201304250100,광진구,0.028,0.024,0.6,0.003,53.0,31.0
201304250000,광진구,0.031,0.027,0.7,0.003,45.0,27.0
201304251600,광진구,0.026,0.039,0.5,0.006,30.0,22.0
201304251500,광진구,0.032,0.034,0.6,0.008,27.0,25.0
201304251400,광진구,0.028,0.035,0.6,0.009,15.0,0.0
201304251300,광진구,0.032,0.027,0.6,0.005,20.0,0.0
201304251200,광진구,0.04,0.018,0.7,0.004,49.0,33.0
201304251100,광진구,0.046,0.012,0.9,0.004,97.0,45.0
201304251000,광진구,0.045,0.011,0.8,0.005,140.0,58.0
201304250900,광진구,0.046,0.011,0.8,0.005,115.0,59.0
201304252300,광진구,0.024,0.031,0.7,0.003,66.0,33.0
201304252200,광진구,0.024,0.029,0.7,0.003,70.0,32.0
201304252100,광진구,0.027,0.026,0.7,0.003,63.0,32.0
201304252000,광진구,0.027,0.029,0.7,0.003,60.0,31.0
201304251900,광진구,0.021,0.037,0.7,0.004,39.0,27.0
201304251800,광진구,0.0,0.0,0.0,0.0,0.0,0.0
201304251700,광진구,0.028,0.04,0.5,0.005,12.0,0.0
201304250700,구로구,0.026,0.029,0.6,0.007,101.0,50.0
201304250600,구로구,0.021,0.035,0.6,0.008,81.0,54.0
201304250500,구로구,0.018,0.038,0.5,0.009,86.0,53.0
201304250400,구로구,0.018,0.038,0.5,0.01,84.0,51.0
201304250300,구로구,0.021,0.033,0.6,0.009,75.0,52.0
201304250200,구로구,0.021,0.035,0.6,0.01,79.0,51.0
201304250100,구로구,0.022,0.037,0.6,0.012,69.0,49.0
201304250000,구로구,0.029,0.026,0.6,0.01,61.0,38.0
201304251500,구로구,0.03,0.04,0.6,0.007,19.0,13.0
201304251400,구로구,0.028,0.038,0.5,0.007,16.0,9.0
201304251300,구로구,0.026,0.038,0.5,0.007,9.0,0.0
201304251200,구로구,0.038,0.027,0.6,0.007,32.0,20.0
201304251100,구로구,0.046,0.018,0.7,0.008,83.0,49.0
201304251000,구로구,0.045,0.014,0.8,0.007,125.0,65.0
201304250900,구로구,0.043,0.016,0.8,0.007,131.0,65.0
201304250800,구로구,0.037,0.019,0.7,0.007,127.0,59.0
201304252300,구로구,0.021,0.041,0.6,0.004,73.0,43.0
201304252200,구로구,0.027,0.034,0.7,0.004,74.0,41.0
201304252100,구로구,0.025,0.034,0.7,0.003,65.0,36.0
201304252000,구로구,0.029,0.032,0.7,0.003,65.0,34.0
201304251900,구로구,0.029,0.032,0.7,0.004,67.0,32.0
201304251800,구로구,0.023,0.041,0.6,0.004,33.0,26.0
201304251700,구로구,0.026,0.042,0.5,0.006,23.0,13.0
201304251600,구로구,0.032,0.04,0.6,0.007,28.0,15.0
201304250700,금천구,0.028,0.038,0.5,0.008,98.0,81.0
201304250600,금천구,0.021,0.043,0.5,0.007,83.0,76.0
201304250500,금천구,0.019,0.046,0.4,0.007,83.0,64.0
201304250400,금천구,0.019,0.049,0.4,0.008,77.0,70.0
201304250300,금천구,0.022,0.044,0.4,0.009,82.0,66.0
201304250200,금천구,0.025,0.044,0.4,0.009,86.0,68.0
201304250100,금천구,0.026,0.045,0.5,0.008,71.0,61.0
201304250000,금천구,0.037,0.03,0.5,0.008,54.0,0.0
201304251500,금천구,0.039,0.045,0.4,0.009,30.0,20.0
201304251400,금천구,0.031,0.049,0.4,0.01,21.0,15.0
201304251300,금천구,0.025,0.047,0.4,0.009,28.0,19.0
201304251200,금천구,0.04,0.032,0.4,0.007,36.0,29.0
201304251100,금천구,0.054,0.015,0.6,0.008,70.0,54.0
201304251000,금천구,0.052,0.018,0.6,0.007,108.0,85.0
201304250900,금천구,0.039,0.029,0.5,0.007,107.0,87.0
201304250800,금천구,0.041,0.023,0.6,0.008,99.0,87.0
201304252300,금천구,0.031,0.042,0.6,0.006,67.0,52.0
201304252200,금천구,0.033,0.037,0.6,0.005,65.0,47.0
201304252100,금천구,0.032,0.038,0.5,0.006,58.0,46.0
201304252000,금천구,0.028,0.042,0.5,0.006,57.0,46.0
201304251900,금천구,0.029,0.041,0.5,0.006,64.0,50.0
201304251800,금천구,0.03,0.044,0.5,0.007,52.0,34.0
201304251700,금천구,0.03,0.048,0.4,0.008,44.0,29.0
201304251600,금천구,0.043,0.042,0.5,0.01,40.0,23.0
201304250700,노원구,0.028,0.037,0.5,0.009,83.0,49.0
201304250600,노원구,0.021,0.047,0.5,0.01,87.0,48.0
201304250500,노원구,0.022,0.044,0.5,0.01,93.0,52.0
201304250400,노원구,0.018,0.053,0.5,0.01,102.0,54.0
201304250300,노원구,0.013,0.067,0.5,0.011,106.0,60.0
201304250200,노원구,0.017,0.055,0.5,0.009,80.0,47.0
201304250100,노원구,0.032,0.03,0.6,0.006,56.0,39.0
201304250000,노원구,0.048,0.018,0.6,0.006,50.0,38.0
201304251500,노원구,0.038,0.033,0.5,0.006,41.0,16.0
201304251400,노원구,0.043,0.028,0.5,0.006,21.0,19.0
201304251300,노원구,0.037,0.032,0.5,0.007,17.0,0.0
201304251200,노원구,0.053,0.016,0.6,0.006,36.0,27.0
201304251100,노원구,0.055,0.011,0.7,0.007,74.0,50.0
201304251000,노원구,0.055,0.01,0.7,0.007,87.0,59.0
201304250900,노원구,0.044,0.02,0.6,0.007,83.0,53.0
201304250800,노원구,0.04,0.023,0.6,0.008,81.0,58.0
201304252300,노원구,0.042,0.023,0.7,0.004,66.0,40.0
201304252200,노원구,0.042,0.023,0.6,0.004,58.0,35.0
201304252100,노원구,0.035,0.034,0.6,0.005,57.0,32.0
201304252000,노원구,0.033,0.038,0.6,0.005,49.0,34.0
201304251900,노원구,0.033,0.045,0.5,0.005,35.0,24.0
201304251800,노원구,0.03,0.044,0.4,0.006,19.0,15.0
201304251700,노원구,0.016,0.053,0.3,0.005,7.0,6.0
201304251600,노원구,0.025,0.046,0.4,0.005,30.0,16.0
201304250700,도봉구,0.034,0.031,0.6,0.008,76.0,55.0
201304250600,도봉구,0.027,0.038,0.6,0.008,79.0,52.0
201304250500,도봉구,0.026,0.038,0.6,0.007,87.0,53.0
201304250400,도봉구,0.023,0.045,0.6,0.006,92.0,58.0
201304250300,도봉구,0.022,0.049,0.6,0.007,90.0,61.0
201304250200,도봉구,0.024,0.045,0.7,0.005,61.0,38.0
201304250100,도봉구,0.033,0.027,0.6,0.004,49.0,35.0
201304250000,도봉구,0.047,0.016,0.6,0.004,51.0,31.0
201304251600,도봉구,0.02,0.037,0.0,0.0,0.0,0.0
201304251500,도봉구,0.031,0.042,0.5,0.007,20.0,16.0
201304251400,도봉구,0.029,0.038,0.5,0.007,20.0,0.0
201304251300,도봉구,0.037,0.029,0.5,0.006,26.0,25.0
201304251200,도봉구,0.05,0.019,0.6,0.005,29.0,15.0
201304251100,도봉구,0.042,0.021,0.6,0.005,58.0,29.0
201304251000,도봉구,0.054,0.01,0.7,0.006,107.0,52.0
201304250900,도봉구,0.048,0.017,0.7,0.006,101.0,51.0
201304250800,도봉구,0.041,0.022,0.6,0.006,82.0,51.0
201304252300,도봉구,0.039,0.021,0.6,0.001,57.0,31.0
201304252200,도봉구,0.033,0.032,0.5,0.001,50.0,34.0
201304252100,도봉구,0.033,0.033,0.5,0.001,58.0,29.0
201304252000,도봉구,0.028,0.039,0.5,0.001,51.0,33.0
201304251900,도봉구,0.03,0.043,0.5,0.002,35.0,26.0
201304251800,도봉구,0.031,0.042,0.5,0.004,22.0,19.0
201304251700,도봉구,0.019,0.048,0.3,0.005,8.0,6.0
201304250800,동대문구,0.043,0.022,0.7,0.007,0.0,60.0
201304250700,동대문구,0.028,0.035,0.6,0.009,0.0,53.0
201304250600,동대문구,0.023,0.044,0.6,0.01,0.0,53.0
201304250500,동대문구,0.018,0.05,0.5,0.011,0.0,58.0
201304250400,동대문구,0.022,0.046,0.5,0.01,0.0,56.0
201304250300,동대문구,0.017,0.057,0.6,0.01,0.0,57.0
201304250200,동대문구,0.022,0.05,0.6,0.011,0.0,49.0
201304250100,동대문구,0.027,0.038,0.6,0.009,0.0,37.0
201304250000,동대문구,0.031,0.035,0.6,0.007,0.0,35.0
