MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201511262300,강남구,0.018,0.026,0.4,0.003,45.0,37.0
201511262200,강남구,0.019,0.024,0.5,0.005,44.0,34.0
201511262100,강남구,0.02,0.024,0.4,0.004,36.0,0.0
201511262000,강남구,0.02,0.023,0.4,0.003,34.0,24.0
201511261900,강남구,0.022,0.022,0.4,0.004,35.0,26.0
201511261800,강남구,0.023,0.021,0.4,0.004,33.0,27.0
201511261700,강남구,0.026,0.019,0.4,0.004,38.0,27.0
201511261600,강남구,0.027,0.016,0.4,0.005,45.0,26.0
201511261500,강남구,0.026,0.015,0.4,0.004,41.0,29.0
201511261400,강남구,0.023,0.022,0.4,0.005,34.0,21.0
201511261300,강남구,0.022,0.023,0.5,0.005,28.0,21.0
201511261200,강남구,0.02,0.024,0.4,0.004,34.0,21.0
201511261100,강남구,0.023,0.021,0.4,0.004,31.0,23.0
201511261000,강남구,0.022,0.02,0.4,0.004,31.0,21.0
201511260900,강남구,0.021,0.021,0.4,0.004,26.0,19.0
201511260800,강남구,0.024,0.017,0.5,0.005,28.0,21.0
201511260700,강남구,0.019,0.02,0.4,0.005,33.0,22.0
201511260600,강남구,0.013,0.026,0.4,0.005,28.0,22.0
201511260500,강남구,0.01,0.031,0.3,0.005,27.0,20.0
201511260400,강남구,0.009,0.033,0.3,0.004,25.0,14.0
201511260300,강남구,0.009,0.034,0.3,0.005,23.0,13.0
201511260200,강남구,0.011,0.032,0.4,0.004,26.0,17.0
201511260100,강남구,0.013,0.03,0.4,0.004,18.0,18.0
201511260000,강남구,0.018,0.023,0.4,0.004,24.0,16.0
201511262300,강동구,0.014,0.02,0.4,0.004,37.0,29.0
201511262200,강동구,0.016,0.018,0.4,0.003,33.0,22.0
201511262100,강동구,0.017,0.018,0.4,0.004,32.0,25.0
201511262000,강동구,0.017,0.018,0.5,0.003,33.0,22.0
201511261900,강동구,0.018,0.017,0.4,0.004,36.0,26.0
201511261800,강동구,0.019,0.016,0.4,0.003,37.0,30.0
201511261700,강동구,0.017,0.018,0.4,0.004,34.0,22.0
201511261600,강동구,0.017,0.015,0.4,0.004,39.0,28.0
201511261500,강동구,0.018,0.015,0.5,0.004,39.0,26.0
201511261400,강동구,0.019,0.015,0.5,0.005,39.0,24.0
201511261300,강동구,0.017,0.017,0.4,0.004,33.0,26.0
201511261200,강동구,0.014,0.019,0.4,0.004,33.0,23.0
201511261100,강동구,0.015,0.018,0.4,0.004,31.0,22.0
201511261000,강동구,0.016,0.017,0.4,0.004,30.0,19.0
201511260900,강동구,0.02,0.015,0.5,0.004,30.0,19.0
201511260800,강동구,0.022,0.013,0.4,0.004,29.0,23.0
201511260700,강동구,0.017,0.016,0.5,0.004,30.0,22.0
201511260600,강동구,0.012,0.02,0.4,0.004,31.0,18.0
201511260500,강동구,0.009,0.022,0.4,0.003,30.0,21.0
201511260400,강동구,0.01,0.022,0.4,0.004,27.0,19.0
201511260300,강동구,0.009,0.023,0.4,0.003,24.0,19.0
201511260200,강동구,0.01,0.022,0.4,0.003,26.0,17.0
201511260100,강동구,0.014,0.019,0.4,0.003,25.0,20.0
201511260000,강동구,0.016,0.017,0.4,0.003,20.0,15.0
201511262300,강북구,0.019,0.024,0.5,0.004,42.0,34.0
201511262200,강북구,0.02,0.024,0.5,0.003,36.0,31.0
201511262100,강북구,0.019,0.024,0.5,0.003,34.0,31.0
201511262000,강북구,0.02,0.022,0.5,0.003,36.0,29.0
201511261900,강북구,0.022,0.022,0.5,0.003,35.0,32.0
201511261800,강북구,0.022,0.023,0.5,0.003,35.0,31.0
201511261700,강북구,0.019,0.024,0.5,0.003,37.0,31.0
201511261600,강북구,0.021,0.021,0.5,0.003,36.0,32.0
201511261500,강북구,0.019,0.022,0.5,0.004,37.0,31.0
201511261400,강북구,0.02,0.02,0.5,0.004,39.0,32.0
201511261300,강북구,0.02,0.021,0.5,0.004,33.0,28.0
201511261200,강북구,0.018,0.023,0.5,0.003,32.0,26.0
201511261100,강북구,0.017,0.024,0.5,0.003,35.0,27.0
201511261000,강북구,0.018,0.023,0.5,0.003,30.0,26.0
201511260900,강북구,0.023,0.019,0.5,0.004,30.0,23.0
201511260800,강북구,0.025,0.016,0.5,0.004,28.0,23.0
201511260700,강북구,0.026,0.015,0.5,0.004,32.0,25.0
201511260600,강북구,0.017,0.021,0.5,0.004,31.0,23.0
201511260500,강북구,0.014,0.027,0.4,0.004,28.0,21.0
201511260400,강북구,0.01,0.031,0.4,0.004,26.0,19.0
201511260300,강북구,0.012,0.03,0.4,0.003,26.0,18.0
201511260200,강북구,0.011,0.031,0.4,0.003,24.0,19.0
201511260100,강북구,0.013,0.029,0.4,0.003,21.0,19.0
201511260000,강북구,0.018,0.024,0.4,0.003,20.0,17.0
201511262300,강서구,0.013,0.025,0.4,0.005,43.0,30.0
201511262200,강서구,0.016,0.021,0.5,0.006,60.0,29.0
201511262100,강서구,0.016,0.02,0.4,0.005,43.0,26.0
201511262000,강서구,0.017,0.019,0.4,0.006,35.0,24.0
201511261900,강서구,0.018,0.017,0.4,0.005,41.0,21.0
201511261800,강서구,0.02,0.016,0.5,0.005,49.0,28.0
201511261700,강서구,0.017,0.018,0.4,0.005,37.0,23.0
201511261600,강서구,0.016,0.018,0.4,0.006,50.0,31.0
201511261500,강서구,0.02,0.015,0.5,0.006,44.0,25.0
201511261400,강서구,0.017,0.018,0.5,0.007,39.0,23.0
201511261300,강서구,0.018,0.02,0.4,0.006,37.0,23.0
201511261200,강서구,0.016,0.021,0.4,0.007,19.0,3.0
201511261100,강서구,0.018,0.019,0.4,0.005,36.0,21.0
201511261000,강서구,0.021,0.015,0.5,0.005,44.0,27.0
201511260900,강서구,0.021,0.014,0.5,0.006,40.0,27.0
201511260800,강서구,0.019,0.016,0.5,0.005,32.0,21.0
201511260700,강서구,0.016,0.017,0.4,0.006,37.0,28.0
201511260600,강서구,0.013,0.02,0.5,0.006,32.0,21.0
201511260500,강서구,0.012,0.022,0.4,0.005,37.0,23.0
201511260400,강서구,0.009,0.025,0.4,0.005,28.0,20.0
201511260300,강서구,0.008,0.026,0.4,0.006,30.0,20.0
201511260200,강서구,0.01,0.025,0.4,0.005,32.0,22.0
201511260100,강서구,0.013,0.022,0.4,0.005,32.0,24.0
201511260000,강서구,0.015,0.018,0.4,0.005,22.0,18.0
201511262300,관악구,0.017,0.023,0.5,0.004,48.0,33.0
201511262200,관악구,0.019,0.02,0.5,0.004,49.0,33.0
201511262100,관악구,0.02,0.02,0.5,0.004,51.0,34.0
201511262000,관악구,0.02,0.02,0.5,0.004,44.0,31.0
201511261900,관악구,0.02,0.019,0.5,0.003,37.0,27.0
201511261800,관악구,0.023,0.016,0.5,0.004,40.0,31.0
201511261700,관악구,0.023,0.016,0.5,0.004,42.0,29.0
201511261600,관악구,0.023,0.014,0.5,0.004,45.0,29.0
201511261500,관악구,0.02,0.016,0.5,0.005,43.0,29.0
201511261400,관악구,0.018,0.019,0.5,0.004,41.0,27.0
201511261300,관악구,0.014,0.022,0.4,0.004,37.0,25.0
201511261200,관악구,0.014,0.023,0.4,0.004,34.0,22.0
201511261100,관악구,0.019,0.019,0.4,0.004,38.0,26.0
201511261000,관악구,0.021,0.017,0.5,0.004,39.0,27.0
201511260900,관악구,0.022,0.015,0.5,0.004,36.0,25.0
201511260800,관악구,0.028,0.011,0.5,0.004,35.0,26.0
201511260700,관악구,0.025,0.012,0.5,0.005,34.0,27.0
201511260600,관악구,0.015,0.02,0.5,0.005,38.0,23.0
201511260500,관악구,0.012,0.023,0.4,0.004,35.0,22.0
201511260400,관악구,0.014,0.024,0.4,0.004,31.0,21.0
201511260300,관악구,0.012,0.026,0.4,0.004,31.0,21.0
201511260200,관악구,0.013,0.026,0.4,0.004,34.0,20.0
201511260100,관악구,0.014,0.025,0.5,0.004,34.0,19.0
201511260000,관악구,0.02,0.019,0.5,0.003,31.0,21.0
201511262300,광진구,0.013,0.026,0.3,0.004,41.0,31.0
201511262200,광진구,0.014,0.026,0.3,0.004,41.0,26.0
201511262100,광진구,0.014,0.026,0.3,0.003,36.0,14.0
201511262000,광진구,0.015,0.024,0.3,0.003,35.0,31.0
201511261900,광진구,0.015,0.024,0.3,0.003,31.0,7.0
201511261800,광진구,0.018,0.022,0.3,0.004,30.0,15.0
201511261700,광진구,0.016,0.024,0.3,0.004,35.0,0.0
201511261600,광진구,0.018,0.02,0.4,0.004,37.0,0.0
201511261500,광진구,0.018,0.02,0.4,0.004,34.0,0.0
201511261400,광진구,0.019,0.02,0.4,0.004,34.0,0.0
201511261300,광진구,0.016,0.024,0.4,0.004,28.0,18.0
201511261200,광진구,0.015,0.024,0.3,0.004,29.0,25.0
201511261100,광진구,0.016,0.023,0.4,0.004,30.0,24.0
201511261000,광진구,0.017,0.021,0.3,0.004,28.0,25.0
201511260900,광진구,0.021,0.018,0.4,0.004,32.0,21.0
201511260800,광진구,0.019,0.019,0.4,0.004,20.0,20.0
201511260700,광진구,0.017,0.02,0.4,0.004,29.0,23.0
201511260600,광진구,0.011,0.026,0.4,0.004,33.0,21.0
201511260500,광진구,0.01,0.028,0.3,0.004,26.0,21.0
201511260400,광진구,0.01,0.028,0.3,0.004,17.0,0.0
201511260300,광진구,0.009,0.03,0.3,0.004,22.0,18.0
201511260200,광진구,0.01,0.028,0.3,0.004,24.0,21.0
201511260100,광진구,0.012,0.026,0.4,0.003,23.0,10.0
201511260000,광진구,0.014,0.023,0.3,0.003,22.0,9.0
201511262300,구로구,0.013,0.027,0.4,0.008,47.0,27.0
