기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	이태원	신촌/홍대주변	강남역
2017	전체	전체	78.8	78.4	56.9	31.4	39	36.6	24.8	21.2	22.5	31.2	28.3
2017	성별	남성	75.1	69.4	52.1	31.3	42.4	35.8	22.9	23.5	22.4	23.1	28.8
2017	성별	여성	81.8	85.1	60.5	31.5	36.4	37.2	26.2	19.5	22.5	37.3	27.9
2017	연령별	15~20세	90.8	86.6	59.9	30.6	35.4	40.5	22.1	21.9	26.6	47.4	33.1
2017	연령별	21~30세	80.7	84.9	60.4	31.3	41.3	41.3	28.5	23.1	27.5	41.8	31.4
2017	연령별	31~40세	80.3	76.6	57.8	32.1	38.2	35.9	24.1	20.5	19.3	24.5	26
2017	연령별	41~50세	74.1	68.6	51.5	29.8	35.4	28.6	19.8	17.6	17.6	18.3	25.5
2017	연령별	51~60세	66.8	65.6	45.8	31	37.3	26.8	19.4	19.1	13.8	12.4	22.4
2017	연령별	61세이상	73.9	59.6	47.4	38.5	43.7	29.9	23.3	22.2	13.6	6.9	19
2017	방한목적	여가/위락/휴가	80	87.7	62.9	34.8	45.9	43.9	27.8	23.9	22.8	34.8	25.2
2017	방한목적	뷰티 건강 및 치료	81.6	66.8	53.3	23.9	30.5	22.3	14.4	14	13	15.9	45.6
2017	방한목적	종교 및 순례	53.4	54.4	48.2	35.1	34.1	32.1	19.7	33.9	32.6	6.7	26.1
2017	방한목적	쇼핑	83.2	93.7	73.7	31.9	19.8	24.2	15.6	7.7	11.9	34.5	20.5
2017	방한목적	친구/친지 방문	78.5	64.7	47.9	31.1	45.9	33.9	29.7	26.5	29.7	28.6	30.2
2017	방한목적	사업/전문 활동	70.6	45.6	29.3	20.3	27.3	21	13.8	14.1	16.7	10.7	34.1
2017	방한목적	교육	89	85.2	65.9	34.6	40.3	48.7	40.4	36.5	44.7	58.2	45.6
2017	방한목적	기타	74	53.1	31.1	12.6	29.4	21	19.4	11.1	6.1	27	47.5
2017	방한횟수	1회	78.6	79.4	57.9	34.6	53.1	46.7	29.1	30	26.6	31.4	28.5
2017	방한횟수	2회	78.8	80.6	60.4	30.5	36.4	36.6	25.2	19.5	23.5	36.5	29.7
2017	방한횟수	3회	76.1	81.7	57.6	29.9	28.5	31.1	22.2	12.2	19.6	34.4	27.8
2017	방한횟수	4회 이상	80.3	73.9	52.6	26.9	19.3	20.7	17.8	10	15.5	26.3	27.1
